
[00:00:00.000 --> 00:00:02.600]  各位姐妹,又一日了,眨下眼又讀聖經
[00:00:02.600 --> 00:00:07.600]  今天是基澱第一位聖像耶路巴黎
[00:00:07.600 --> 00:00:10.400]  耶路巴黎是基澱的名字
[00:00:10.400 --> 00:00:11.600]  第一次聖像
[00:00:11.600 --> 00:00:15.200]  《生命說話》你帶到聖經人聖經時
[00:00:15.200 --> 00:00:18.400]  看看上帝在聖經人士裡面
[00:00:18.400 --> 00:00:21.400]  祂怎樣彰顯祂奇妙的作為
[00:00:21.400 --> 00:00:26.200]  祂幫了基澱打贏第一場屬靈的戰爭
[00:00:26.200 --> 00:00:30.200]  是司祭六章二十五節,當那爺
[00:00:30.200 --> 00:00:32.000]  當那爺即是何時?
[00:00:32.000 --> 00:00:37.600]  「耶和華沙龍」即是耶和華是平安
[00:00:37.600 --> 00:00:43.000]  當那爺,耶和華就馬上有說話來到基澱
[00:00:43.000 --> 00:00:52.600]  就跟祂說:你娶你父親的牛來
[00:00:52.600 --> 00:00:56.600]  就是那七歲的第二隻牛
[00:00:56.600 --> 00:01:01.000]  並拆毀你父親為巴黎所築的壇
[00:01:01.000 --> 00:01:03.800]  撼下壇旁的木偶
[00:01:03.800 --> 00:01:07.200]  這裡很有趣
[00:01:07.200 --> 00:01:12.400]  其實這一節我研究了很久都未能夠明白
[00:01:12.400 --> 00:01:16.000]  或者說得不清楚,可能當日記載的字
[00:01:16.000 --> 00:01:20.200]  那一爺,耶和華是吩咐基澱做什麼呢?
[00:01:20.200 --> 00:01:23.800]  「你娶」即是「拿」你父親的牛
[00:01:23.800 --> 00:01:25.800]  很明白了,是不是?
[00:01:25.800 --> 00:01:27.600]  「拿」你父親的牛來
[00:01:27.600 --> 00:01:31.000]  這個「牛」字是用了兩個「牛」字
[00:01:31.000 --> 00:01:34.000]  一個是「趴」,一個是「show」
[00:01:34.000 --> 00:01:38.000]  「趴」就是牛獨,或者公牛
[00:01:38.000 --> 00:01:41.800]  而這個「show」這個字就是一隻牛
[00:01:41.800 --> 00:01:45.600]  那麼怎麼重覆兩個「牛」字呢?
[00:01:45.600 --> 00:01:48.000]  這個「牛」第一個「趴」
[00:01:48.000 --> 00:01:51.800]  其實多數聖經在其他字用「趴」
[00:01:51.800 --> 00:01:54.600]  是公牛的
[00:01:54.600 --> 00:01:58.600]  但是有幾段聖經是牛獨,即是小牛
[00:01:58.600 --> 00:02:00.600]  所以真的難明白
[00:02:00.600 --> 00:02:04.600]  「你拿你父親那隻公牛來」
