
[00:00:00.000 --> 00:00:04.000]  今天是教會特別安排團契主日
[00:00:04.000 --> 00:00:06.000]  團契是什麼呢?
[00:00:06.000 --> 00:00:08.000]  有些弟兄姊妹已經參與了
[00:00:08.000 --> 00:00:11.000]  有些還沒有參與
[00:00:11.000 --> 00:00:14.000]  其實就是一些弟兄姊妹
[00:00:14.000 --> 00:00:16.000]  多一點緊密的相交
[00:00:16.000 --> 00:00:18.000]  能夠多一點彼此的認識、建立
[00:00:18.000 --> 00:00:20.000]  一起學習聖經
[00:00:20.000 --> 00:00:22.000]  我們崇拜就是一個
[00:00:22.000 --> 00:00:25.000]  或者比較較為被動一點的
[00:00:25.000 --> 00:00:27.000]  團契生活就會多一點相向
[00:00:27.000 --> 00:00:28.000]  一起去學
[00:00:28.000 --> 00:00:33.000]  鼓勵大家可以考慮團契的聚會
[00:00:33.000 --> 00:00:35.000]  因為教會就是彼此為肢體
[00:00:35.000 --> 00:00:40.000]  或者我們一起有個禱告
[00:00:40.000 --> 00:00:44.000]  天父我們感謝你讓我們今天學習
[00:00:44.000 --> 00:00:46.000]  願意你的話語去激勵我們
[00:00:46.000 --> 00:00:50.000]  特別在現在這個時局裡
[00:00:50.000 --> 00:00:52.000]  我們很多的分聯
[00:00:52.000 --> 00:00:55.000]  教會是一個你自己設立的地方
[00:00:55.000 --> 00:00:59.000]  叫我們在當中彼此去扶持
[00:00:59.000 --> 00:01:02.000]  以致我們能夠一起可以怎樣面對
[00:01:02.000 --> 00:01:06.000]  我們所面對的香港的處境
[00:01:06.000 --> 00:01:08.000]  我們多一點的守望
[00:01:08.000 --> 00:01:10.000]  以致我們成為一個群體
[00:01:10.000 --> 00:01:13.000]  能夠在社會裡我們能夠造肝造炎
[00:01:13.000 --> 00:01:15.000]  求主你幫助我們
[00:01:15.000 --> 00:01:16.000]  我們這樣祈禱
[00:01:16.000 --> 00:01:17.000]  奉主耶穌基督的名
[00:01:17.000 --> 00:01:18.000]  阿門
[00:01:20.000 --> 00:01:25.000]  John Forces是一個十八世紀很有才華
[00:01:25.000 --> 00:01:27.000]  很有牧者心腸的一個牧者
[00:01:27.000 --> 00:01:29.000]  在英國裡去服侍
[00:01:29.000 --> 00:01:32.000]  當時他在一間教會裡
[00:01:32.000 --> 00:01:34.000]  在一個很小的鄉村裡
[00:01:34.000 --> 00:01:35.000]  一個小小的教會
[00:01:35.000 --> 00:01:37.000]  可能一些會眾
[00:01:37.000 --> 00:01:40.000]  都是一些不是很有錢的會眾
[00:01:40.000 --> 00:01:44.000]  所以他的薪酬是低的
[00:01:44.000 --> 00:01:48.000]  當John Forces他還是年輕
[00:01:48.000 --> 00:01:50.000]  有兒女
[00:01:50.000 --> 00:01:53.000]  又有新的小朋友出生了
[00:01:53.000 --> 00:01:55.000]  花費又多了
[00:01:55.000 --> 00:01:57.000]  他又發覺不夠用
[00:01:57.000 --> 00:01:59.000]  繼續下去不是辦法
[00:01:59.000 --> 00:02:02.000]  於是就想有沒有可以找一些教會
[00:02:02.000 --> 00:02:04.000]  多一點薪酬的
[00:02:04.000 --> 00:02:05.000]  沒辦法
[00:02:05.000 --> 00:02:06.000]  真的很現實的東西
