
[00:00:00.000 --> 00:00:04.000]  我們在座的每一位
[00:00:04.000 --> 00:00:09.000]  我們決意信基督
[00:00:09.000 --> 00:00:15.000]  因為我們相信在基督裏面
[00:00:15.000 --> 00:00:20.000]  我們勝過一切
[00:00:20.000 --> 00:00:23.000]  天上地下
[00:00:23.000 --> 00:00:26.000]  一切要奴役我們
[00:00:26.000 --> 00:00:28.000]  壓迫我們
[00:00:28.000 --> 00:00:33.000]  使我們過非人生活的一種力量
[00:00:33.000 --> 00:00:35.000]  我們在基督裏面
[00:00:35.000 --> 00:00:37.000]  我們相信
[00:00:37.000 --> 00:00:41.000]  我們不再活在罪中
[00:00:41.000 --> 00:00:47.000]  不再活在這一切影響我們裡裡外外的力量
[00:00:47.000 --> 00:00:50.000]  以致我們可以自由的
[00:00:50.000 --> 00:00:52.000]  釋放的
[00:00:52.000 --> 00:00:54.000]  有尊嚴的
[00:00:54.000 --> 00:00:57.000]  有上帝形象的
[00:00:57.000 --> 00:01:02.000]  活得精彩的來活
[00:01:02.000 --> 00:01:06.000]  我不知道這種的相信
[00:01:06.000 --> 00:01:09.000]  是不是你的相信呢?
[00:01:09.000 --> 00:01:12.000]  我相信
[00:01:12.000 --> 00:01:16.000]  在基督的豐盛裏面
[00:01:16.000 --> 00:01:22.000]  這一切都已經賞賜給我們
[00:01:22.000 --> 00:01:30.000]  所以我們應該活得十分之精彩
[00:01:30.000 --> 00:01:33.000]  光彩
[00:01:33.000 --> 00:01:40.000]  亦都是世界不能少的一群人
[00:01:40.000 --> 00:01:43.000]  世界不能少了
[00:01:43.000 --> 00:01:48.000]  不能缺少我們這樣的基督徒
[00:01:48.000 --> 00:01:51.000]  世界不能缺少你
[00:01:51.000 --> 00:01:53.000]  亦都不能缺少我
[00:01:53.000 --> 00:01:59.000]  我們有沒有這種的信呢?
[00:01:59.000 --> 00:02:01.000]  怎樣的人
[00:02:01.000 --> 00:02:04.000]  才能夠成為
[00:02:04.000 --> 00:02:08.000]  這樣的跨性的人
[00:02:08.000 --> 00:02:12.000]  剛才施班比我們的獻術師哥說
[00:02:12.000 --> 00:02:16.000]  如今我定睜仰望主耶穌
[00:02:16.000 --> 00:02:22.000]  為獨為主而活
[00:02:22.000 --> 00:02:24.000]  不再是我
[00:02:24.000 --> 00:02:28.000]  為獨為主而活
[00:02:28.000 --> 00:02:32.000]  因為已經與基督同死
[00:02:32.000 --> 00:02:38.000]  亦都同復活
[00:02:38.000 --> 00:02:43.000]  基督按聖經的教導
[00:02:43.000 --> 00:02:47.000]  已經得聖了
[00:02:47.000 --> 00:02:50.000]  你是不是都覺得
[00:02:50.000 --> 00:02:53.000]  你過著一個得聖的
[00:02:53.000 --> 00:03:00.000]  在基督裏的人生呢?
[00:03:00.000 --> 00:03:03.000]  得聖什麼呢?
[00:03:03.000 --> 00:03:04.000]  我們的題目說
[00:03:04.000 --> 00:03:10.000]  在基督裏勝過那執政掌權者
[00:03:10.000 --> 00:03:12.000]  希望我們今天在這裏
[00:03:12.000 --> 00:03:17.000]  我們思想到底我們得聖了什麼
[00:03:17.000 --> 00:03:19.000]  我們是不是真的得聖
[00:03:19.000 --> 00:03:22.000]  你如何真的得聖
[00:03:22.000 --> 00:03:25.000]  如何在基督裏
[00:03:43.000 --> 00:03:48.000]  阿彌陀佛
[00:04:12.000 --> 00:04:35.000]  (掌聲)
[00:04:35.000 --> 00:04:37.000]  剛才我們讀的經文裏面
[00:04:37.000 --> 00:04:38.000]  在第十五節
[00:04:38.000 --> 00:04:41.000]  就是經文所顯示最後一節
[00:04:41.000 --> 00:04:43.000]  講到他解除了
[00:04:43.000 --> 00:04:46.000]  執政者和掌權者的權勢
[00:04:46.000 --> 00:04:48.000]  藉著十字架
[00:04:48.000 --> 00:04:52.000]  把他們列在海船的行列中
[00:04:52.000 --> 00:04:54.000]  公開示眾
[00:04:54.000 --> 00:04:58.000]  剛才大家看到這個短片裏面
[00:04:58.000 --> 00:05:00.000]  展現一個在羅馬帝國裏面
[00:05:00.000 --> 00:05:04.000]  凱撒皇帝戰勝歸來
[00:05:04.000 --> 00:05:11.000]  海船帶著自己的軍隊整個行列
[00:05:11.000 --> 00:05:14.000]  回到他們的城裏
[00:05:14.000 --> 00:05:17.000]  群眾夾道歡迎
[00:05:17.000 --> 00:05:25.000]  表示歡迎這班勝利的軍隊
[00:05:25.000 --> 00:05:30.000]  羅馬是一個非常強盛的帝國
[00:05:30.000 --> 00:05:32.000]  在第一世紀的時候
[00:05:32.000 --> 00:05:35.000]  我們知道屬於耶穌的年代
[00:05:35.000 --> 00:05:37.000]  屬於保羅的年代
[00:05:37.000 --> 00:05:40.000]  屬於當時的基督徒所活的年代
[00:05:40.000 --> 00:05:42.000]  羅馬的強盛
[00:05:42.000 --> 00:05:44.000]  今天我們甚至可以有一句說話
[00:05:44.000 --> 00:05:45.000]  大家都知道的
[00:05:45.000 --> 00:05:47.000]  跳跳道路通羅馬
[00:05:47.000 --> 00:05:50.000]  即是整個地中海一帶
[00:05:50.000 --> 00:05:53.000]  向東向西
[00:05:53.000 --> 00:05:57.000]  都是羅馬的版圖
[00:05:57.000 --> 00:06:01.000]  他宣稱一種的統治
[00:06:01.000 --> 00:06:06.000]  亦都是帶給各族各民一種的統一
[00:06:06.000 --> 00:06:12.000]  亦都是賜給各族各民一個太平盛世
[00:06:12.000 --> 00:06:17.000]  歌舞昇平的一個願景
[00:06:17.000 --> 00:06:20.000]  羅馬真是很偉大
[00:06:20.000 --> 00:06:24.000]  非常之勁
[00:06:24.000 --> 00:06:27.000]  但是哥羅西教會
[00:06:27.000 --> 00:06:30.000]  保羅寫信給他們的時候
[00:06:30.000 --> 00:06:37.000]  難道還要誇羅馬帝國的權勢嗎?
[00:06:37.000 --> 00:06:39.000]  第一世紀的基督徒
[00:06:39.000 --> 00:06:45.000]  是活在羅馬帝國的那種逼迫裡面
[00:06:45.000 --> 00:06:48.000]  在世紀中期的時候
[00:06:48.000 --> 00:06:50.000]  一直開始
[00:06:50.000 --> 00:06:54.000]  猶太人和羅馬政府的衝突
[00:06:54.000 --> 00:06:56.000]  延展到波及基督徒
[00:06:56.000 --> 00:07:01.000]  甚至基督徒一直第一世紀從來沒有
[00:07:01.000 --> 00:07:06.000]  不擔心過被政權的逼迫
[00:07:06.000 --> 00:07:11.000]  但是為什麼保羅在這裡所用的描述
[00:07:11.000 --> 00:07:18.000]  卻是借用了羅馬的海船軍隊的形象呢?
[00:07:18.000 --> 00:07:20.000]  剛才我們看到
[00:07:20.000 --> 00:07:25.000]  他解除了執政者和掌權者的權勢
[00:07:25.000 --> 00:07:29.000]  解除他的武裝
[00:07:29.000 --> 00:07:30.000]  解除
[00:07:30.000 --> 00:07:33.000]  剛才我們看到一個戰俘
[00:07:33.000 --> 00:07:36.000]  在車裡被壓解回來
[00:07:36.000 --> 00:07:38.000]  他是戰俘
[00:07:38.000 --> 00:07:41.000]  他是戰敗者
[00:07:41.000 --> 00:07:45.000]  他是被公開示眾
[00:07:45.000 --> 00:07:46.000]  這麼嚴重
[00:07:46.000 --> 00:07:47.000]  更加嚴重來看
[00:07:47.000 --> 00:07:50.000]  他可能不只是解除武裝
[00:07:50.000 --> 00:07:51.000]  他是解除
[00:07:51.000 --> 00:07:53.000]  甚至連衣服都解除
[00:07:53.000 --> 00:07:59.000]  是公開示眾來羞辱他
[00:07:59.000 --> 00:08:02.000]  但是保羅在這裡所說的是
[00:08:02.000 --> 00:08:06.000]  這一家戰敗的人
[00:08:06.000 --> 00:08:09.000]  當然不是說基督徒
[00:08:09.000 --> 00:08:13.000]  是基督裡面跨性的
[00:08:13.000 --> 00:08:15.000]  這一幫基督徒
[00:08:15.000 --> 00:08:17.000]  是靠耶穌基督
[00:08:17.000 --> 00:08:20.000]  是耶穌基督已經得性了
[00:08:20.000 --> 00:08:22.000]  耶穌基督是元帥
[00:08:22.000 --> 00:08:24.000]  耶穌是那個將領
[00:08:24.000 --> 00:08:27.000]  他是得性的君王
[00:08:27.000 --> 00:08:31.000]  而他帶著我們這一批
[00:08:31.000 --> 00:08:34.000]  在他的戰勝的行列當中
[00:08:34.000 --> 00:08:38.000]  來將我們的受敵公開示眾
[00:08:38.000 --> 00:08:41.000]  我們的受敵就是那些所有的執政者
[00:08:41.000 --> 00:08:43.000]  掌權者
[00:08:43.000 --> 00:08:45.000]  而怎樣戰勝呢?
[00:08:45.000 --> 00:08:50.000]  是藉著原本代表著羞辱的十字架
[00:08:50.000 --> 00:08:53.000]  來戰勝的
[00:08:53.000 --> 00:08:56.000]  原本是羞辱
[00:08:56.000 --> 00:08:59.000]  原本是一個殘酷的酷刑
