
[00:00:00.000 --> 00:00:05.000]  今句話說,到底是誰說的呢?
[00:00:05.000 --> 00:00:09.000]  今天我們在地上讀這段經文就可以這樣說
[00:00:09.000 --> 00:00:12.000]  但是這個是司徒約翰
[00:00:12.000 --> 00:00:17.000]  他被放逐到一個拔摩孤島上面
[00:00:17.000 --> 00:00:23.000]  在當時,我相信他的生活,他的境況是很淒涼
[00:00:23.000 --> 00:00:26.000]  或者甚至是很困苦的
[00:00:26.000 --> 00:00:29.000]  但是在那個環境中間
[00:00:29.000 --> 00:00:31.000]  耶穌基督就給他
[00:00:31.000 --> 00:00:33.000]  這位創造與萬物的主宰
[00:00:33.000 --> 00:00:35.000]  給他看到異象
[00:00:35.000 --> 00:00:38.000]  見到將來必成的事
[00:00:38.000 --> 00:00:41.000]  在那裏他見到榮耀的主
[00:00:41.000 --> 00:00:43.000]  向他顯現
[00:00:43.000 --> 00:00:45.000]  但是除了榮耀的主之外,還有什麼呢?
[00:00:45.000 --> 00:00:49.000]  就是那班一同與主同享榮耀的
[00:00:49.000 --> 00:00:53.000]  各國、各族、各方、各民
[00:00:53.000 --> 00:00:58.000]  來到那裏,一起將榮耀歸給神
[00:00:58.000 --> 00:01:03.000]  總之今天,我相信在我們生活中間
[00:01:03.000 --> 00:01:06.000]  在這個地上,我們要看回
[00:01:06.000 --> 00:01:09.000]  這些好像是不可能的事
[00:01:09.000 --> 00:01:11.000]  是不是?
[00:01:11.000 --> 00:01:14.000]  地上一片混亂,未來的日子
[00:01:14.000 --> 00:01:19.000]  我相信是一定會越來越困難
[00:01:19.000 --> 00:01:21.000]  是耶穌也說的
[00:01:21.000 --> 00:01:23.000]  你們在世上有苦難
[00:01:23.000 --> 00:01:26.000]  但是你們可以放心,我已經勝過這個世界
[00:01:26.000 --> 00:01:28.000]  所以主耶穌當時也說
[00:01:28.000 --> 00:01:31.000]  你們相信我,將來就安居樂業了
[00:01:31.000 --> 00:01:33.000]  是我們希望安居樂業
[00:01:33.000 --> 00:01:36.000]  但是,如果看到這個世界上
[00:01:36.000 --> 00:01:40.000]  那種罪的蔓延
[00:01:40.000 --> 00:01:42.000]  我們會看到
[00:01:42.000 --> 00:01:44.000]  這個世界未來日子
[00:01:44.000 --> 00:01:47.000]  照馬太福音所說
[00:01:47.000 --> 00:01:49.000]  國攻打國
[00:01:49.000 --> 00:01:52.000]  都有些理解的利益衝突
[00:01:52.000 --> 00:01:54.000]  但是民攻打民
[00:01:54.000 --> 00:01:57.000]  其實就是玻璃頭
[00:01:57.000 --> 00:02:02.000]  幾年前,當我在這裏看報紙,看新聞
[00:02:02.000 --> 00:02:06.000]  附近有個地方有綠藍之爭
[00:02:06.000 --> 00:02:11.000]  接著看到在東南亞有紅黃之爭
[00:02:11.000 --> 00:02:14.000]  我心想,賺什麼呢?
[00:02:14.000 --> 00:02:20.000]  想不到香港也有黃藍之爭
[00:02:20.000 --> 00:02:25.000]  而且,看他們裏面,很多時候
[00:02:25.000 --> 00:02:31.000]  無論他們謾罵,謊言,製造是非,製造什麼都好
[00:02:31.000 --> 00:02:33.000]  一個混亂
[00:02:33.000 --> 00:02:37.000]  我們中國人過去也有些名言
[00:02:37.000 --> 00:02:41.000]  天下合九必分,分九必合
[00:02:41.000 --> 00:02:45.000]  這個世界,你以為將來會合還是分呢?
[00:02:45.000 --> 00:02:49.000]  這個世界將來是不能合的
[00:02:49.000 --> 00:02:53.000]  聯合國雖然想合,但是合完之後還亂
[00:02:53.000 --> 00:02:56.000]  到今時今日,你看到
[00:02:56.000 --> 00:03:00.000]  一些普通的問題
[00:03:00.000 --> 00:03:04.000]  最近德國的大選結果
[00:03:04.000 --> 00:03:07.000]  一個以前沒有的
[00:03:07.000 --> 00:03:09.000]  突然間一三年組黨
[00:03:09.000 --> 00:03:11.000]  這樣就進了國會
[00:03:11.000 --> 00:03:13.000]  他們宣傳什麼呢?
[00:03:13.000 --> 00:03:15.000]  我再看西班牙
[00:03:15.000 --> 00:03:18.000]  政府要去禁止人們公投
[00:03:18.000 --> 00:03:23.000]  我們再看大國
[00:03:23.000 --> 00:03:27.000]  都是以自己國家為口號
[00:03:27.000 --> 00:03:29.000]  所以在未來的日子
[00:03:29.000 --> 00:03:34.000]  我相信人要能夠在地上合是很難
[00:03:34.000 --> 00:03:37.000]  但是我們看回神創造的時候
[00:03:37.000 --> 00:03:39.000]  你看回《創世紀》
[00:03:39.000 --> 00:03:42.000]  第一章,神捍衛是好的
[00:03:42.000 --> 00:03:45.000]  神創造是捍衛好的
[00:03:45.000 --> 00:03:47.000]  為什麼今天搞成這樣呢?
[00:03:47.000 --> 00:03:51.000]  很明顯因為亞當夏娃不遵行神的話語
[00:03:51.000 --> 00:03:54.000]  所以搞成今時今日
[00:03:54.000 --> 00:03:56.000]  你和我不是沒有責任的
[00:03:56.000 --> 00:03:59.000]  我們都不是很遵行神的話語
[00:03:59.000 --> 00:04:02.000]  所以羅馬書三章23節所說的那句
[00:04:02.000 --> 00:04:05.000]  不是對那些不信主的人說的
[00:04:05.000 --> 00:04:07.000]  世人包括了你和我在內
[00:04:07.000 --> 00:04:09.000]  規決神的榮耀
[00:04:09.000 --> 00:04:12.000]  因為他的吩咐不會實行,就是這麼簡單
[00:04:12.000 --> 00:04:14.000]  亞當夏娃沒有殺人放火,沒有姦淫污辱
[00:04:14.000 --> 00:04:16.000]  沒有在那裡偷偷拐騙
[00:04:16.000 --> 00:04:17.000]  只有一件事幹
[00:04:17.000 --> 00:04:20.000]  耶和華神吩咐的,他不做
[00:04:20.000 --> 00:04:22.000]  就是這麼簡單
[00:04:22.000 --> 00:04:23.000]  為什麼呢?
[00:04:23.000 --> 00:04:26.000]  因為在創造裡面顯示了神的榮耀
[00:04:26.000 --> 00:04:28.000]  在今天的《讀經釋義》
[00:04:28.000 --> 00:04:31.000]  《貢義不疏書》第一章一到十四節
[00:04:31.000 --> 00:04:34.000]  是說到神的榮耀得著稱讚
[00:04:34.000 --> 00:04:38.000]  神榮耀的恩典得著稱讚
[00:04:38.000 --> 00:04:41.000]  神的榮耀和神的恩典有關
[00:04:41.000 --> 00:04:44.000]  神的榮耀和神的創造有關
[00:04:44.000 --> 00:04:47.000]  神的榮耀和神的救贖有關
[00:04:47.000 --> 00:04:52.000]  神的榮耀和神的本能有關
[00:04:52.000 --> 00:04:54.000]  在神的創造裡面
[00:04:54.000 --> 00:04:56.000]  恩典裡面是神所賜的
[00:04:56.000 --> 00:04:58.000]  祂得榮耀
[00:04:58.000 --> 00:05:01.000]  耶穌基督成就了救贖的恩典的福音
[00:05:01.000 --> 00:05:04.000]  令到祂得榮耀
[00:05:04.000 --> 00:05:06.000]  今天我們這一班在祂面前
[00:05:06.000 --> 00:05:08.000]  被祂贖回來的人
[00:05:08.000 --> 00:05:09.000]  我用贖回來就是
[00:05:09.000 --> 00:05:11.000]  祂用寶血重鑑贖回來的人
[00:05:11.000 --> 00:05:15.000]  聖靈在我們心中給我們得基業的憑據
[00:05:15.000 --> 00:05:17.000]  叫我們來榮耀祂
[00:05:17.000 --> 00:05:18.000]  不單單是今生
[00:05:18.000 --> 00:05:21.000]  很明顯地只要約翰在拔剝海盜所見到的話
[00:05:21.000 --> 00:05:24.000]  在未來的日子裡面
[00:05:24.000 --> 00:05:28.000]  不單單只要見到耶穌基督沒有榮耀
[00:05:28.000 --> 00:05:31.000]  他見到這一眾天使
[00:05:31.000 --> 00:05:32.000]  眾長老
[00:05:32.000 --> 00:05:35.000]  還有那些被祂買贖回來的人
[00:05:35.000 --> 00:05:38.000]  是祂寶血重鑑贖回來的人
[00:05:38.000 --> 00:05:40.000]  都在這裡將榮耀歸給祂
[00:05:40.000 --> 00:05:42.000]  所以求主幫助我們今天
[00:05:42.000 --> 00:05:47.000]  在地上知道怎樣去過一個榮耀神的生活
[00:05:47.000 --> 00:05:49.000]  在上一次和大家看的六家福音
[00:05:49.000 --> 00:05:52.000]  記載那個大麻瘋患者
[00:05:52.000 --> 00:05:54.000]  他因為榮耀歸給神
[00:05:54.000 --> 00:05:57.000]  所以他不單單病得醫治
[00:05:57.000 --> 00:06:01.000]  更加重要的是他得到永生
[00:06:01.000 --> 00:06:03.000]  你的信教了你
[00:06:03.000 --> 00:06:05.000]  今天在這個世界上
[00:06:05.000 --> 00:06:09.000]  到底神的創造裡面的時候
[00:06:09.000 --> 00:06:13.000]  今天我們有沒有見到祂的榮耀
