
[00:00:00.000 --> 00:00:01.800]  在新年期間
[00:00:01.800 --> 00:00:05.360]  無論是中文的電視台
[00:00:05.360 --> 00:00:06.920]  英文的電視台
[00:00:06.920 --> 00:00:09.860]  都會訪問那些風水佬
[00:00:09.860 --> 00:00:13.320]  我發覺到現在越來越多
[00:00:13.320 --> 00:00:16.800]  你看到今天的人對前途
[00:00:16.800 --> 00:00:18.380]  非常感興趣
[00:00:18.380 --> 00:00:21.580]  但另一方面你也看到人對前面的路
[00:00:21.580 --> 00:00:23.540]  是非常沒有安全感
[00:00:23.540 --> 00:00:25.780]  他們很想有些東西抓得緊
[00:00:25.780 --> 00:00:28.760]  以致他們有些安全感 安慰到自己
[00:00:29.720 --> 00:00:31.540]  我們看到這些
[00:00:31.540 --> 00:00:36.000]  占卜也好 解籤也好
[00:00:36.000 --> 00:00:39.000]  轉風車也好 然後投注箱也好
[00:00:39.000 --> 00:00:42.100]  今天早上不是最早是我們告訴大家
[00:00:42.100 --> 00:00:44.180]  最早是黃大仙那裡
[00:00:44.180 --> 00:00:46.260]  天美光已經在那裡等了
[00:00:46.260 --> 00:00:47.740]  排排長龍在那裡等
[00:00:47.740 --> 00:00:48.760]  為什麼要等呢
[00:00:48.760 --> 00:00:50.020]  因為拿投注箱嘛
[00:00:50.020 --> 00:00:51.720]  衝得快 很世界他們覺得
[00:00:51.720 --> 00:00:53.660]  衝進去的時候 一插插進去
[00:00:53.660 --> 00:00:55.440]  然後許個願 這樣就走了
[00:00:55.440 --> 00:00:57.040]  不理其他人怎麼辦
[00:00:57.040 --> 00:00:58.960]  總之推下人家都要去的了
[00:00:58.960 --> 00:01:02.360]  這是今天香港一些很特別
[00:01:02.360 --> 00:01:04.280]  但另一方面我們也看到
[00:01:04.280 --> 00:01:08.000]  一般人的信仰是為了誰
[00:01:08.000 --> 00:01:10.280]  是為了自己
[00:01:10.280 --> 00:01:13.480]  是要推下人家 抬高自己
[00:01:13.480 --> 00:01:15.480]  保護自己 保障自己
[00:01:15.480 --> 00:01:17.600]  但我們看回聖經
[00:01:17.600 --> 00:01:20.680]  從頭到尾都要告訴我們
