
[00:00:00.000 --> 00:00:06.000]  正話守中隊為我們獻上讚美的祭
[00:00:06.000 --> 00:00:09.000]  你有沒有阿門呢?
[00:00:09.000 --> 00:00:12.000]  你在阿門的過程裏面
[00:00:12.000 --> 00:00:15.000]  有沒有學到一些屬靈的功課呢?
[00:00:15.000 --> 00:00:22.000]  神有沒有透過守中隊的整個演奏的過程
[00:00:22.000 --> 00:00:24.000]  獻師的過程
[00:00:24.000 --> 00:00:26.000]  提醒到你
[00:00:26.000 --> 00:00:32.000]  我在這裏是不是好像這隊守中隊一樣
[00:00:32.000 --> 00:00:34.000]  用我的生命
[00:00:34.000 --> 00:00:36.000]  站緊我的崗位
[00:00:36.000 --> 00:00:38.000]  信服在神的帶領
[00:00:38.000 --> 00:00:41.000]  或者神安排的領袖的帶領
[00:00:41.000 --> 00:00:43.000]  彼此的配搭
[00:00:43.000 --> 00:00:47.000]  一起去組成一個
[00:00:47.000 --> 00:00:50.000]  很美麗很和諧的詩歌
[00:00:50.000 --> 00:00:52.000]  獻上給神
[00:00:52.000 --> 00:00:54.000]  讓神得著滿足
[00:00:54.000 --> 00:00:58.000]  得著當得的榮耀呢?
[00:00:58.000 --> 00:00:59.000]  喜樂
[00:00:59.000 --> 00:01:02.000]  我們剛剛這些隊員獻完詩後
[00:01:02.000 --> 00:01:04.000]  心裏面都很有喜樂
[00:01:04.000 --> 00:01:06.000]  指揮都很有喜樂
[00:01:06.000 --> 00:01:10.000]  真的沒有人能夠保證整個過程是否一定順利
[00:01:10.000 --> 00:01:13.000]  每個人都盡心看著指揮
[00:01:13.000 --> 00:01:15.000]  指揮很盡心按著琴譜
[00:01:15.000 --> 00:01:17.000]  確鎖領袖的
[00:01:17.000 --> 00:01:19.000]  去演繹去帶領
[00:01:19.000 --> 00:01:26.000]  所謂信服信任聽受指揮
[00:01:26.000 --> 00:01:31.000]  是令到大家可以成功地去演繹一首詩歌
[00:01:31.000 --> 00:01:34.000]  我們整個人生就是一個這樣的樂譜
