
[00:00:00.000 --> 00:00:06.000]  好 弟兄姊妹 我們今天思想到羅馬書第八章第一至第十七節
[00:00:06.000 --> 00:00:12.000]  基本上有很多讀聖經的人都發覺羅馬書
[00:00:12.000 --> 00:00:18.560]  其實就是在整個聖經當中是一個很完備
[00:00:18.560 --> 00:00:22.680]  來講神的救贖工作的一卷書
[00:00:22.680 --> 00:00:26.600]  而讀到羅馬書特別是第八章的時候
[00:00:26.600 --> 00:00:30.680]  可以這麼說其實就進入了一個高潮
[00:00:30.680 --> 00:00:32.320]  這個高潮就是講到
[00:00:32.320 --> 00:00:37.480]  夢神救贖的人他們是過一種怎樣的生活呢?
[00:00:37.480 --> 00:00:41.160]  基本上在第五章開始就已經講這種的生活
[00:00:41.160 --> 00:00:43.440]  但是在當中就穿插著
[00:00:43.440 --> 00:00:49.000]  去解釋到人的罪性 律法的權勢
[00:00:49.000 --> 00:00:50.920]  但是到了第八章的時候
[00:00:50.920 --> 00:00:59.880]  保羅就很清楚的展現了一種夢神喜悅的生活模式究竟是怎樣
[00:00:59.880 --> 00:01:05.520]  所以有些解釋聖經的人或者講解聖經的人就說
[00:01:05.520 --> 00:01:11.120]  羅馬書就好像是一顆珍珠在一個海灘上面
[00:01:11.120 --> 00:01:16.160]  而羅馬書的第八章就是這個珍珠上面
[00:01:16.160 --> 00:01:21.800]  那些最閃亮的 亮澤的色彩的光芒
[00:01:21.800 --> 00:01:27.160]  我們今天就去看看羅馬書第八章的第一部分
[00:01:27.160 --> 00:01:28.760]  基本上一開始的時候
[00:01:28.760 --> 00:01:31.920]  我重溫少少你在第七章的時候
[00:01:31.920 --> 00:01:35.080]  結尾的時候第七章基本上就講到
[00:01:35.080 --> 00:01:41.040]  一個天然的人是受著罪和死的律的困擾
[00:01:41.040 --> 00:01:42.000]  什麼叫天然的人呢?
[00:01:42.000 --> 00:01:49.640]  就是說一個不是屬於神的人或者一個沒有被神拯救的人
[00:01:49.640 --> 00:01:53.800]  基本上他仍然活在罪中的時候
[00:01:53.800 --> 00:01:57.520]  他是有一些捆綁他的定律
[00:01:57.520 --> 00:02:02.200]  在他的行事為人是有一些捆綁他的定律來主宰著他的
[00:02:02.200 --> 00:02:07.400]  這個狀況就是被罪和死捆綁的定律
[00:02:07.400 --> 00:02:10.560]  所以羅馬書第七章第23節說
[00:02:10.560 --> 00:02:12.880]  但我覺得肢體中另有個律
[00:02:12.880 --> 00:02:14.560]  和我心中的律交戰
[00:02:14.560 --> 00:02:18.080]  把我腦去叫我服從那肢體中犯罪的律
[00:02:18.080 --> 00:02:21.920]  我真是苦啊誰能救我脫離這取死的身體呢?
[00:02:21.920 --> 00:02:25.240]  上一次都講過其實這個不是講那個時間
