
[00:00:00.000 --> 00:00:03.000]  讓我們一起再一次禱告
[00:00:03.000 --> 00:00:08.000]  來到二零一六年的尾聲
[00:00:08.000 --> 00:00:10.000]  踏入十二月
[00:00:10.000 --> 00:00:14.000]  神我們再次向你禱告
[00:00:14.000 --> 00:00:16.000]  雅各書說
[00:00:16.000 --> 00:00:20.000]  你們親近神,神就必親近你
[00:00:20.000 --> 00:00:22.000]  今天早上
[00:00:22.000 --> 00:00:25.000]  神我們每一個人來到你的面前
[00:00:25.000 --> 00:00:28.000]  願意放下我們心裡面
[00:00:28.000 --> 00:00:31.000]  難了我們的人和事
[00:00:31.000 --> 00:00:33.000]  好叫你的話
[00:00:33.000 --> 00:00:36.000]  再照明我們心中的眼睛
[00:00:36.000 --> 00:00:38.000]  不單止明白
[00:00:38.000 --> 00:00:42.000]  你有不盡救贖的恩典環繞我們
[00:00:42.000 --> 00:00:44.000]  更加照我們知道
[00:00:44.000 --> 00:00:46.000]  我們今天活在這個世代
[00:00:46.000 --> 00:00:48.000]  是何等有指望
[00:00:48.000 --> 00:00:51.000]  使我們和我們的家庭
[00:00:51.000 --> 00:00:54.000]  特別是基督信徒的家庭
[00:00:54.000 --> 00:00:59.000]  能夠站在世人和彎曲背貌的世代面前
[00:00:59.000 --> 00:01:03.000]  作你的炎,成為你的光
[00:01:03.000 --> 00:01:06.000]  能夠見證耶穌基督你的真愛
[00:01:06.000 --> 00:01:11.000]  在聖誕以至一生照亮萬民
[00:01:11.000 --> 00:01:14.000]  願你幫助我們和我們的家庭
[00:01:14.000 --> 00:01:20.000]  使我們能夠符合你自己的鼓勵和教導
[00:01:20.000 --> 00:01:26.000]  我們這樣的禱告是借群洋大牧者耶穌基督的名球
[00:01:26.000 --> 00:01:28.000]  阿們
[00:01:51.000 --> 00:01:53.000]  但其實當我一看
[00:01:53.000 --> 00:01:56.000]  咦,我發覺原來今年二月又搞過
[00:01:56.000 --> 00:01:58.000]  六月又搞過
[00:01:58.000 --> 00:02:01.000]  八月都搞過,來到現在就是十二月
[00:02:01.000 --> 00:02:04.000]  不過他就說寄聖誕
[00:02:04.000 --> 00:02:07.000]  就不是夏天,不是什麼春節
[00:02:07.000 --> 00:02:09.000]  不是農曆年
[00:02:09.000 --> 00:02:11.000]  全部都是說結婚
[00:02:11.000 --> 00:02:15.000]  難怪乎有些爸爸媽媽就一定會叫他們
[00:02:15.000 --> 00:02:17.000]  就快結婚的一些子女說
