
[00:00:00.000 --> 00:00:03.000]  中國人有一句話大家一定聽過講過
[00:00:03.000 --> 00:00:06.000]  「人之將死,其言也事」
[00:00:06.000 --> 00:00:11.000]  有一次病得很重的病人
[00:00:11.000 --> 00:00:15.000]  在病床那裡就帶著一個氧氣筒
[00:00:15.000 --> 00:00:18.000]  臉神痛苦
[00:00:18.000 --> 00:00:20.000]  好像想說話,說不出來那樣
[00:00:20.000 --> 00:00:24.000]  就站在病床旁邊的牧師
[00:00:24.000 --> 00:00:26.000]  就立刻跟他說
[00:00:26.000 --> 00:00:27.000]  「你是不是想說話?」
[00:00:27.000 --> 00:00:29.000]  這個病人就抬頭
[00:00:29.000 --> 00:00:31.000]  牧師就很機靈
[00:00:31.000 --> 00:00:33.000]  從口袋裡拿了紙和筆
[00:00:33.000 --> 00:00:34.000]  就跟他說
[00:00:34.000 --> 00:00:35.000]  「你說不了不要緊」
[00:00:35.000 --> 00:00:37.000]  「你把你要說的話寫下來」
[00:00:37.000 --> 00:00:40.000]  「我會把你的說話交給你太太」
[00:00:40.000 --> 00:00:42.000]  「你太太就在病房外面而已」
[00:00:42.000 --> 00:00:44.000]  這個病人就很辛苦
[00:00:44.000 --> 00:00:47.000]  就把最後幾句話寫下來
[00:00:47.000 --> 00:00:51.000]  作為牧師都很會做
[00:00:51.000 --> 00:00:54.000]  就立刻把我的字條袋在袋子裡
[00:00:54.000 --> 00:00:59.000]  為死去的病人作一個最後的禱告
[00:00:59.000 --> 00:01:03.000]  然後病人就離去
[00:01:03.000 --> 00:01:11.000]  牧師就把這個字條給了病房外面的太太
[00:01:11.000 --> 00:01:12.000]  那太太當然很傷心
[00:01:12.000 --> 00:01:13.000]  知道丈夫離世
[00:01:13.000 --> 00:01:16.000]  那太太就打開字條一看的時候
[00:01:16.000 --> 00:01:18.000]  字條上面寫著
[00:01:18.000 --> 00:01:19.000]  「牧師請你馬上離開」
[00:01:19.000 --> 00:01:24.000]  「因為你站在我的氧氣管上」
[00:01:24.000 --> 00:01:27.000]  也許這是一個笑話
[00:01:27.000 --> 00:01:29.000]  不過這個笑話告訴我們
[00:01:29.000 --> 00:01:32.000]  人生很真實的事實
[00:01:32.000 --> 00:01:36.000]  人來到人生的尾站的時候
[00:01:36.000 --> 00:01:39.000]  不會說一些浪費時間
[00:01:39.000 --> 00:01:41.000]  跟你說今天天氣好
[00:01:41.000 --> 00:01:44.000]  這些無關痛癢的事
[00:01:44.000 --> 00:01:46.000]  人在臨終的時候
[00:01:46.000 --> 00:01:48.000]  到生命將要完結的時候
[00:01:48.000 --> 00:01:51.000]  總是會說一些對生命來說很重要
[00:01:51.000 --> 00:01:55.000]  或者對所愛的人很重要的事情
[00:01:55.000 --> 00:02:01.000]  今天的經文一開始的時候就說得很清楚
[00:02:01.000 --> 00:02:05.000]  就是大衛沒了的說話
[00:02:05.000 --> 00:02:07.000]  讓我們一同看看
[00:02:07.000 --> 00:02:11.000]  在人生大起大跌的大衛
[00:02:11.000 --> 00:02:15.000]  當他來到人生終結的時候
[00:02:15.000 --> 00:02:16.000]  他會說些什麼話呢
[00:02:16.000 --> 00:02:19.000]  讓這幾句話成為我們今天學習的功課
[00:02:19.000 --> 00:02:22.000]  這段經文一開始的時候
[00:02:22.000 --> 00:02:26.000]  大衛介紹了自己就是耶穌的兒子
[00:02:26.000 --> 00:02:28.000]  我們就問耶穌是什麼人
[00:02:28.000 --> 00:02:29.000]  是誰來的
[00:02:29.000 --> 00:02:32.000]  聖經沒有詳細的告訴我們
[00:02:32.000 --> 00:02:33.000]  耶穌是誰
[00:02:33.000 --> 00:02:35.000]  我們只不過知道
[00:02:35.000 --> 00:02:37.000]  耶穌就是大衛的父親
[00:02:37.000 --> 00:02:39.000]  他有八個兒子
[00:02:39.000 --> 00:02:44.000]  他也是耶穌家譜裡面的其中一個
[00:02:44.000 --> 00:02:47.000]  他應該不會很窮
[00:02:47.000 --> 00:02:48.000]  為什麼呢
[00:02:48.000 --> 00:02:49.000]  因為他有很多羊
[00:02:49.000 --> 00:02:51.000]  有這麼多羊應該不是窮人
[00:02:51.000 --> 00:02:53.000]  不過他也應該不是一個很有錢的人
[00:02:53.000 --> 00:02:54.000]  為什麼呢
[00:02:54.000 --> 00:02:57.000]  因為他要他的兒子來看羊
[00:02:57.000 --> 00:03:00.000]  你有錢的話應該可以請人來幫他看羊
[00:03:00.000 --> 00:03:02.000]  所以他應該不是很有錢
[00:03:02.000 --> 00:03:03.000]  也不是一個很窮的人
[00:03:03.000 --> 00:03:04.000]  那是什麼呢
