
[00:00:00.000 --> 00:00:06.800]  頂姐妹,今天我要跟大家用詩篇90篇所說的經文
[00:00:06.800 --> 00:00:12.320]  那個講題是人生的感悟
[00:00:12.320 --> 00:00:17.720]  先讓我們一起低頭禱告
[00:00:17.720 --> 00:00:20.360]  親愛的天父,我們多謝你
[00:00:20.360 --> 00:00:23.240]  因為你與我們同在
[00:00:23.240 --> 00:00:26.160]  從我們的出生
[00:00:26.160 --> 00:00:31.040]  以前你已經按你的旨意
[00:00:31.040 --> 00:00:33.840]  心裏面已經有我們
[00:00:33.840 --> 00:00:36.760]  感謝主,因為你是永恆的主
[00:00:36.760 --> 00:00:39.320]  你是值得投靠的
[00:00:39.320 --> 00:00:41.840]  你是我們安居之所
[00:00:41.840 --> 00:00:45.560]  叫我們真能夠懂得聽你的呼喚
[00:00:45.560 --> 00:00:48.600]  歸回你自己的名下
[00:00:48.600 --> 00:00:55.200]  懂得按你的判斷、你的威嚴去敬畏你
[00:00:55.200 --> 00:00:59.960]  求你將你的榮美歸在我們的身上
[00:00:59.960 --> 00:01:03.520]  我們所做的功,願你建立
[00:01:03.520 --> 00:01:06.680]  聽我們的祈禱,奉基督耶穌的名
[00:01:06.680 --> 00:01:09.680]  阿門
[00:01:09.680 --> 00:01:13.600]  各位親愛的頂姐妹
[00:01:13.600 --> 00:01:15.600]  在這裏真的再說一次
[00:01:15.600 --> 00:01:18.760]  願上帝願你同在
[00:01:18.760 --> 00:01:20.960]  聖誕快樂
[00:01:20.960 --> 00:01:24.520]  新年蒙恩
[00:01:24.520 --> 00:01:30.800]  很感恩能夠在2020年最後一次崇拜
[00:01:30.800 --> 00:01:34.160]  有機會透過詩篇90篇
[00:01:34.160 --> 00:01:36.520]  摩西的禱告
[00:01:36.520 --> 00:01:38.840]  和大家分享
[00:01:38.840 --> 00:01:42.600]  來自一個經歷過人生起跌
[00:01:42.600 --> 00:01:45.000]  和大風大浪
[00:01:45.000 --> 00:01:51.280]  屬靈長者的四個人生的感悟
[00:01:51.280 --> 00:01:54.560]  我在想這四個感悟
[00:01:54.560 --> 00:01:59.240]  或者也會引起你們心裏的共鳴
[00:01:59.240 --> 00:02:00.200]  好
[00:02:00.200 --> 00:02:05.080]  就讓我們在今年最後一次崇拜裏面
[00:02:05.080 --> 00:02:07.160]  和摩西一起
[00:02:07.160 --> 00:02:11.320]  同心合意地向我們的神禱告
[00:02:11.320 --> 00:02:15.560]  求神使他的榮美歸在我們的身上
[00:02:15.560 --> 00:02:21.920]  叫我們的生命可以向世人反照他的榮光
[00:02:21.920 --> 00:02:25.200]  好不好? 弟兄姊妹
[00:02:25.200 --> 00:02:29.720]  讓我們一起進入這篇詩篇
[00:02:29.720 --> 00:02:31.720]  第一個感悟就是
[00:02:31.720 --> 00:02:36.880]  只有永恆的主是我們安居之所
[00:02:36.880 --> 00:02:40.680]  只有永恆的主是我們安居之所
[00:02:40.680 --> 00:02:46.400]  就是第一第二節
[00:02:46.400 --> 00:02:49.120]  在這裏請聽我
[00:02:49.120 --> 00:02:52.440]  為大家這樣讀出這兩節經文
[00:02:52.440 --> 00:02:57.680]  我會用另一個方式去讀這兩節經文
[00:03:11.680 --> 00:03:12.480]  弟兄姊妹
[00:03:12.480 --> 00:03:16.720]  當我們讀這篇詩篇的時候
[00:03:16.720 --> 00:03:22.440]  我們可以將自己帶入摩西的生平裏面
[00:03:22.440 --> 00:03:26.680]  這樣就可以更深刻地體會
[00:03:26.680 --> 00:03:30.320]  摩西寫這篇詩的時候的心情
[00:03:30.320 --> 00:03:34.320]  和他所表達的意思到底是甚麼
[00:03:34.320 --> 00:03:43.160]  我們知道這篇詩是摩西年紀很老的時候所寫
[00:03:43.160 --> 00:03:46.280]  所以在他的禱告裏面
[00:03:46.280 --> 00:03:51.640]  相信必然會和他的生平有緊密的結合
[00:03:51.640 --> 00:03:55.320]  讓我們投入這篇詩
[00:03:55.320 --> 00:03:58.600]  帶入他的生平裏面
[00:03:58.600 --> 00:04:01.520]  首先摩西在第一第二節裏面
[00:04:01.520 --> 00:04:04.360]  他用這一句說話
[00:04:04.360 --> 00:04:10.720]  他說「從耿古到永遠,你是神」
[00:04:10.720 --> 00:04:15.720]  用這句說話去稱頌上帝永恆的屬性
[00:04:15.720 --> 00:04:21.480]  他又說「你世世代代作我們的居所」
[00:04:21.480 --> 00:04:23.480]  在這裏表明
[00:04:23.480 --> 00:04:29.240]  主是世人永恆安居的地方
[00:04:29.240 --> 00:04:33.400]  在這裏摩西或許會想起
[00:04:33.400 --> 00:04:37.080]  他在幼年到四十歲的時候
[00:04:37.080 --> 00:04:40.840]  曾經居住過的地方
[00:04:40.840 --> 00:04:42.040]  就是那裏
[00:04:42.040 --> 00:04:47.120]  曾經帶給他們民族絕望的
[00:04:47.120 --> 00:04:51.880]  那個錦衣玉食的埃及皇宮
[00:04:51.880 --> 00:05:00.280]  和那個曾經帶給他同胞苦難的埃及的泉地
[00:05:00.280 --> 00:05:02.240]  就算是現在
[00:05:02.240 --> 00:05:07.240]  摩西他們所停留的曠野是怎樣的呢?
[00:05:07.240 --> 00:05:09.680]  更加是黃沙滾滾
[00:05:09.680 --> 00:05:11.440]  廟無人煙
[00:05:11.440 --> 00:05:18.000]  而且還充滿著各種危險
[00:05:18.000 --> 00:05:21.840]  相對於令人不平安的住處
[00:05:21.840 --> 00:05:25.080]  摩西曾經在西奈山頂
[00:05:25.080 --> 00:05:28.480]  與神獨處四十晝夜
[00:05:28.480 --> 00:05:30.280]  與神同住
[00:05:30.280 --> 00:05:34.440]  那種安全寧靜的體驗
[00:05:34.440 --> 00:05:39.640]  必然帶給摩西刻骨銘心的印象
