
[00:00:00.000 --> 00:00:01.760]  我想問第一個問題
[00:00:01.760 --> 00:00:03.420]  你今天回來教會
[00:00:03.420 --> 00:00:04.900]  有沒有問過你爸爸
[00:00:04.900 --> 00:00:06.660]  讓不讓你回來?
[00:00:06.660 --> 00:00:09.300]  有沒有人有問過?
[00:00:09.300 --> 00:00:10.740]  沒有吧?
[00:00:10.740 --> 00:00:12.620]  這裡不是小朋友
[00:00:12.620 --> 00:00:14.100]  有沒有問過天父爸爸
[00:00:14.100 --> 00:00:16.180]  我今天來敬拜你?
[00:00:16.180 --> 00:00:18.620]  有
[00:00:18.620 --> 00:00:20.860]  這段經文是講到耶穌基督
[00:00:20.860 --> 00:00:23.300]  原來很多事情
[00:00:23.300 --> 00:00:25.580]  祂都會問天父爸爸
[00:00:25.580 --> 00:00:27.980]  那時候耶穌基督都不小了
[00:00:27.980 --> 00:00:31.460]  都是一個成年人 三十歲、三十多歲
[00:00:31.460 --> 00:00:34.820]  看到其實在祂的生命裡面
[00:00:34.820 --> 00:00:38.540]  祂和這位天父是多麼密切
[00:00:38.540 --> 00:00:41.500]  看到祂在每一件事情裡面
[00:00:41.500 --> 00:00:45.460]  都要問天父祂應該做
[00:00:45.460 --> 00:00:48.620]  何時做 怎樣做
[00:00:48.620 --> 00:00:52.620]  其實我自己很多時候都會問天父爸爸
[00:00:52.620 --> 00:00:55.980]  特別是準備講道的時候
[00:00:55.980 --> 00:00:59.060]  因為我相信一般的傳道人都會
[00:00:59.060 --> 00:01:01.860]  都會問:今次講什麼好呢?
[00:01:01.860 --> 00:01:03.460]  今次怎樣準備呢?
[00:01:03.460 --> 00:01:05.540]  今次有什麼訊息呢?
[00:01:05.540 --> 00:01:08.780]  很多時候我們都很盼望
[00:01:08.780 --> 00:01:11.660]  從神裡面能夠領受到
[00:01:11.660 --> 00:01:13.100]  我們在讀經的時候
[00:01:13.100 --> 00:01:14.340]  在祈禱的時候
[00:01:14.340 --> 00:01:17.580]  能夠看到天父給我們一些訊息
[00:01:17.580 --> 00:01:20.220]  我們自己都會感動
[00:01:20.220 --> 00:01:22.140]  我們都感動、感受到
[00:01:22.140 --> 00:01:25.740]  這個是要講給弟兄姊妹的
[00:01:25.740 --> 00:01:28.300]  應該跟教會去分享的
[00:01:28.300 --> 00:01:30.740]  這個我們都是很盼望的
[00:01:30.740 --> 00:01:32.700]  每一次都很清楚
[00:01:32.700 --> 00:01:35.900]  聽到天父爸爸跟我們講什麼話
[00:01:35.900 --> 00:01:38.700]  我們有什麼訊息去傳遞
[00:01:38.700 --> 00:01:43.220]  昨晚我和太太吃完飯
[00:01:43.220 --> 00:01:46.180]  大家各自努力準備講章
[00:01:46.180 --> 00:01:47.740]  我在這裡準備
[00:01:47.740 --> 00:01:48.620]  回來講道
[00:01:48.620 --> 00:01:51.340]  我太太就去教會講道
[00:01:51.340 --> 00:01:53.300]  我兒子見到這樣的情況之後
[00:01:53.300 --> 00:01:55.900]  就說:你有沒有試過
[00:01:55.900 --> 00:01:59.460]  沒有準備就去講道?
[00:01:59.460 --> 00:02:02.060]  我說:應該沒有的
[00:02:02.060 --> 00:02:06.020]  他的意思是:你沒有訊息去講道
[00:02:06.020 --> 00:02:07.940]  但我們很感恩
[00:02:07.940 --> 00:02:12.180]  一直去準備、一直去尋求神的恩典
[00:02:12.180 --> 00:02:15.580]  聽天父爸爸究竟有什麼訊息給我們
[00:02:15.580 --> 00:02:19.900]  我們能夠傳遞給弟兄姊妹
[00:02:19.900 --> 00:02:22.780]  這個是耶穌基督的教導
[00:02:22.780 --> 00:02:26.660]  當然剛才讀這兩節經文可以看到
[00:02:26.660 --> 00:02:30.300]  為什麼耶穌會說這兩句話
[00:02:30.300 --> 00:02:32.900]  我是天父的兒子
[00:02:32.900 --> 00:02:34.740]  憑自己做不到什麼
[00:02:34.740 --> 00:02:36.940]  是看到天父做我才去做
[00:02:36.940 --> 00:02:39.220]  當然在講這些話之前
[00:02:39.220 --> 00:02:42.140]  其實已經發生一件事情
[00:02:42.140 --> 00:02:43.260]  如果大家記得
[00:02:43.260 --> 00:02:45.180]  一個叫「不事大辭」
[00:02:45.180 --> 00:02:47.900]  耶穌曾經在安息日裡
[00:02:47.900 --> 00:02:51.660]  去醫治了一個瘸子的人
[00:02:51.660 --> 00:02:53.820]  叫他拿起瘸子
[00:02:53.820 --> 00:02:55.100]  起來行走
[00:02:55.100 --> 00:02:58.220]  當時這個人也很歡喜快樂
[00:02:58.220 --> 00:02:59.940]  其他人也看到很稀奇
[00:02:59.940 --> 00:03:01.740]  說把榮耀歸給神
[00:03:01.740 --> 00:03:03.140]  但有些人就不開心了
[00:03:03.140 --> 00:03:05.460]  這些法利塞人、文士就不開心
[00:03:05.460 --> 00:03:10.020]  因為看到耶穌在安息日裡為人治病
[00:03:10.020 --> 00:03:12.140]  這是不應該做的事情
[00:03:12.140 --> 00:03:13.220]  悶悶不樂
[00:03:13.220 --> 00:03:15.620]  甚至去追問耶穌
[00:03:15.620 --> 00:03:17.500]  耶穌於是說:
[00:03:17.500 --> 00:03:20.900]  我父做事直到如今
[00:03:20.900 --> 00:03:22.540]  我現在也要做事
[00:03:22.540 --> 00:03:24.540]  耶穌的意思是
[00:03:24.540 --> 00:03:27.860]  在安息日裡我要做一件事情
[00:03:27.860 --> 00:03:31.260]  我也是得到天父的同意
[00:03:31.260 --> 00:03:33.780]  得到天父的指引
[00:03:33.780 --> 00:03:37.340]  於是這些猶太人越發想殺祂
[00:03:37.340 --> 00:03:38.380]  聖經裡說
[00:03:38.380 --> 00:03:40.380]  不僅犯了安息日
[00:03:40.380 --> 00:03:44.900]  還稱神為天父
[00:03:44.900 --> 00:03:47.460]  本來稱神為天父也沒什麼問題
[00:03:47.460 --> 00:03:49.620]  我們今天稱神為天父
[00:03:49.620 --> 00:03:51.100]  也是應該的
[00:03:51.100 --> 00:03:55.980]  沒有什麼冒犯
[00:03:55.980 --> 00:03:59.740]  但耶穌基督將自己所做的
[00:03:59.740 --> 00:04:01.340]  與天父同等
[00:04:01.340 --> 00:04:03.460]  天父要我做,我做
[00:04:03.460 --> 00:04:05.100]  天父做的事情,我又做
[00:04:05.100 --> 00:04:07.580]  你不就是做神的一部分嗎?
[00:04:07.580 --> 00:04:09.580]  當然他是神的兒子
[00:04:09.580 --> 00:04:12.420]  但我們今天也藉著這段經文
[00:04:12.420 --> 00:04:15.700]  引申剛才十九、二十節所說
[00:04:15.700 --> 00:04:18.660]  祂與天父的關係
[00:04:18.660 --> 00:04:22.420]  祂如何跟隨天父做每一件事情
[00:04:22.420 --> 00:04:26.380]  我的題目是「憑自己不能做」
[00:04:26.380 --> 00:04:27.580]  因為其中一句說
[00:04:27.580 --> 00:04:29.900]  「只憑著自己,不能做什麼」
[00:04:29.900 --> 00:04:32.260]  簡單來說,憑自己不能做
[00:04:32.260 --> 00:04:33.260]  分開三方面
