
[00:00:00.000 --> 00:00:04.140]  最後再次感謝您,讓我們能夠肯定
[00:00:04.140 --> 00:00:07.080]  我們的救贖主今天是活著
[00:00:07.080 --> 00:00:09.640]  因為今天是復活節的一個主日
[00:00:09.640 --> 00:00:12.440]  我們祈求天父幫助我們
[00:00:12.440 --> 00:00:16.680]  讓我們能夠不單認知我們的主的復活
[00:00:16.680 --> 00:00:18.800]  而是在我們的生命裏面
[00:00:18.800 --> 00:00:21.980]  能夠經歷到這個復活主的大能
[00:00:21.980 --> 00:00:24.000]  能夠去轉化我們的生命
[00:00:24.000 --> 00:00:27.180]  讓我們的生命活得更加精彩
[00:00:27.180 --> 00:00:30.360]  求您親自與我們同在,祝福我們、補償我們
[00:00:30.360 --> 00:00:33.600]  聽我們的祈禱,奉主命求,Amen
[00:00:33.600 --> 00:00:35.920]  請坐
[00:00:35.920 --> 00:00:38.600]  在我們基督教信仰裏面有兩大節日
[00:00:38.600 --> 00:00:40.080]  當然一個節日就是聖誕節
[00:00:40.080 --> 00:00:42.640]  我們每年的十二月二十四、二十五日
[00:00:42.640 --> 00:00:46.380]  我們明白這是聖誕節很重要的一個節日
[00:00:46.380 --> 00:00:50.040]  而同樣的,我們第二個節日就是這個週末
[00:00:50.040 --> 00:00:52.040]  就是星期五是一個受難節
[00:00:52.040 --> 00:00:55.980]  星期日,今天就是復活節的一個主日
[00:00:55.980 --> 00:00:58.740]  當然,如果耶穌沒有出生
[00:00:58.740 --> 00:01:00.200]  也不會有受難
[00:01:00.200 --> 00:01:02.040]  沒有受難也不會有復活
[00:01:02.040 --> 00:01:04.520]  但同樣,在聖誕節裏面
[00:01:04.520 --> 00:01:08.040]  很多人都不會去質疑耶穌有沒有誕生過
[00:01:08.040 --> 00:01:10.040]  因為在整個文獻當中
[00:01:10.040 --> 00:01:14.400]  很多文獻裏面的確是記載過耶穌的誕生
[00:01:14.400 --> 00:01:16.380]  我們遲些會再講多一點
[00:01:16.380 --> 00:01:18.560]  但一方面,耶穌的復活
[00:01:18.560 --> 00:01:22.640]  的確也會帶給很多人很多疑惑
[00:01:22.640 --> 00:01:24.840]  因為我們對於復活觀
[00:01:24.840 --> 00:01:26.620]  是很難去明白的
[00:01:26.620 --> 00:01:30.840]  因為死是不難去明白的
[00:01:30.840 --> 00:01:32.960]  因為人人都會有一死
[00:01:32.960 --> 00:01:34.920]  但要死而復活
[00:01:34.920 --> 00:01:37.320]  的確是一個很大的挑戰
[00:01:37.320 --> 00:01:38.580]  因為今天你和我
[00:01:38.580 --> 00:01:43.800]  我相信你和我從來沒有見過死人復活
[00:01:43.800 --> 00:01:45.960]  如果誰見過的,你帶我見一次
[00:01:45.960 --> 00:01:48.440]  我相信真的很難去明白
[00:01:48.440 --> 00:01:51.520]  但另一方面,當我們說去明白
[00:01:51.520 --> 00:01:53.400]  相信耶穌的復活
[00:01:53.400 --> 00:01:57.800]  以致在過去二千年的確有很多人
[00:01:57.800 --> 00:02:02.880]  嘗試想去證明耶穌基督真的沒有復活
[00:02:02.880 --> 00:02:06.240]  因為只要證明耶穌基督沒有復活
[00:02:06.240 --> 00:02:09.520]  其實基督教信仰和其他的宗教信仰
[00:02:09.520 --> 00:02:11.320]  是沒有任何的分別
[00:02:11.320 --> 00:02:15.280]  因為所有宗教信仰的稱之為教主
[00:02:15.280 --> 00:02:17.280]  仍然都在墳墓裏面
[00:02:17.280 --> 00:02:21.960]  唯一耶穌基督的墳墓是空置在那裏
[00:02:21.960 --> 00:02:24.880]  因為耶穌基督已經是復活的主
[00:02:24.880 --> 00:02:28.200]  所以在過去二千年的確有很多人
[00:02:28.200 --> 00:02:30.520]  想去證明耶穌基督沒有復活
[00:02:30.520 --> 00:02:33.080]  不過當然在過程當中
[00:02:33.080 --> 00:02:35.440]  我們看到很多個案
[00:02:35.440 --> 00:02:38.640]  當他們去尋求、去研究、去思考
[00:02:38.640 --> 00:02:41.080]  想去證明耶穌基督沒有復活
[00:02:41.080 --> 00:02:44.280]  反而他們證明不到之餘
[00:02:44.280 --> 00:02:47.400]  絕大部分去找這些證據的人
[00:02:47.400 --> 00:02:49.320]  他們反而信了耶穌
