
[00:00:00.000 --> 00:00:03.320]  我今日的題目是「神聖完美的影兒」
[00:00:03.320 --> 00:00:07.880]  最後我會解釋這個題目是甚麼意思
[00:00:07.880 --> 00:00:10.600]  我們讀過聖經
[00:00:10.600 --> 00:00:15.200]  請你記住,我們今天會用很多的問題
[00:00:15.200 --> 00:00:18.440]  來問這兩節的聖經
[00:00:18.440 --> 00:00:22.480]  是關於我們的敬拜和讚美
[00:00:22.480 --> 00:00:24.600]  新約有兩卷書
[00:00:24.600 --> 00:00:28.120]  是很重要的,是講關於崇拜的
[00:00:28.120 --> 00:00:30.160]  是哪兩卷呢?
[00:00:30.160 --> 00:00:32.920]  第一卷是希伯來書
[00:00:32.920 --> 00:00:38.360]  希伯來書是講基督祭司的身份
[00:00:38.360 --> 00:00:40.360]  大祭司的身份
[00:00:40.360 --> 00:00:43.480]  祂是完全了舊約所有的律例
[00:00:43.480 --> 00:00:47.080]  以致我們可以去到神那裏去
[00:00:47.080 --> 00:00:50.680]  但是哪一個令基督可以進入聖所
[00:00:50.680 --> 00:00:52.680]  帶領真的崇拜呢?
[00:00:52.680 --> 00:00:56.880]  這卷書是很小心的解釋
[00:00:56.880 --> 00:01:01.720]  第二卷書是講到關於崇拜的
[00:01:01.720 --> 00:01:05.080]  在新約就是啟示錄
[00:01:05.080 --> 00:01:11.320]  啟示錄是使徒約翰勉勵當時被逼迫的基督徒
[00:01:11.320 --> 00:01:16.280]  他說你們是暫時的忍受苦難
[00:01:16.280 --> 00:01:20.760]  但你們要遙望基督作王那時的情景
[00:01:20.760 --> 00:01:25.600]  永恆的事當然影響我們現在的世界觀
[00:01:25.600 --> 00:01:27.600]  影響我們的生活
[00:01:27.600 --> 00:01:29.600]  影響我們的教會生活
[00:01:29.600 --> 00:01:31.600]  影響我們的基準
[00:01:31.600 --> 00:01:34.320]  有一個青年人訂婚之後
[00:01:34.320 --> 00:01:36.320]  他很多事情都變了
[00:01:36.320 --> 00:01:38.320]  我問他幹什麼
[00:01:38.320 --> 00:01:40.800]  他說等結婚
[00:01:40.800 --> 00:01:44.720]  原來將來的事真的都在影響我們
[00:01:44.720 --> 00:01:50.000]  不知道你的生活有沒有永恆的影移影響呢?
[00:01:50.000 --> 00:01:54.320]  你的觀念有沒有因永恆來改變呢?
[00:01:54.320 --> 00:01:58.320]  啟示錄其實是想影響我們
[00:01:58.320 --> 00:02:02.640]  起碼教會崇拜和聖學的觀念
[00:02:02.640 --> 00:02:08.080]  因此上帝將他的旨意已經寫在聖經裏面
[00:02:08.080 --> 00:02:10.560]  我們現在一起的仰望主
[00:02:10.560 --> 00:02:13.440]  求主幫助我們
[00:02:13.440 --> 00:02:15.440]  天父我們多謝你
[00:02:15.440 --> 00:02:17.440]  你賜下寶貴的話語
[00:02:17.440 --> 00:02:19.440]  你更賜下聖靈
[00:02:19.440 --> 00:02:21.840]  成為我們的導師
[00:02:21.840 --> 00:02:23.840]  懇求你幫助我們
[00:02:23.840 --> 00:02:25.840]  讀你自己的話語的時候
