
[00:00:00.000 --> 00:00:02.000]  求主幫助我們眾人
[00:00:02.000 --> 00:00:05.000]  在我們敬拜讚美的時候
[00:00:05.000 --> 00:00:08.000]  也在我們謙卑等候的時候
[00:00:08.000 --> 00:00:11.000]  顯出你自己的大能大德
[00:00:11.000 --> 00:00:14.000]  你的大恩你的大愛
[00:00:14.000 --> 00:00:18.000]  好讓我們認識你耶和華是獨一的真神
[00:00:18.000 --> 00:00:22.000]  讓我們眾人在你面前敬拜
[00:00:22.000 --> 00:00:25.000]  成為一個侍奉蒙你越南
[00:00:25.000 --> 00:00:27.000]  使我們的心靈
[00:00:27.000 --> 00:00:31.000]  不單在地上得著你的祈福
[00:00:31.000 --> 00:00:35.000]  更讓我們將這些恩典與更多人分享
[00:00:35.000 --> 00:00:36.000]  願榮耀歸給你
[00:00:36.000 --> 00:00:38.000]  奉耶穌名字祈求
[00:00:38.000 --> 00:00:40.000]  南無
[00:00:40.000 --> 00:00:42.000]  經文這樣說
[00:00:42.000 --> 00:00:45.000]  在這日以前和這日以後
[00:00:45.000 --> 00:00:47.000]  即是那一日
[00:00:47.000 --> 00:00:49.000]  即是約書雅祈禱那一日
[00:00:49.000 --> 00:00:51.000]  耶和華聽人的禱告
[00:00:51.000 --> 00:00:53.000]  沒有像這日的
[00:00:53.000 --> 00:00:56.000]  即是說歷史上只有那一次的禱告
[00:00:56.000 --> 00:01:01.000]  是顯出一個很特別的神蹟作為
[00:01:01.000 --> 00:01:06.000]  這個歧視不是能不能的問題
[00:01:06.000 --> 00:01:09.000]  因為在你和我是沒有辦法做得到的
[00:01:09.000 --> 00:01:13.000]  是你和我信不信的問題
[00:01:13.000 --> 00:01:14.000]  信什麼呢
[00:01:14.000 --> 00:01:16.000]  他說日庭月庭
[00:01:16.000 --> 00:01:19.000]  有沒有可能
[00:01:19.000 --> 00:01:21.000]  如果我們要證明有可能
[00:01:21.000 --> 00:01:23.000]  你妄想
[00:01:23.000 --> 00:01:26.000]  你怎樣證明
[00:01:26.000 --> 00:01:28.000]  這個只是一個事實
[00:01:28.000 --> 00:01:30.000]  如果聖經記載得到的話
[00:01:30.000 --> 00:01:33.000]  你只有憑信心去接受
[00:01:33.000 --> 00:01:36.000]  因為如果這個宇宙運行的規律
[00:01:36.000 --> 00:01:38.000]  是他創造的
[00:01:38.000 --> 00:01:40.000]  那他要停頓
[00:01:40.000 --> 00:01:42.000]  他可以隨時停頓
[00:01:42.000 --> 00:01:45.000]  但是那一日停頓的話
[00:01:45.000 --> 00:01:48.000]  是歷史上一個記載
[00:01:48.000 --> 00:01:51.000]  我曾經看過一些參考書
[00:01:51.000 --> 00:01:56.000]  他說在某些發達的國家裏
[00:01:56.000 --> 00:01:59.000]  他們用電腦去推算
[00:01:59.000 --> 00:02:01.000]  有沒有這樣的事實
[00:02:01.000 --> 00:02:03.000]  但我想怎樣推算都好
[00:02:03.000 --> 00:02:08.000]  不是證明這個說話是真還是假
[00:02:08.000 --> 00:02:10.000]  而是指一件事就是
[00:02:10.000 --> 00:02:12.000]  這件事擺在你眼前
[00:02:12.000 --> 00:02:15.000]  你信與不信
[00:02:15.000 --> 00:02:17.000]  今日我相信我們的信仰
[00:02:17.000 --> 00:02:20.000]  面對很大的考驗與衝擊
[00:02:20.000 --> 00:02:23.000]  問題是我們願不願意在
[00:02:23.000 --> 00:02:26.000]  神給我們的一些約裏
[00:02:26.000 --> 00:02:28.000]  神給我們的應許裏
[00:02:28.000 --> 00:02:30.000]  我們緊守呢
[00:02:30.000 --> 00:02:31.000]  所以今日
[00:02:31.000 --> 00:02:34.000]  稍後聚會時間會長一點
[00:02:34.000 --> 00:02:36.000]  我也不會說得太長
[00:02:36.000 --> 00:02:37.000]  因為有聖餐
