
[00:00:00.000 --> 00:00:02.000]  今天我的信息是說
[00:00:02.000 --> 00:00:08.000]  撼動神的禱告
[00:00:08.000 --> 00:00:10.000]  我們等一下來唱回應詩歌
[00:00:10.000 --> 00:00:14.000]  叫做我以禱告來到主跟前
[00:00:14.000 --> 00:00:17.000]  他有一句話說
[00:00:17.000 --> 00:00:19.000]  禱告搖動主的手
[00:00:19.000 --> 00:00:21.000]  可能嗎
[00:00:21.000 --> 00:00:25.000]  你可能有一個禱告能夠撼動神嗎
[00:00:25.000 --> 00:00:28.000]  所以我今天會跟各位來分享
[00:00:28.000 --> 00:00:31.000]  我剛開始會跟各位來分享
[00:00:31.000 --> 00:00:33.000]  就在初愛記第32章
[00:00:33.000 --> 00:00:35.000]  他有講到
[00:00:35.000 --> 00:00:40.000]  神因爲摩西的祈求而後悔
[00:00:40.000 --> 00:00:42.000]  可能嗎
[00:00:42.000 --> 00:00:44.000]  那麼跟着我會來
[00:00:44.000 --> 00:00:47.000]  跟各位來分享就是說
[00:00:47.000 --> 00:00:51.000]  神其實他有他的預定的旨意
[00:00:51.000 --> 00:00:54.000]  而且是誰的他的意思行的
[00:00:54.000 --> 00:00:57.000]  那麼我們要怎麼樣能夠明白
[00:00:57.000 --> 00:00:59.000]  神的旨意呢
[00:00:59.000 --> 00:01:00.000]  怎麼樣能夠知道
[00:01:00.000 --> 00:01:03.000]  神要怎麼做工做事呢
[00:01:03.000 --> 00:01:05.000]  你知道我們人的心意
[00:01:05.000 --> 00:01:06.000]  人的旨意
[00:01:06.000 --> 00:01:09.000]  人的意願會改變的
[00:01:09.000 --> 00:01:14.000]  我們可以用許多例子來說明他
[00:01:14.000 --> 00:01:17.000]  但是神的心意是不變的
[00:01:17.000 --> 00:01:20.000]  但是爲什麼聖經上面也有許許多多的
[00:01:20.000 --> 00:01:27.000]  譬如說是神改變了他的意思
[00:01:27.000 --> 00:01:28.000]  其實都有道理的
[00:01:28.000 --> 00:01:33.000]  最後我們再以那首歌來結束他
[00:01:33.000 --> 00:01:35.000]  是的
[00:01:35.000 --> 00:01:38.000]  初愛記第32章
[00:01:38.000 --> 00:01:40.000]  他是在講
[00:01:40.000 --> 00:01:45.000]  他說摩西上的西乃山去領受十戒法板
[00:01:45.000 --> 00:01:48.000]  結果老百姓在山下呢
[00:01:48.000 --> 00:01:53.000]  就收了金銀財寶耳環金戒指等
[00:01:53.000 --> 00:01:57.000]  那麼打造了一隻金牛犢
[00:01:57.000 --> 00:01:59.000]  而且來膜拜
[00:01:59.000 --> 00:02:03.000]  還說是金牛犢帶他們出埃及的
[00:02:03.000 --> 00:02:07.000]  結果大大的惹神的憤怒
[00:02:07.000 --> 00:02:10.000]  神說我要滅絕他們
[00:02:10.000 --> 00:02:11.000]  有沒有這回事
[00:02:11.000 --> 00:02:13.000]  我們在在我們的生命裏面
[00:02:13.000 --> 00:02:14.000]  有沒有
[00:02:14.000 --> 00:02:18.000]  有的時候我們所作所言所行
[00:02:18.000 --> 00:02:20.000]  惹神的憤怒
[00:02:20.000 --> 00:02:23.000]  神說要滅絕我們
[00:02:23.000 --> 00:02:25.000]  神說要滅絕他們
[00:02:25.000 --> 00:02:26.000]  是不是
[00:02:26.000 --> 00:02:29.000]  在舊約的時候確實如此
[00:02:29.000 --> 00:02:32.000]  神在挪亞的時候用大洪水
[00:02:32.000 --> 00:02:34.000]  把這個整個世界滅絕了
[00:02:34.000 --> 00:02:35.000]  是不是
[00:02:35.000 --> 00:02:38.000]  那麼到了後來
[00:02:38.000 --> 00:02:40.000]  快要到新約的時候
[00:02:40.000 --> 00:02:45.000]  神已經對人傷心到不願意跟人講話了
[00:02:45.000 --> 00:02:46.000]  是不是
[00:02:46.000 --> 00:02:49.000]  世界上滿了邪惡強暴
[00:02:49.000 --> 00:02:51.000]  還有遠離神
[00:02:51.000 --> 00:02:53.000]  個人偏行己路
[00:02:53.000 --> 00:02:56.000]  神說你們有蒙了眼
[00:02:56.000 --> 00:02:57.000]  有蒙了耳
[00:02:57.000 --> 00:02:59.000]  聽不到我講的
[00:02:59.000 --> 00:03:01.000]  看不見我的作爲
[00:03:01.000 --> 00:03:02.000]  是不是
[00:03:02.000 --> 00:03:07.000]  所以新舊約之間有一個四百年的靜默時期
[00:03:07.000 --> 00:03:09.000]  神不講話了
[00:03:09.000 --> 00:03:11.000]  人聽不到了
[00:03:11.000 --> 00:03:12.000]  是不是
[00:03:12.000 --> 00:03:14.000]  直到後來神說
[00:03:14.000 --> 00:03:17.000]  哎呀我的孩子啊
[00:03:17.000 --> 00:03:19.000]  光宗啊
[00:03:19.000 --> 00:03:22.000]  哎呀我的孩子阿英啊
[00:03:22.000 --> 00:03:23.000]  Laura
[00:03:23.000 --> 00:03:25.000]  我真愛你們啊
[00:03:25.000 --> 00:03:27.000]  怎麼辦呢
[00:03:27.000 --> 00:03:31.000]  找一個人會講人話的來跟你們講話吧
[00:03:31.000 --> 00:03:33.000]  所以就有了牧師了
[00:03:33.000 --> 00:03:35.000]  是不是
[00:03:35.000 --> 00:03:36.000]  牧師還不行
[00:03:36.000 --> 00:03:39.000]  牧師只能講天國的道理
[00:03:39.000 --> 00:03:41.000]  只能講救贖的恩典
[00:03:41.000 --> 00:03:43.000]  牧師也不能爲你贖罪嗎
[00:03:43.000 --> 00:03:44.000]  是不是
[00:03:44.000 --> 00:03:47.000]  所以只好派他的兒子道成肉身
[00:03:47.000 --> 00:03:48.000]  是不是
[00:03:48.000 --> 00:03:51.000]  將士爲人爲我們的罪被釘死在十字架上
[00:03:51.000 --> 00:03:54.000]  並且三天後復活昇天
[00:03:54.000 --> 00:03:56.000]  那耶穌來講的是人話
[00:03:56.000 --> 00:03:57.000]  是吧
[00:03:57.000 --> 00:03:58.000]  感謝神
[00:03:58.000 --> 00:04:00.000]  所以我們就有救了
[00:04:00.000 --> 00:04:01.000]  是不是
[00:04:01.000 --> 00:04:06.000]  同樣的就業時候神動不動要滅絕人
[00:04:06.000 --> 00:04:11.000]  那麼摩西就趕快來懇求耶和華神
[00:04:11.000 --> 00:04:13.000]  他說什麼
[00:04:13.000 --> 00:04:17.000]  他說求你轉移不發滅路
[00:04:17.000 --> 00:04:20.000]  後悔不降禍於你的百姓
[00:04:20.000 --> 00:04:22.000]  跟着有一句話
[00:04:22.000 --> 00:04:27.000]  就是說耶和華就不把所說的禍降於他的百姓
[00:04:27.000 --> 00:04:29.000]  耶和華就後悔
[00:04:29.000 --> 00:04:32.000]  有可能嗎
[00:04:32.000 --> 00:04:34.000]  於是耶和華後悔
[00:04:34.000 --> 00:04:35.000]  是吧
[00:04:35.000 --> 00:04:39.000]  其實呢
[00:04:39.000 --> 00:04:42.000]  我就稍微透露一點
[00:04:42.000 --> 00:04:48.000]  其實神的旨意在創世之前就已經預定好了
[00:04:48.000 --> 00:04:49.000]  是不是
[00:04:49.000 --> 00:04:52.000]  神也知道誰會接受他
[00:04:52.000 --> 00:04:54.000]  誰會不接受他
[00:04:54.000 --> 00:04:57.000]  神也知道誰會悖逆
[00:04:57.000 --> 00:04:58.000]  誰會不悖逆
[00:04:58.000 --> 00:05:01.000]  神也知道誰會愛他
[00:05:01.000 --> 00:05:03.000]  誰會跌倒
[00:05:03.000 --> 00:05:08.000]  神也知道彼得會三次不認主
[00:05:08.000 --> 00:05:14.000]  那麼神就是讓這個事情發生
[00:05:14.000 --> 00:05:17.000]  讓我們從中來做學習
[00:05:17.000 --> 00:05:20.000]  當我們做不對的時候受到管教
[00:05:20.000 --> 00:05:24.000]  當我們知道來他面前禱告的時候
[00:05:24.000 --> 00:05:28.000]  那麼神就再一次挽回
[00:05:28.000 --> 00:05:30.000]  這是我們要學的功課
[00:05:30.000 --> 00:05:35.000]  其實在預定就已經知道事情的發生
[00:05:35.000 --> 00:05:39.000]  那麼事情發生的過程神也知道
[00:05:39.000 --> 00:05:42.000]  最後的結局神也知道
[00:05:42.000 --> 00:05:45.000]  所以他就將計就計就順着
[00:05:45.000 --> 00:05:47.000]  因爲我們有自由意志
[00:05:47.000 --> 00:05:51.000]  就順着繼續不斷的帶領我們走向
[00:05:51.000 --> 00:05:55.000]  他爲我們所預備的所預定的
[00:05:55.000 --> 00:05:58.000]  所以神沒有後悔
[00:05:58.000 --> 00:06:02.000]  神早就知道百姓會造極牛犢
[00:06:02.000 --> 00:06:04.000]  膜拜會悖逆
[00:06:04.000 --> 00:06:11.000]  神也知道摩西會向他來求他轉移
[00:06:11.000 --> 00:06:13.000]  向爲人民來說話
[00:06:13.000 --> 00:06:16.000]  這神也知道他會原諒他們
[00:06:16.000 --> 00:06:19.000]  聖經上面就是這樣子的說的
[00:06:19.000 --> 00:06:25.000]  那麼神他有預定的旨意
[00:06:25.000 --> 00:06:28.000]  他也隨旨意來行
[00:06:28.000 --> 00:06:30.000]  我們剛開始所念的以賽亞書
[00:06:30.000 --> 00:06:31.000]  我們一起來唸一下
