
[00:00:00.000 --> 00:00:05.000]  今個星期的題目叫做「至尊錦囊」
[00:00:05.000 --> 00:00:08.000]  所以有些人都問,你說什麼呢?
[00:00:08.000 --> 00:00:12.000]  因為其實我們今季的題目叫做「忘記背後」
[00:00:12.000 --> 00:00:14.000]  所以一直在討論廣張
[00:00:14.000 --> 00:00:17.000]  都覺得我們為了發光,有什麼阻礙我們呢?
[00:00:17.000 --> 00:00:19.000]  我們一直處理
[00:00:19.000 --> 00:00:23.000]  談著談著,我們經常都會想起過往的事情
[00:00:23.000 --> 00:00:25.000]  就好像是一些不好的事情
[00:00:25.000 --> 00:00:27.000]  但其實又不是的
[00:00:27.000 --> 00:00:30.000]  當我們說要開展一個新的一頁
[00:00:30.000 --> 00:00:32.000]  或者我們努力向前的時候
[00:00:32.000 --> 00:00:35.000]  很多時候回顧都有兩方面的
[00:00:35.000 --> 00:00:37.000]  一定有正面的
[00:00:37.000 --> 00:00:40.000]  有些是好的地方,我們當然繼續保留著
[00:00:40.000 --> 00:00:43.000]  也謝謝,因為那些經歷
[00:00:43.000 --> 00:00:45.000]  都是塑造了今天的我,對不對?
[00:00:45.000 --> 00:00:48.000]  但當然,我們要是發現有些事情是覺得不OK
[00:00:48.000 --> 00:00:51.000]  我們真的一定要決定放下
[00:00:51.000 --> 00:00:53.000]  不然就會纏繞著我們
[00:00:53.000 --> 00:00:55.000]  所以當我自己去想的時候
[00:00:55.000 --> 00:00:58.000]  我就找了一個我很多年前讀書的時候
[00:00:58.000 --> 00:01:01.000]  其實對我來說都頗有祝福的
[00:01:01.000 --> 00:01:04.000]  頗有幫助的一個工具
[00:01:04.000 --> 00:01:07.000]  它就叫做「自尊錦囊」
[00:01:07.000 --> 00:01:09.000]  其實是來自沙維亞模式的
[00:01:09.000 --> 00:01:12.000]  大家都知道,我已經入血了
[00:01:12.000 --> 00:01:14.000]  錦囊是做什麼的呢?
[00:01:14.000 --> 00:01:16.000]  先介紹給大家
[00:01:16.000 --> 00:01:19.000]  這個工具其實如果你在青草地的輔導裏面
[00:01:19.000 --> 00:01:20.000]  我們都有的,OK?
[00:01:20.000 --> 00:01:22.000]  它最初是沒有垃圾袋的
[00:01:22.000 --> 00:01:24.000]  垃圾袋是後加的
[00:01:24.000 --> 00:01:27.000]  是的,這十幾年老師Grace Yeung加了進去
[00:01:27.000 --> 00:01:29.000]  我覺得都頗好的
[00:01:29.000 --> 00:01:32.000]  第一樣東西,紅色這個叫做「真心」
[00:01:32.000 --> 00:01:35.000]  「真心」是每個人都覺得自己真心的
[00:01:35.000 --> 00:01:39.000]  但當你如果真的好好地去面對自己的生命的時候
[00:01:39.000 --> 00:01:41.000]  你就發現原來我們很多時候
[00:01:41.000 --> 00:01:43.000]  能夠真心對人
[00:01:43.000 --> 00:01:46.000]  但是未必可以真心對自己
[00:01:46.000 --> 00:01:49.000]  很多時候,因為這個社會都有很多規範
[00:01:49.000 --> 00:01:51.000]  有很多很不好的標準
[00:01:51.000 --> 00:01:54.000]  以致到我們有時候做得別人喜歡自己的人
[00:01:54.000 --> 00:01:57.000]  其實很多時候會委屈了自己,OK?
[00:01:57.000 --> 00:01:59.000]  另外這個帽子,大家應該知道
[00:01:59.000 --> 00:02:01.000]  這是福爾摩斯的
[00:02:01.000 --> 00:02:03.000]  所以它是一個叫做什麼?
[00:02:03.000 --> 00:02:05.000]  偵探的帽子
[00:02:05.000 --> 00:02:06.000]  偵探的帽子是什麼意思呢?
[00:02:06.000 --> 00:02:07.000]  為什麼要經常戴偵探的帽子呢?
[00:02:07.000 --> 00:02:09.000]  簡單來說,它提醒我們
[00:02:09.000 --> 00:02:12.000]  就是不要再戴著法官帽子
[00:02:12.000 --> 00:02:14.000]  遇到什麼事情,聽到什麼都好
[00:02:14.000 --> 00:02:16.000]  以一個好奇的心去代替批判
[00:02:16.000 --> 00:02:18.000]  先不要這麼快批判
[00:02:18.000 --> 00:02:20.000]  這個權杖就叫做「勇氣權杖」
