
[00:00:00.000 --> 00:00:07.200]  我們還有不夠一年的時間就完結了二十世紀
[00:00:07.200 --> 00:00:09.200]  進入二十一世紀
[00:00:09.200 --> 00:00:14.000]  二十一世紀是一個新的時代
[00:00:14.000 --> 00:00:17.400]  這個時代有很多東西都不同
[00:00:17.400 --> 00:00:21.400]  無論是我們的生活方式
[00:00:21.400 --> 00:00:24.200]  生產方式都不一樣
[00:00:24.200 --> 00:00:29.400]  我們相信隨著那個經濟架構的改變
[00:00:30.000 --> 00:00:33.400]  包括了人與人之間來往的不同
[00:00:33.400 --> 00:00:36.400]  我們帶來新的改變
[00:00:36.400 --> 00:00:41.000]  不是我們這個世代的人能夠策劃
[00:00:41.000 --> 00:00:44.000]  甚至是監督的
[00:00:44.000 --> 00:00:48.000]  怎樣活在新世紀
[00:00:48.000 --> 00:00:52.600]  成了我近來一個很關心的問題
[00:00:52.600 --> 00:00:59.000]  想到這個怎樣活在新世紀
[00:00:59.000 --> 00:01:03.400]  我第一個念頭就是
[00:01:03.400 --> 00:01:09.400]  我一定要幫助教導我的兒女
[00:01:09.400 --> 00:01:13.400]  知道怎樣為自己做選擇
[00:01:13.400 --> 00:01:18.400]  拒絕跟在群眾的後面
[00:01:18.400 --> 00:01:21.400]  做一個沒有面孔的雞蛋頭
[00:01:21.400 --> 00:01:27.400]  讓我由一個希臘故事來引起這個話題
[00:01:27.400 --> 00:01:30.400]  這個是一個很美麗
[00:01:30.400 --> 00:01:36.400]  但也是很淒軟的一個希臘愛情小故事
[00:01:36.400 --> 00:01:41.400]  我們知道希臘神話目的不是講故事
[00:01:41.400 --> 00:01:45.400]  它為我們保留了古代的人
[00:01:45.400 --> 00:01:52.400]  他們的思想、感覺、理想和他們的悲哀
[00:01:54.400 --> 00:01:57.400]  而是西方文明的源頭
[00:01:57.400 --> 00:02:00.400]  讓我們知道早期的人
[00:02:00.400 --> 00:02:06.400]  他們的智慧、藝術、政治和做人的原本面貌
[00:02:06.400 --> 00:02:12.400]  希臘神話是始於荷馬一個大詩人
[00:02:12.400 --> 00:02:17.400]  不像我們一般的神話或者民間傳說
[00:02:17.400 --> 00:02:20.400]  有時是源自民間的無知
[00:02:20.400 --> 00:02:28.400]  所以希臘的神話蘇尼是為學者研究的一個深愛的題目
[00:02:28.400 --> 00:02:32.400]  我們知道不同的年代
[00:02:32.400 --> 00:02:35.400]  他們會有不同版本的神話
[00:02:35.400 --> 00:02:41.400]  有時有些的不同只是詞語的不同、收字的不同
[00:02:41.400 --> 00:02:44.400]  有時連情節都改變了
[00:02:44.400 --> 00:02:54.400]  目的是為著表達不同的人對社會和立身處世的不同
[00:02:54.400 --> 00:03:00.400]  所以希臘神話是一個有很大的承載力
[00:03:00.400 --> 00:03:06.400]  為我們講了非常豐富的做人道理
[00:03:06.400 --> 00:03:09.400]  我們要講這個故事
[00:03:09.400 --> 00:03:13.400]  男主角叫做皮拉莫斯
[00:03:13.400 --> 00:03:18.400]  是一個東方出名的俊男
[00:03:18.400 --> 00:03:22.400]  女主角叫做迪斯貝
[00:03:22.400 --> 00:03:25.400]  也是一個東方出名的美女
[00:03:25.400 --> 00:03:28.400]  他們住在巴比倫
[00:03:28.400 --> 00:03:33.400]  這兩個人事實上是比倫移居的
[00:03:33.400 --> 00:03:36.400]  大家分享同一個花園
[00:03:36.400 --> 00:03:39.400]  中間只是隔了一面牆
[00:03:39.400 --> 00:03:46.400]  不幸地這對青年男女的父母不贊成他們的戀情
[00:03:46.400 --> 00:03:48.400]  所以禁止他們來往
[00:03:48.400 --> 00:03:50.400]  也是禁止他們相見
[00:03:50.400 --> 00:03:53.400]  但是愛情是沒有辦法禁止的
[00:03:53.400 --> 00:04:00.400]  他們發現在相隔的牆壁中有一條裂縫
[00:04:00.400 --> 00:04:06.400]  他們隔著那條裂縫來互訴心曲
[00:04:06.400 --> 00:04:13.400]  但是越講越講就越增加他們一定要見面
[00:04:13.400 --> 00:04:16.400]  能夠彼此相擁這個環境
[00:04:16.400 --> 00:04:19.400]  所以有一晚他們就決定
[00:04:19.400 --> 00:04:22.400]  他們約好離開花園
