
[00:00:00.000 --> 00:00:04.840]  今天講到的題目是「他離我們國人不遠」
[00:00:04.840 --> 00:00:08.660]  經文是記載在《使徒行傳》的第十七章
[00:00:08.660 --> 00:00:11.160]  給大家看一個人物
[00:00:11.160 --> 00:00:13.900]  大家認不認識他?
[00:00:13.900 --> 00:00:16.100]  葉問就是了
[00:00:16.100 --> 00:00:19.200]  葉問有一句很出名的說話就是
[00:00:19.200 --> 00:00:20.480]  「我要一個打十個」
[00:00:20.480 --> 00:00:25.000]  我看完這段經文覺得保羅很像葉問
[00:00:25.000 --> 00:00:26.600]  甚至乎我覺得他比葉問更厲害
[00:00:26.600 --> 00:00:28.860]  因為他在這段經文裡
[00:00:28.860 --> 00:00:32.760]  跟了很多人進行一些神學的辯論
[00:00:32.760 --> 00:00:35.000]  尤其是十七章講到
[00:00:35.000 --> 00:00:40.320]  保羅因為要逃避猶太人迫害
[00:00:40.320 --> 00:00:44.360]  他暫時跟他的同伴西拉和提摩太一起
[00:00:44.360 --> 00:00:47.360]  要分開自己來到雅典
[00:00:47.360 --> 00:00:51.600]  去到雅典的時候就看到滿城都是偶像
[00:00:51.600 --> 00:00:53.500]  所以心裡很焦急
[00:00:54.120 --> 00:00:59.360]  希望西拉和提摩太一起來到雅典
[00:00:59.360 --> 00:01:02.660]  但他實在太為了雅典人的靈魂著急
[00:01:02.660 --> 00:01:03.660]  所以不等那麼多了
[00:01:03.660 --> 00:01:07.040]  他就自己一個去到猶太會堂
[00:01:07.040 --> 00:01:12.660]  跟著跟猶太人和信了主的希臘人辯論
[00:01:12.660 --> 00:01:15.040]  然後去到街市
[00:01:15.040 --> 00:01:18.160]  凡遇到人都跟他分享信仰
[00:01:18.160 --> 00:01:19.160]  不僅如此
[00:01:19.160 --> 00:01:22.840]  保羅更加挑戰當時在雅典城裡
[00:01:22.840 --> 00:01:25.620]  最有學識的那群希臘哲學家
[00:01:25.620 --> 00:01:27.840]  就跟他一起討論信仰
[00:01:27.840 --> 00:01:33.120]  因為雅典人平日真是無所事事
[00:01:33.120 --> 00:01:35.320]  他們喜歡聽一些八卦的東西
[00:01:35.320 --> 00:01:38.960]  所以他們覺得保羅說的挺有趣
[00:01:38.960 --> 00:01:44.360]  就邀請了去一個地方叫做阿勒巴古的地方做公開講道
[00:01:44.360 --> 00:01:47.320]  阿勒巴古是什麼地方呢
[00:01:47.320 --> 00:01:53.080]  其實是一個雅典做一個審判或者開會的地方
[00:01:53.080 --> 00:01:54.680]  保羅就邀請去那裡
[00:01:54.680 --> 00:01:59.200]  跟著一群雅典議會的議員
[00:01:59.200 --> 00:02:05.680]  哲學家和各個雅典的市民在那裡講了一篇很出名的道
[00:02:05.680 --> 00:02:11.960]  今天的講道其實主要就是我們一起去欣賞
[00:02:11.960 --> 00:02:15.800]  這篇這麼偉大的保羅的講道
[00:02:16.200 --> 00:02:18.200]  裡面有很多很多很多的訊息
[00:02:18.200 --> 00:02:22.400]  而我看回今天這個崇拜的場地
[00:02:22.400 --> 00:02:24.000]  很少這樣斜斜的
[00:02:24.000 --> 00:02:27.000]  通常如果我去其他教會講道是怎樣的
[00:02:27.000 --> 00:02:30.720]  港台是高一點然後就看著下去
[00:02:30.720 --> 00:02:32.680]  現在我是看著你們這樣的
[00:02:32.680 --> 00:02:38.920]  有一點像希臘或者羅馬那些公開的演講場地
[00:02:38.920 --> 00:02:44.040]  如果你有去過聖地或者羅馬那些地方
[00:02:44.040 --> 00:02:45.080]  就是好像這樣的
[00:02:45.480 --> 00:02:47.480]  所以我們不如就幻想一下
[00:02:47.480 --> 00:02:51.240]  今天我們回到二千年前的保羅
[00:02:51.240 --> 00:02:53.720]  當日可能就是這樣的場地
[00:02:53.720 --> 00:02:57.480]  我們就幻想一下我們身處的其中
[00:02:57.480 --> 00:03:01.800]  我們看看究竟保羅和我們要講些什麼
[00:03:01.800 --> 00:03:04.680]  又或者神直咀天經文和我們講些什麼
[00:03:04.680 --> 00:03:07.840]  保羅說其實他離我們不遠
[00:03:07.840 --> 00:03:12.000]  那我們就想神是不是真的和我們很近呢
[00:03:12.680 --> 00:03:15.640]  神和我們今天的關係是怎樣呢
[00:03:15.640 --> 00:03:17.880]  不如我們一起有個祈禱
[00:03:17.880 --> 00:03:21.080]  真下主參加天父我們要感謝你
[00:03:21.080 --> 00:03:24.280]  因為天父你將你的寶貴的救恩賜給我們
[00:03:24.280 --> 00:03:28.360]  並且將你的話語也一同讓我們明白
[00:03:28.360 --> 00:03:32.720]  主啊我們求你待會用今天講道的訊息
[00:03:32.720 --> 00:03:34.080]  讓我們看的經文
[00:03:34.080 --> 00:03:37.920]  讓每一個在當中的未信主的朋友
[00:03:37.920 --> 00:03:39.920]  甚至是我們的弟兄姊妹
[00:03:40.160 --> 00:03:42.800]  都一同在這段經文裡有所得著
[00:03:42.800 --> 00:03:45.320]  我們祈禱是奉耶穌基督聖名祈求
[00:03:45.320 --> 00:03:45.920]  阿們
[00:03:45.920 --> 00:03:48.160]  那我們來看看
[00:03:48.160 --> 00:03:51.480]  這段講道開始就是保羅說
[00:03:51.480 --> 00:03:54.000]  諸位雅典人
[00:03:54.000 --> 00:03:56.840]  我看你們凡事肯敬畏鬼神
[00:03:56.840 --> 00:03:58.800]  我到處走走的時候
[00:03:58.800 --> 00:04:01.200]  仔細觀察你們所敬拜的
[00:04:01.200 --> 00:04:03.640]  發現一座壇上面寫著
[00:04:03.640 --> 00:04:05.400]  獻給未識之神明
[00:04:05.400 --> 00:04:07.800]  你們所不認識而敬拜的
[00:04:07.800 --> 00:04:09.440]  我現在向你們宣告
[00:04:09.760 --> 00:04:12.040]  我用的是和修本
[00:04:12.040 --> 00:04:16.280]  保羅一開始向著雅典人示好
[00:04:16.280 --> 00:04:17.880]  稱讚一下他們
[00:04:17.880 --> 00:04:20.520]  說他們很敬畏鬼神
[00:04:20.520 --> 00:04:22.800]  即是說他們在宗教上很熱心
[00:04:22.800 --> 00:04:26.800]  不過不要聽他們說
[00:04:26.800 --> 00:04:28.640]  其實是很迷信
[00:04:28.640 --> 00:04:31.920]  保羅說他們迷信到怎樣呢
[00:04:31.920 --> 00:04:34.680]  就是他們甚麼神道拜
[00:04:34.680 --> 00:04:36.000]  很多神道拜
[00:04:36.000 --> 00:04:39.200]  甚至連他們不認識的神
[00:04:39.240 --> 00:04:40.120]  他們都會拜
[00:04:40.120 --> 00:04:44.160]  有學者說當時雅典人口不是很多
[00:04:44.160 --> 00:04:46.080]  其實大約三萬左右
[00:04:46.080 --> 00:04:50.160]  但是他們所敬拜的神明有多少
