
[00:00:00.000 --> 00:00:02.360]  各位靜姐妹 早安
[00:00:02.360 --> 00:00:06.440]  元主的平安與我們每一個同在
[00:00:06.440 --> 00:00:08.960]  相信在新的一年開始
[00:00:08.960 --> 00:00:11.200]  我們又面對新的挑戰
[00:00:11.200 --> 00:00:15.600]  不過我相信過去我們經歷頭四波
[00:00:15.600 --> 00:00:17.840]  上帝都更新了我們的生命
[00:00:17.840 --> 00:00:20.640]  我相信在這一段時間
[00:00:20.640 --> 00:00:21.920]  我們更懂得
[00:00:21.920 --> 00:00:25.960]  像剛才師哥和主席帶領我們禱告一樣
[00:00:25.960 --> 00:00:29.880]  我們更加去捉緊天父的應許
[00:00:29.880 --> 00:00:33.480]  使我們能夠在
[00:00:33.480 --> 00:00:36.440]  我們不能掌握到的時間裡
[00:00:36.440 --> 00:00:40.000]  仍然看見天父信實不變
[00:00:40.000 --> 00:00:43.720]  他賜下內心給我們平安
[00:00:43.720 --> 00:00:46.320]  並且有那份穩妥
[00:00:46.320 --> 00:00:47.840]  有一位年輕人
[00:00:47.840 --> 00:00:50.520]  他覺得自己很愛主
[00:00:50.520 --> 00:00:53.080]  當他回到教會的時候
[00:00:53.080 --> 00:00:56.600]  看到有些人犯了一些罪
[00:00:56.600 --> 00:01:00.400]  也看到全道人都好像有些缺失
[00:01:00.400 --> 00:01:04.360]  於是他決定離開教會
[00:01:04.360 --> 00:01:07.480]  他到遍不同的地方
[00:01:07.480 --> 00:01:09.600]  全港九新界
[00:01:09.600 --> 00:01:13.320]  很希望能夠找到一間他認為好的教會
[00:01:13.320 --> 00:01:15.240]  誰知一直都未找到
[00:01:15.240 --> 00:01:16.480]  有一個主日
[00:01:16.480 --> 00:01:19.360]  他上了一間樓上的教會
[00:01:19.360 --> 00:01:21.000]  二樓的教會
[00:01:21.000 --> 00:01:22.440]  進到教會裡
[00:01:22.440 --> 00:01:25.400]  他覺得這裡真的不錯
[00:01:25.400 --> 00:01:27.520]  當聽到牧師的講道時
[00:01:27.520 --> 00:01:30.320]  覺得牧師的講道很正常
[00:01:30.320 --> 00:01:32.000]  多回幾次之後
[00:01:32.000 --> 00:01:35.120]  他決定要加入這間教會
[00:01:35.120 --> 00:01:36.280]  很想留下來
[00:01:36.280 --> 00:01:37.920]  成為這間教會的會友
[00:01:37.920 --> 00:01:38.720]  他就找牧師
[00:01:38.720 --> 00:01:39.920]  「牧師!牧師!」
[00:01:39.920 --> 00:01:41.760]  「我很想成為你們的會友」
[00:01:41.760 --> 00:01:43.800]  「有什麼手足呢?」
[00:01:43.800 --> 00:01:47.800]  「因為我覺得我找到一間很完美的教會」
[00:01:47.800 --> 00:01:49.360]  牧師就跟他說
[00:01:49.360 --> 00:01:53.160]  「其實在地上沒有一間所謂完美的教會」
[00:01:53.160 --> 00:01:56.720]  「完美的教會就在天上」
[00:01:56.720 --> 00:02:01.400]  「縱使你覺得這一間是一間完美的教會」
[00:02:01.400 --> 00:02:06.960]  「都因為你加入的時候變得不完美」
[00:02:06.960 --> 00:02:10.240]  我不知道過去或者現在的我們
[00:02:10.240 --> 00:02:14.800]  會不會都好像這個年輕人一樣
[00:02:14.800 --> 00:02:16.000]  作為牧師
[00:02:16.000 --> 00:02:18.240]  我給大家的忠告是
[00:02:18.240 --> 00:02:22.960]  我們不要試圖去尋找一間完美的教會
[00:02:22.960 --> 00:02:25.280]  而是我們每一個都有份
[00:02:25.280 --> 00:02:32.480]  不斷地同心去共建一個更美的教會
[00:02:32.480 --> 00:02:34.160]  不知道對你們來說
[00:02:34.160 --> 00:02:37.080]  教會是什麼呢?
[00:02:37.080 --> 00:02:40.160]  我們知道教會不是一座建築物
[00:02:40.160 --> 00:02:42.120]  也不是一個組織
