
[00:00:00.000 --> 00:00:02.000]  頂姊妹 早晨
[00:00:02.000 --> 00:00:05.000]  我今日Pastor Chloe
[00:00:05.000 --> 00:00:07.000]  經常叫她做Sue
[00:00:07.000 --> 00:00:09.000]  Pastor Chloe叫我有一些經文
[00:00:09.000 --> 00:00:12.000]  要有一些分享出來
[00:00:12.000 --> 00:00:14.000]  我就用了
[00:00:14.000 --> 00:00:16.000]  怎樣給神呼召
[00:00:16.000 --> 00:00:18.000]  呼召了之後
[00:00:18.000 --> 00:00:21.000]  怎樣給神我們怎樣去回應
[00:00:21.000 --> 00:00:24.000]  和怎樣去行動
[00:00:24.000 --> 00:00:27.000]  我想其實這三樣東西
[00:00:27.000 --> 00:00:31.000]  是很聯繫的
[00:00:31.000 --> 00:00:33.000]  你有呼召
[00:00:33.000 --> 00:00:35.000]  然後就會有怎樣去回應
[00:00:35.000 --> 00:00:38.000]  然後又怎樣去行動
[00:00:38.000 --> 00:00:40.000]  然後我就在這裡寫著
[00:00:40.000 --> 00:00:42.000]  還有帶來了一個祝福
[00:00:42.000 --> 00:00:44.000]  不知道大家會覺得
[00:00:44.000 --> 00:00:46.000]  真的有祝福嗎
[00:00:46.000 --> 00:00:48.000]  做這些事情
[00:00:48.000 --> 00:00:50.000]  你們覺得會不會有祝福
[00:00:50.000 --> 00:00:52.000]  有沒有
[00:00:52.000 --> 00:00:54.000]  是很有祝福
[00:00:54.000 --> 00:00:57.000]  很想和大家分享怎樣的祝福
[00:00:57.000 --> 00:00:59.000]  第一段經文是
[00:00:59.000 --> 00:01:01.000]  在《約翰福音》
[00:01:01.000 --> 00:01:03.000]  十五章十六節
[00:01:03.000 --> 00:01:05.000]  大家一起讀一讀
[00:01:05.000 --> 00:01:15.000]  其實在揀選
[00:01:15.000 --> 00:01:17.000]  主權
[00:01:17.000 --> 00:01:19.000]  永遠都在神裡面
[00:01:19.000 --> 00:01:21.000]  不是我們做了一些
[00:01:21.000 --> 00:01:23.000]  好與不好的事
[00:01:23.000 --> 00:01:25.000]  你可以去做
[00:01:25.000 --> 00:01:28.000]  不是一個交換的性質
[00:01:28.000 --> 00:01:30.000]  我經常看到
[00:01:30.000 --> 00:01:32.000]  揀選
[00:01:32.000 --> 00:01:35.000]  主權在神那裡
[00:01:35.000 --> 00:01:37.000]  我們會不會回應
[00:01:37.000 --> 00:01:39.000]  又是另一回事
[00:01:39.000 --> 00:01:42.000]  其實我們經常都聽到
[00:01:42.000 --> 00:01:44.000]  聽到神的呼召
[00:01:44.000 --> 00:01:46.000]  我們弟兄姊妹
[00:01:46.000 --> 00:01:49.000]  是不是很多時候都會聽到
[00:01:49.000 --> 00:01:51.000]  有沒有聽到
[00:01:51.000 --> 00:01:53.000]  不回答我
[00:01:53.000 --> 00:01:55.000]  我聽不到
[00:01:55.000 --> 00:01:57.000]  明明聽到
[00:01:57.000 --> 00:01:59.000]  都當聽不到
[00:01:59.000 --> 00:02:01.000]  我們怎樣去回應
[00:02:01.000 --> 00:02:03.000]  其實我覺得很特別
[00:02:03.000 --> 00:02:07.000]  當神願意呼召我們的時候
[00:02:07.000 --> 00:02:12.000]  祂讓我們結出美好的果子
[00:02:12.000 --> 00:02:15.000]  但我們怎樣去回應
[00:02:15.000 --> 00:02:17.000]  我覺得每一個人
[00:02:17.000 --> 00:02:19.000]  去回應神都不一樣
[00:02:19.000 --> 00:02:22.000]  好像在撒慕爾記上
