
[00:00:00.000 --> 00:00:06.000]  在三十多年前,當我和師母開始搭進去侍奉的時候
[00:00:06.000 --> 00:00:10.000]  我們那時候加入一個宣教的組織
[00:00:10.000 --> 00:00:13.000]  這個宣教組織叫做海外基督使團
[00:00:13.000 --> 00:00:17.000]  而這個使團的前身就是叫做中國內地會
[00:00:17.000 --> 00:00:22.000]  而中國內地會的創辦人就是戴德新醫生
[00:00:22.000 --> 00:00:26.000]  因為英國的宣教士,上帝給他百多年前有一個負擔
[00:00:26.000 --> 00:00:29.000]  有一個使命,有一個勇敢,有一個勇氣
[00:00:29.000 --> 00:00:32.000]  他要去到中國的內地去傳福音
[00:00:32.000 --> 00:00:37.000]  因為當時整個宣教的世界那邊,對中國的宣教都是在沿海那邊
[00:00:37.000 --> 00:00:40.000]  於是他就覺得上帝給他的負擔
[00:00:40.000 --> 00:00:42.000]  他說我一定要去到中國的內地
[00:00:42.000 --> 00:00:45.000]  於是他就坐船去到中國的內地那邊
[00:00:45.000 --> 00:00:49.000]  當時只有幾個人願意去到中國內地那邊來傳福音
[00:00:49.000 --> 00:00:53.000]  他們梳辮,他們穿中國的衣服
[00:00:53.000 --> 00:00:55.000]  他們為了要適應中國的生活
[00:00:55.000 --> 00:00:59.000]  他們與中國人一起居住,適應我們當地的語言,當地的文化
[00:00:59.000 --> 00:01:01.000]  然後將福音帶給他們
[00:01:01.000 --> 00:01:05.000]  我們看到這個長輩,這個戴德新醫生
[00:01:05.000 --> 00:01:09.000]  他的生命是一生願意去為主而活
[00:01:09.000 --> 00:01:14.000]  而今天,我昨天剛好上網找了一間教會
[00:01:14.000 --> 00:01:17.000]  這間教會就是今天全中國最大的教會
[00:01:17.000 --> 00:01:20.000]  就在杭州的,叫做崇一堂
[00:01:20.000 --> 00:01:24.000]  這間教會是今天在中國那邊是最大的教會
[00:01:24.000 --> 00:01:26.000]  差不多是一萬人的教會
[00:01:26.000 --> 00:01:29.000]  原來這間教會就是戴德新醫生在百多年前
[00:01:29.000 --> 00:01:33.000]  他在中國建立的第一間教會
[00:01:33.000 --> 00:01:36.000]  我當時說,嘩!原來上帝在百多年前
[00:01:36.000 --> 00:01:39.000]  叫戴德新醫生在中國建立無數的教會當中
[00:01:39.000 --> 00:01:43.000]  而第一間教會到今天仍然被神所使用
[00:01:43.000 --> 00:01:46.000]  為主,為他感謝上帝
[00:01:46.000 --> 00:01:49.000]  而這間教會,我一看的時候
[00:01:49.000 --> 00:01:51.000]  原來這間教會一堂崇拜
[00:01:51.000 --> 00:01:55.000]  可以坐六千五百三十二人
[00:01:55.000 --> 00:01:59.000]  嘩!一堂崇拜坐六千幾人
[00:01:59.000 --> 00:02:01.000]  如果我們教會今天同福
[00:02:01.000 --> 00:02:03.000]  有一個地方可以坐六千五百幾人的話
[00:02:03.000 --> 00:02:05.000]  我們就一堂崇拜已經搞定
[00:02:05.000 --> 00:02:06.000]  不用開六堂崇拜
[00:02:06.000 --> 00:02:08.000]  但是,弟兄姊妹
[00:02:08.000 --> 00:02:11.000]  今天,我們看著上帝這麼多年前建立的教會
[00:02:11.000 --> 00:02:15.000]  到今天,上帝仍然使用這間教會
[00:02:15.000 --> 00:02:20.000]  這個機構,當時我們很被戴德新醫生所感動
[00:02:20.000 --> 00:02:22.000]  於是我和師母願意加入這個機構
[00:02:22.000 --> 00:02:24.000]  成為一個宣教士
[00:02:24.000 --> 00:02:27.000]  當然,這個機構當時來說是很嚴謹的
[00:02:27.000 --> 00:02:30.000]  嚴謹不是說我們今天很厲害
[00:02:30.000 --> 00:02:31.000]  我們可以進去這個宣教機構
[00:02:31.000 --> 00:02:32.000]  因為很嚴謹
[00:02:32.000 --> 00:02:35.000]  它的嚴謹是因為它看重兩方面
[00:02:35.000 --> 00:02:38.000]  第一方面,我們一定要過簡樸的生活
[00:02:38.000 --> 00:02:40.000]  什麼叫簡樸生活呢?
[00:02:40.000 --> 00:02:42.000]  因為簡樸生活不是我們香港人的簡樸生活
[00:02:42.000 --> 00:02:43.000]  我們香港人的簡樸生活
[00:02:43.000 --> 00:02:45.000]  吃見油多已經很肯簡樸
[00:02:45.000 --> 00:02:47.000]  但是在那個簡樸生活當中
[00:02:47.000 --> 00:02:50.000]  我們連油多都沒有機會吃
[00:02:50.000 --> 00:02:51.000]  我們有機會
[00:02:51.000 --> 00:02:53.000]  我覺得四年宣教那邊
[00:02:53.000 --> 00:02:56.000]  我只能夠吃過一樽的紳士牌花生醬
[00:02:56.000 --> 00:02:58.000]  我從來在四年當中沒有吃過一塊牛肉
[00:02:58.000 --> 00:02:59.000]  這種叫簡樸
[00:02:59.000 --> 00:03:01.000]  我們很強調簡樸生活
[00:03:01.000 --> 00:03:03.000]  第二,它強調的是
[00:03:03.000 --> 00:03:06.000]  今天我們要做宣教士的資深
[00:03:06.000 --> 00:03:07.000]  要看到我們的生命
[00:03:07.000 --> 00:03:10.000]  究竟是否能夠一生去侍奉
[00:03:10.000 --> 00:03:12.000]  於是我們要和一班宣教士
[00:03:12.000 --> 00:03:14.000]  一班退休的宣教士
[00:03:14.000 --> 00:03:16.000]  一起生活三個星期
[00:03:16.000 --> 00:03:18.000]  這班宣教士就看著我們
[00:03:18.000 --> 00:03:19.000]  和我們聊天
[00:03:19.000 --> 00:03:21.000]  和我們一起吃飯
[00:03:21.000 --> 00:03:23.000]  看看我們的生命
[00:03:23.000 --> 00:03:26.000]  是否一生是毀身
[00:03:26.000 --> 00:03:28.000]  當時有一個宣教士
[00:03:28.000 --> 00:03:29.000]  叫Mr. Gracie
[00:03:29.000 --> 00:03:31.000]  一個加拿大宣教士
[00:03:31.000 --> 00:03:33.000]  他的樣子很有趣
[00:03:33.000 --> 00:03:35.000]  他的樣子如果用今天的描述
[00:03:35.000 --> 00:03:38.000]  他有點像一些小丑的樣子
[00:03:38.000 --> 00:03:39.000]  很過癮的樣子
[00:03:39.000 --> 00:03:41.000]  一看著他他就笑
[00:03:41.000 --> 00:03:43.000]  但是不單止我們看著他的樣子笑
[00:03:43.000 --> 00:03:45.000]  而他永遠都笑
[00:03:45.000 --> 00:03:47.000]  一看著他他就笑
[00:03:47.000 --> 00:03:48.000]  他是一個很開心的人
[00:03:48.000 --> 00:03:50.000]  永遠都這麼開心
[00:03:50.000 --> 00:03:52.000]  從早上到晚上都看到他笑
[00:03:52.000 --> 00:03:54.000]  他笑到不累
[00:03:54.000 --> 00:03:55.000]  但是他很嚴謹
[00:03:55.000 --> 00:03:57.000]  他很喜歡唱一首歌
