
[00:00:00.000 --> 00:00:03.200]  在我們每個人的生命裏面
[00:00:03.200 --> 00:00:05.700]  都有一段故事
[00:00:05.700 --> 00:00:07.400]  有一段深刻的
[00:00:07.400 --> 00:00:10.200]  或許有人有一段特別深刻
[00:00:10.200 --> 00:00:15.000]  或許有些人是一些很平靜的安穩
[00:00:15.000 --> 00:00:16.800]  無論深刻時也好
[00:00:16.800 --> 00:00:18.800]  平靜安穩時也好
[00:00:18.800 --> 00:00:20.300]  上帝加諸於我們的
[00:00:20.300 --> 00:00:23.000]  都是我們所能夠承受
[00:00:23.000 --> 00:00:26.000]  今日的講題是「生命因你傳奇」
[00:00:26.000 --> 00:00:30.000]  傳奇的人物就發出一個傳奇的生命
[00:00:30.000 --> 00:00:33.000]  當我思考到這個題目的時候
[00:00:33.000 --> 00:00:36.000]  究竟我自己生命裏面
[00:00:36.000 --> 00:00:39.000]  有什麼傳奇的事發生呢?
[00:00:39.000 --> 00:00:42.000]  我都想了很多很多
[00:00:42.000 --> 00:00:45.000]  逐一給我自己去一個反思
[00:00:45.000 --> 00:00:49.000]  其實過程上都對我自己是得益的
[00:00:49.000 --> 00:00:50.000]  在神的面前
[00:00:50.000 --> 00:00:53.000]  藉著去預備講章的時候
[00:00:53.000 --> 00:00:56.000]  亦都有機會回到上帝的面前
[00:00:56.000 --> 00:01:00.000]  由神去親自再一次整理我自己
[00:01:00.000 --> 00:01:04.000]  我們先看看圖片
[00:01:04.000 --> 00:01:09.000]  這個閻德瑪
[00:01:09.000 --> 00:01:11.000]  德蘭修女
[00:01:11.000 --> 00:01:17.000]  德蘭修女是將自己的一生貢獻給上主
[00:01:17.000 --> 00:01:21.000]  服侍一些最基層、最貧窮的人
[00:01:21.000 --> 00:01:23.000]  她去到貧窮的孤兒院
[00:01:23.000 --> 00:01:27.000]  去到一些病患的人的身邊
[00:01:27.000 --> 00:01:30.000]  她一生歲月裏面就是這樣過
[00:01:30.000 --> 00:01:32.000]  在她生命裏面
[00:01:32.000 --> 00:01:33.000]  有一句經文
[00:01:33.000 --> 00:01:35.000]  時時她都會講的
[00:01:35.000 --> 00:01:40.000]  就是《馬太福音》二十五章三十五至三十六節
[00:01:40.000 --> 00:01:42.000]  她就持守著這段經文
[00:01:42.000 --> 00:01:44.000]  她說因為餓餓了
[00:01:44.000 --> 00:01:49.000]  你們就給我吃喝就給我喝
[00:01:49.000 --> 00:01:51.000]  客女的時候就留我住
[00:01:51.000 --> 00:01:54.000]  赤身露體的時候就給我穿
[00:01:54.000 --> 00:01:56.000]  我病你們看顧我
[00:01:56.000 --> 00:02:00.000]  我在監裏面你們來探我
