
[00:00:00.000 --> 00:00:03.480]  我們每一個人都需要被鼓勵
[00:00:03.480 --> 00:00:06.760]  所以在西伯來書第十章二十四節提醒我們說
[00:00:06.760 --> 00:00:11.960]  要彼此相顧,激發愛心,勉勵行善
[00:00:11.960 --> 00:00:15.080]  特別是當你感覺到灰心氣累的時候
[00:00:15.080 --> 00:00:17.800]  你真的希望有人鼓勵你一下
[00:00:17.800 --> 00:00:22.000]  說一句鼓勵你的話,讓你能夠重新得力
[00:00:22.000 --> 00:00:24.680]  但是有時候我們所想得到的鼓勵
[00:00:24.680 --> 00:00:28.200]  卻往往得到的是恰恰相反
[00:00:28.200 --> 00:00:30.000]  就好像老陳一樣
[00:00:30.000 --> 00:00:34.960]  有一天,老陳的太太在半夜裏面把他叫醒過來
[00:00:34.960 --> 00:00:37.680]  然後告訴他說,老公老公快起來
[00:00:37.680 --> 00:00:39.440]  我剛剛做了一個噩夢
[00:00:39.440 --> 00:00:44.000]  夢裏我看到一個拍賣老公的市場
[00:00:44.000 --> 00:00:48.280]  然後有一個老公被拍賣賣了一萬美金
[00:00:48.280 --> 00:00:52.720]  還有許多老公加起來一共拍賣了一百萬元
[00:00:52.720 --> 00:00:55.280]  這時候老陳完全清醒過來了
[00:00:55.280 --> 00:00:57.680]  就問老婆說,我親愛的寶貝
[00:00:57.680 --> 00:01:00.960]  像我這樣的老公可以賣多少錢呢?
[00:01:00.960 --> 00:01:05.080]  老婆就說,這是讓我感覺到噁心的一點
[00:01:05.080 --> 00:01:09.520]  他們把像你這樣的老公都綁在一團
[00:01:09.520 --> 00:01:14.240]  然後這一團的老公只賣一塊錢啊!
[00:01:14.240 --> 00:01:17.040]  告訴旁邊的人說,不要灰心
[00:01:17.040 --> 00:01:19.320]  你是無價之寶
[00:01:19.320 --> 00:01:23.160]  在神的眼中,你永遠是無價之寶
[00:01:23.160 --> 00:01:26.720]  因爲神看我們真的是如此的寶貝,如此的寶貴
[00:01:26.720 --> 00:01:28.840]  如同他的門徒一樣
[00:01:28.840 --> 00:01:31.720]  當耶穌基督的門徒看見耶穌基督被賣
[00:01:31.720 --> 00:01:33.600]  後來釘死在十字架之後
[00:01:33.600 --> 00:01:36.840]  他們心中裏面還是非常的灰心泣淚
[00:01:36.840 --> 00:01:39.160]  甚至恐懼害怕
[00:01:39.160 --> 00:01:41.360]  但是耶穌基督仍然愛他們
[00:01:41.360 --> 00:01:44.000]  從耶穌基督第三天從死裏復活之後
[00:01:44.000 --> 00:01:48.000]  他就花了四十天的時間與門徒們在一起
[00:01:48.000 --> 00:01:49.880]  每天在那裏鼓勵他們
[00:01:49.880 --> 00:01:53.240]  給他們打氣,重新建立他們的信心
[00:01:53.240 --> 00:01:56.960]  並且再三的吩咐他們不可離開耶路撒冷
[00:01:56.960 --> 00:02:00.080]  直到天父所應許的聖靈來到
[00:02:00.080 --> 00:02:04.800]  因爲耶穌基督跟這十二個門徒相處了三年半的時間
[00:02:04.800 --> 00:02:07.480]  朝夕跟他們生活在一起
[00:02:07.480 --> 00:02:09.600]  耶穌基督得到了一個結論
[00:02:09.600 --> 00:02:11.680]  這些門徒靠着他們自己
[00:02:11.680 --> 00:02:16.120]  沒有能力能夠做他要他們做的事情
[00:02:16.120 --> 00:02:18.840]  因此耶穌給他們一個非常寶貴的應許
[00:02:18.840 --> 00:02:21.560]  也是給你我非常寶貴的應許
[00:02:21.560 --> 00:02:24.880]  好,讓我們可以爲他做更大的事,阿們
[00:02:24.880 --> 00:02:27.040]  我們來看看《屬靈成像》第一章第八節
[00:02:27.040 --> 00:02:28.840]  我們非常熟悉的一些經文
[00:02:28.840 --> 00:02:31.200]  這裏說:當聖靈降臨在你們身上
[00:02:31.200 --> 00:02:33.040]  你們就必得着能力
[00:02:33.040 --> 00:02:36.000]  並且要在耶路撒冷、猶太權地和撒瑪利亞
[00:02:36.000 --> 00:02:39.880]  直到地極做我的見證
[00:02:39.880 --> 00:02:42.200]  這節聖經裏面有三個字非常重要
[00:02:42.200 --> 00:02:43.480]  要大家注意的是
[00:02:43.480 --> 00:02:46.360]  首先第一個是聖靈,一起說聖靈
[00:02:46.360 --> 00:02:48.720]  第二個是能力,一起說能力
[00:02:48.720 --> 00:02:51.240]  第三,見證,見證
[00:02:51.240 --> 00:02:52.840]  首先先看這位聖靈
[00:02:52.840 --> 00:02:56.440]  這個聖靈降臨在你們身上
[00:02:56.440 --> 00:02:58.440]  這個聖靈乃是三位一體
[00:02:58.440 --> 00:03:00.960]  真神、聖父、聖子、聖靈
[00:03:00.960 --> 00:03:03.720]  同等同尊的那一位聖靈
[00:03:03.720 --> 00:03:06.320]  要親自降臨在你們身上
[00:03:06.320 --> 00:03:09.560]  而且住在你們裏面永遠不離開
[00:03:09.560 --> 00:03:10.800]  這是從天上來
[00:03:10.800 --> 00:03:13.840]  神自己親自要住在人的心中
[00:03:13.840 --> 00:03:15.720]  所以這是非常寶貴的
[00:03:15.720 --> 00:03:18.520]  所以聖靈所帶出來的結果是什麼呢?
[00:03:18.520 --> 00:03:19.880]  就是能力
[00:03:19.880 --> 00:03:22.120]  這個能力在原文的意思是用dynamic
[00:03:22.120 --> 00:03:25.360]  是一個像dynamic,一個爆炸性的能力
[00:03:25.360 --> 00:03:27.920]  這個能力是一個超自然的能力
[00:03:27.920 --> 00:03:29.560]  是一個超然的能力
[00:03:29.560 --> 00:03:31.960]  不是我們人所有的能力
[00:03:31.960 --> 00:03:36.640]  而是從天上聖靈降下來的大能力
[00:03:36.640 --> 00:03:39.440]  所以這個能力降臨在他們身上做什麼呢?
[00:03:39.440 --> 00:03:41.200]  做見證
[00:03:41.200 --> 00:03:42.160]  做誰的見證?
[00:03:42.160 --> 00:03:45.640]  耶穌說做我的見證
[00:03:45.640 --> 00:03:49.000]  我們做見證需要有能力
[00:03:49.000 --> 00:03:50.120]  需要聖靈
[00:03:50.120 --> 00:03:51.640]  有聖靈纔會有能力
[00:03:51.640 --> 00:03:54.080]  當你有聖靈你就有能力爲主做見證
[00:03:54.080 --> 00:03:57.440]  因爲爲主做見證需要付代價的
[00:03:57.440 --> 00:04:00.720]  爲主做見證甚至需要付上你生命的代價
[00:04:00.720 --> 00:04:03.760]  因此當有聖靈降臨在你身上的時候
[00:04:03.760 --> 00:04:05.480]  你就得着能力
[00:04:05.480 --> 00:04:08.680]  有能力才能夠爲神做見證
[00:04:08.680 --> 00:04:11.320]  沒有能力就無法爲神做見證
