
[00:00:00.000 --> 00:00:03.600]  各位弟兄姊妹平安神,今天要向你講說話
[00:00:03.600 --> 00:00:05.560]  當耶穌在世上的時候
[00:00:05.560 --> 00:00:09.720]  很多人將各樣的難題帶來問耶穌
[00:00:09.720 --> 00:00:14.560]  當他們見到有個人一出世就瞎了眼
[00:00:14.560 --> 00:00:19.280]  他們就會問,到底是這個瞎眼的人犯罪呢?
[00:00:19.280 --> 00:00:24.480]  還是他的爸爸媽媽犯罪導致他瞎眼呢?
[00:00:24.480 --> 00:00:28.040]  原來今天我們很多時候都會這樣說
[00:00:28.040 --> 00:00:32.840]  原來今天我們很多時候都只有一個世界觀
[00:00:32.840 --> 00:00:37.160]  就從地上的角度去看各樣的事物
[00:00:37.160 --> 00:00:39.400]  師母經常提醒我
[00:00:39.400 --> 00:00:42.520]  她說:你記得記得有兩個世界觀
[00:00:42.520 --> 00:00:45.400]  一個就是地面的世界
[00:00:45.400 --> 00:00:48.360]  但是原來還有靈界
[00:00:48.360 --> 00:00:52.600]  所以耶穌的答案就很出乎意料之外
[00:00:52.600 --> 00:00:54.840]  他說不是這個人犯罪
[00:00:54.840 --> 00:00:57.000]  又不是他父母犯罪
[00:00:57.000 --> 00:01:02.760]  那是要在這件事上顯出神的榮耀力
[00:01:02.760 --> 00:01:08.040]  原來耶穌接着就用地上的泥和了一些土木
[00:01:08.040 --> 00:01:10.600]  鋪在這個人的眼睛上面
[00:01:10.600 --> 00:01:15.640]  然後就叫他去西羅亞祠那裏去洗一洗
[00:01:15.640 --> 00:01:18.680]  當這個人真的聽了耶穌的吩咐
[00:01:18.680 --> 00:01:21.400]  他立刻就走去西羅亞祠洗
[00:01:21.400 --> 00:01:25.560]  一洗完,他的眼睛就看見了
[00:01:25.560 --> 00:01:29.400]  於是他就歸於榮耀給天上的父神
[00:01:29.400 --> 00:01:33.880]  原來今天我們不單止有地上這個世界
[00:01:33.880 --> 00:01:36.040]  還有靈界的
[00:01:36.040 --> 00:01:38.760]  還有天上的角度
[00:01:38.760 --> 00:01:42.600]  今天我們很多時候只是看見地上的事
[00:01:42.600 --> 00:01:47.480]  我們看不見背後有仇敵惡者的攻擊
[00:01:47.480 --> 00:01:49.880]  也都有天上的力量
[00:01:49.880 --> 00:01:52.040]  天使在這裏看顧我們
[00:01:52.040 --> 00:01:55.640]  也都有聖靈在我們心裏工作
[00:01:55.640 --> 00:01:59.640]  所以今天我很想將一節的聖經送給各位
[00:01:59.640 --> 00:02:03.400]  就是約翰福音9章第4節
[00:02:03.400 --> 00:02:09.000]  背景就是耶穌說完這個答案
[00:02:09.000 --> 00:02:12.760]  說要在這個核子身上顯出神的榮耀
[00:02:12.760 --> 00:02:14.760]  接着耶穌就說
[00:02:14.760 --> 00:02:23.080]  趁着白日,我們必須要去作那猜我來者的功
[00:02:23.080 --> 00:02:25.800]  這裏又是兩個世界觀
[00:02:25.800 --> 00:02:31.880]  原來今天是神在天上猜耶穌來到地上
[00:02:31.880 --> 00:02:33.720]  所以耶穌在地上
[00:02:33.720 --> 00:02:39.080]  他是帶着使命,帶着任務去服侍世界的人
[00:02:39.080 --> 00:02:42.280]  去彰顯神國道的榮耀
[00:02:42.280 --> 00:02:45.320]  所以耶穌是有使命而來
[00:02:45.320 --> 00:02:47.000]  有工作而來
[00:02:47.000 --> 00:02:49.160]  有工作他要去完成
[00:02:49.160 --> 00:02:53.000]  今天我們這羣屬主的人同樣都是一樣
[00:02:53.000 --> 00:02:55.480]  我們要趁着白日
[00:02:55.480 --> 00:02:59.720]  我們必須,請你留意這個"勇"字
[00:02:59.720 --> 00:03:04.360]  是必須作那猜我來者的功
[00:03:04.360 --> 00:03:07.160]  所以很多時候我們自己都要問神
[00:03:07.160 --> 00:03:10.120]  今天你交什麼工作給我
[00:03:10.120 --> 00:03:13.320]  今天你在我身上有什麼期望
[00:03:13.320 --> 00:03:14.680]  有什麼目的
[00:03:14.680 --> 00:03:18.120]  我很深信每一個屬主的人
