
[00:00:00.000 --> 00:00:06.600]  今天是二六年第二個主日
[00:00:06.600 --> 00:00:10.720]  過了今天十一日
[00:00:10.720 --> 00:00:11.800]  過了十天
[00:00:11.800 --> 00:00:13.640]  不知道你一新的一年
[00:00:13.640 --> 00:00:16.920]  你有沒有什麼不同了
[00:00:16.920 --> 00:00:24.200]  每一年我們都很流行要去立一下志
[00:00:24.200 --> 00:00:26.800]  新的一年要立一下志
[00:00:26.800 --> 00:00:31.720]  希望未來一年有些什麼的改變
[00:00:31.720 --> 00:00:36.440]  可能是早點睡
[00:00:36.440 --> 00:00:38.280]  多點做運動
[00:00:38.280 --> 00:00:40.160]  少點滾手機
[00:00:40.160 --> 00:00:41.800]  多點愛人
[00:00:41.800 --> 00:00:43.320]  更像耶穌
[00:00:43.320 --> 00:00:47.200]  我想這些我們大部分都立過的
[00:00:47.200 --> 00:00:48.600]  這些志
[00:00:48.600 --> 00:00:50.400]  但是一月我們立
[00:00:50.400 --> 00:00:51.600]  二月可能
[00:00:51.600 --> 00:00:53.520]  一月就做得好好的
[00:00:53.520 --> 00:00:56.880]  二月可能就開始甩甩地
[00:00:56.880 --> 00:00:59.480]  三月就直頭不記得
[00:00:59.480 --> 00:01:01.880]  到十二月轉眼一過
[00:01:01.880 --> 00:01:03.160]  十二月我們就
[00:01:03.160 --> 00:01:04.800]  今年做得不好
[00:01:04.800 --> 00:01:07.760]  我們明年再來過
[00:01:07.760 --> 00:01:12.200]  我們會發現
[00:01:12.200 --> 00:01:14.200]  發現一件事就是
[00:01:14.200 --> 00:01:16.880]  其實立志很容易立
[00:01:16.880 --> 00:01:20.040]  但是真正的生命的改變
[00:01:20.040 --> 00:01:21.520]  一點都不容易
[00:01:21.520 --> 00:01:24.880]  問題不是我們不夠努力
[00:01:24.880 --> 00:01:27.680]  而是我們靠努力
[00:01:27.680 --> 00:01:32.720]  是改變不了我們這些的生命
[00:01:32.720 --> 00:01:37.720]  上次從以弗所書4章25至5章2節
[00:01:37.720 --> 00:01:39.440]  和大家分享到
[00:01:39.440 --> 00:01:42.960]  在耶穌基督裡面的生命的改變
[00:01:42.960 --> 00:01:46.760]  今天來到5章3至21節
[00:01:46.760 --> 00:01:49.520]  保羅他宣告了
