
[00:00:00.000 --> 00:00:04.500]  領事會早晨
[00:00:04.500 --> 00:00:06.940]  和大家分享一件很開心的事情
[00:00:06.940 --> 00:00:08.880]  什麼是這麼開心呢
[00:00:08.880 --> 00:00:10.280]  就是原來我看別人建樓
[00:00:10.280 --> 00:00:12.480]  都看得很開心的
[00:00:12.480 --> 00:00:14.200]  我家對面那間屋
[00:00:14.200 --> 00:00:17.960]  看著它怎樣拆掉變成一片空地
[00:00:17.960 --> 00:00:19.120]  接著呢
[00:00:19.120 --> 00:00:20.280]  突然間有一個星期
[00:00:20.280 --> 00:00:21.920]  有一天
[00:00:21.920 --> 00:00:24.080]  很多工程車來了
[00:00:24.080 --> 00:00:25.560]  接著呢
[00:00:25.560 --> 00:00:27.280]  因為我家看下去
[00:00:27.280 --> 00:00:29.400]  我的房間是在二樓的
[00:00:29.400 --> 00:00:31.640]  看著它對面看得很清楚
[00:00:31.640 --> 00:00:34.200]  一直看著那些人怎樣拼磚頭
[00:00:34.200 --> 00:00:35.360]  怎樣建屋
[00:00:35.360 --> 00:00:37.600]  原來是一件很開心的事情
[00:00:37.600 --> 00:00:38.680]  很快很快
[00:00:38.680 --> 00:00:42.280]  他們大概有十幾人在工地那裡
[00:00:42.280 --> 00:00:44.120]  有人負責推磚頭
[00:00:44.120 --> 00:00:45.720]  有人遞磚頭上去
[00:00:45.720 --> 00:00:49.960]  有些人負責在上面一邊拼磚頭
[00:00:49.960 --> 00:00:52.800]  一邊分工合作
[00:00:52.800 --> 00:00:54.720]  真的很奇妙 弟兄姊妹
[00:00:54.720 --> 00:00:56.520]  幾天而已
[00:00:56.520 --> 00:00:59.640]  那一大塊地建了兩間屋
[00:00:59.640 --> 00:01:01.720]  幾天就已經
[00:01:01.720 --> 00:01:05.440]  兩間屋的牆 外廊
[00:01:05.440 --> 00:01:08.080]  全部都建好了
[00:01:08.080 --> 00:01:10.360]  我看起來的時候真的非常好看
[00:01:10.360 --> 00:01:14.280]  原來看別人建屋是這麼開心的
[00:01:14.280 --> 00:01:16.200]  澄清那間屋不是我的
[00:01:16.200 --> 00:01:18.120]  我是看別人建的
[00:01:18.120 --> 00:01:20.640]  但是看到別人覺得真的很奇妙
[00:01:20.640 --> 00:01:23.240]  原來童心合理這麼快就建完
[00:01:23.240 --> 00:01:24.400]  接著我就想
[00:01:24.400 --> 00:01:25.480]  這間屋真是厲害
[00:01:25.480 --> 00:01:27.000]  這塊地建了兩間屋
[00:01:27.000 --> 00:01:28.520]  幾天之內就已經
[00:01:28.520 --> 00:01:31.280]  周圍的外牆都建好了
[00:01:31.280 --> 00:01:34.320]  接著他再下一步就做了屋頂
[00:01:34.320 --> 00:01:39.400]  就差不多這間屋的外廊都搞定了
[00:01:39.400 --> 00:01:41.080]  但是誰知道
[00:01:41.080 --> 00:01:41.840]  他建完那些
[00:01:41.840 --> 00:01:44.320]  那些人砌完磚頭之後
[00:01:44.320 --> 00:01:49.040]  那個工地停了兩個多月
