
[00:00:00.000 --> 00:00:02.960]  1947年的時候
[00:00:02.960 --> 00:00:07.680]  芝加哥大學原子科學家公佈
[00:00:07.680 --> 00:00:10.720]  BAS的委員會
[00:00:10.720 --> 00:00:14.380]  設立了一個虛擬的時鐘
[00:00:14.380 --> 00:00:17.360]  這個時鐘叫做末日鐘
[00:00:17.360 --> 00:00:18.320]  末日鐘是什麼呢?
[00:00:18.320 --> 00:00:21.200]  末日鐘就是預警
[00:00:21.200 --> 00:00:24.160]  什麼時候是世界末日
[00:00:24.160 --> 00:00:25.740]  不過他們根據什麼呢?
[00:00:25.740 --> 00:00:27.720]  他們根據幾件事情
[00:00:27.720 --> 00:00:34.840]  根據當時最主要的核武的情況
[00:00:34.840 --> 00:00:35.860]  因為大家知道
[00:00:35.860 --> 00:00:40.560]  現在打仗已經不是靠人的了
[00:00:40.560 --> 00:00:41.540]  這麼簡單
[00:00:41.540 --> 00:00:43.780]  是靠按鍵而已
[00:00:43.780 --> 00:00:45.360]  就像我們打遊戲一樣
[00:00:45.360 --> 00:00:47.260]  不過打遊戲可以再來
[00:00:47.260 --> 00:00:49.000]  打仗是不行的
[00:00:49.000 --> 00:00:53.600]  核武的情況是怎麼樣的
[00:00:53.600 --> 00:00:57.120]  後來也有其他的原因
[00:00:57.120 --> 00:00:58.500]  或者其他的因素
[00:00:58.500 --> 00:00:59.780]  我想問問
[00:00:59.780 --> 00:01:02.260]  知不知道根據那個時鐘
[00:01:02.260 --> 00:01:04.700]  我們離開世界末日還有多久?
[00:01:04.700 --> 00:01:10.900]  你及時回來說吧
[00:01:10.900 --> 00:01:13.880]  還有兩分鐘
[00:01:13.880 --> 00:01:15.200]  還有兩分鐘
[00:01:15.200 --> 00:01:18.440]  那兩分鐘當然不是我們現在這個時鐘的兩分鐘
[00:01:18.440 --> 00:01:20.780]  他們設立的時候就說
[00:01:20.780 --> 00:01:24.360]  時鐘正值12點的時候
[00:01:24.360 --> 00:01:26.660]  就是世界末日了
[00:01:26.660 --> 00:01:30.060]  所以他們就去調教那個時鐘
[00:01:30.060 --> 00:01:31.620]  根據不同的因素
[00:01:31.620 --> 00:01:34.100]  去調教那個時鐘
[00:01:34.100 --> 00:01:37.580]  這個兩分鐘是每年都調教的
[00:01:37.580 --> 00:01:41.920]  大概是每年的一月份左右
[00:01:41.920 --> 00:01:43.380]  他們就調教了
[00:01:43.380 --> 00:01:45.620]  最後調教的時間
[00:01:45.620 --> 00:01:47.600]  就是2019年1月24日
[00:01:47.600 --> 00:01:49.740]  那天他們調教了時鐘
[00:01:49.740 --> 00:01:51.600]  調教了什麼呢?
[00:01:51.600 --> 00:01:56.820]  調教了還有兩分鐘就到這個末日了
[00:01:56.820 --> 00:02:00.420]  兩分鐘究竟有多近末日呢?
[00:02:00.420 --> 00:02:03.140]  就是自從這個鐘設立以來
[00:02:03.140 --> 00:02:06.920]  是其中最近的兩次
[00:02:06.920 --> 00:02:09.280]  另外一次也是兩分鐘
[00:02:09.280 --> 00:02:11.720]  他會調較前一點調較後一點的
[00:02:11.720 --> 00:02:16.760]  那麼兩分鐘是有史以來最接近末日的了
[00:02:17.380 --> 00:02:22.060]  之前是1953年的時候
[00:02:22.060 --> 00:02:23.780]  也是調教過這個時鐘
[00:02:23.780 --> 00:02:25.720]  也是兩分鐘
[00:02:25.720 --> 00:02:28.040]  1953年的時候是兩分鐘
[00:02:28.040 --> 00:02:30.380]  2019年
[00:02:30.380 --> 00:02:31.520]  兩分鐘
[00:02:31.520 --> 00:02:33.960]  最遠的時候
[00:02:33.960 --> 00:02:35.920]  就是距離末日最
[00:02:35.920 --> 00:02:38.220]  他們所說的末日最久的時候
[00:02:38.220 --> 00:02:39.700]  是什麼時候呢?
[00:02:39.700 --> 00:02:44.680]  曾經是距離17分鐘
[00:02:45.500 --> 00:02:48.660]  兩分鐘和17分鐘是差很遠的
[00:02:48.660 --> 00:02:50.300]  17分鐘是什麼時候呢?
[00:02:50.300 --> 00:02:52.220]  1991年的時候
[00:02:52.220 --> 00:02:54.760]  我們不知道
[00:02:54.760 --> 00:02:56.060]  知道也不懂
[00:02:56.060 --> 00:02:57.100]  怎麼去教呢?
[00:02:57.100 --> 00:02:58.960]  怎麼去判斷呢?
[00:02:58.960 --> 00:03:00.500]  那麼
[00:03:00.500 --> 00:03:03.960]  這個委員會的科學家說
[00:03:03.960 --> 00:03:07.620]  決定這個調教的因素主要就是
[00:03:07.620 --> 00:03:09.460]  核武危機
[00:03:09.460 --> 00:03:12.180]  氣候的問題
[00:03:12.180 --> 00:03:13.580]  近年
[00:03:13.580 --> 00:03:15.140]  是加多了一個
[00:03:15.780 --> 00:03:16.800]  這個就是
[00:03:16.800 --> 00:03:18.940]  虛假的新聞
[00:03:18.940 --> 00:03:23.140]  核武危機我們明白了
[00:03:23.140 --> 00:03:25.100]  氣候的問題我們也明白了
[00:03:25.100 --> 00:03:28.400]  近年是加多了一個叫做虛假的新聞
[00:03:28.400 --> 00:03:32.240]  虛假的新聞對世界的末日也有影響
[00:03:32.240 --> 00:03:34.240]  有沒有想過
[00:03:34.240 --> 00:03:35.820]  假的東西
[00:03:35.820 --> 00:03:37.120]  假消息
[00:03:37.120 --> 00:03:38.200]  也會影響
[00:03:38.200 --> 00:03:40.000]  假消息
[00:03:40.000 --> 00:03:41.440]  無論是假消息
[00:03:41.440 --> 00:03:42.240]  當然了
[00:03:42.240 --> 00:03:44.880]  有些是刻意的假消息
[00:03:44.880 --> 00:03:47.220]  有些是不經意的假消息
[00:03:47.220 --> 00:03:49.400]  記不記得去年還是前年
[00:03:49.400 --> 00:03:51.600]  夏威夷有一個消息
