
[00:00:00.000 --> 00:00:04.640]  菩提姐妹早晨,讓我們再次回到主的說話面前
[00:00:04.640 --> 00:00:09.280]  就設計以吐高來打開我們今天聆聽主話這段時間
[00:00:09.280 --> 00:00:11.200]  讓我們一起同心低頭吐高
[00:00:11.200 --> 00:00:17.080]  慈悲的天父,多謝禰,讓我們仍然有生命有氣息
[00:00:17.080 --> 00:00:20.280]  踏足在地上,奔走人生的道路
[00:00:20.280 --> 00:00:26.320]  讓我們在禰的創造裏面再次經驗
[00:00:26.320 --> 00:00:29.200]  主理給我們這個創造當中的一切
[00:00:30.400 --> 00:00:34.880]  求主禰讓我們帶着感恩的心過每一天的同時
[00:00:34.880 --> 00:00:41.160]  也都不忘我們是從上帝禰而來的這個源頭
[00:00:41.160 --> 00:00:43.640]  讓我們在敬拜的當中
[00:00:43.640 --> 00:00:48.240]  以禰的說話爲我們整個敬拜的核心
[00:00:48.240 --> 00:00:51.760]  讓我們在敬拜的裏面再次看到
[00:00:51.760 --> 00:00:55.840]  我們這位上主禰是怎麼樣的一位創造的主
[00:00:55.840 --> 00:01:00.520]  也好讓我們在這個地上裏面,這個創造的當中
[00:01:00.520 --> 00:01:04.320]  能夠真的肩負起上帝禰原意
[00:01:04.320 --> 00:01:09.120]  要將我們放在這個創造裏面的極角角色
[00:01:09.120 --> 00:01:15.120]  雖然在今天我們知道這個世界已經被罪所污染
[00:01:15.120 --> 00:01:18.520]  即是說我們也都在罪的當中去掙扎
[00:01:18.520 --> 00:01:23.600]  但感謝禰讓我們能夠再次有一個悔罪的心
[00:01:23.600 --> 00:01:28.400]  來到禰的面前,帶着這個重新在永恆的裏面
[00:01:28.400 --> 00:01:32.840]  有盼望的生命繼續走向永恆的裏面
[00:01:32.840 --> 00:01:36.360]  爲將這段聆聽主導的時間恭敬交上
[00:01:36.360 --> 00:01:39.960]  無論是聽的、說的
[00:01:39.960 --> 00:01:43.000]  都同樣在聖靈的引導之下
