
[00:00:00.000 --> 00:00:01.460]  我們感謝主
[00:00:01.460 --> 00:00:05.460]  聽說這輩生活當中其實很小的一件事情
[00:00:05.460 --> 00:00:07.460]  都面臨征戰 是不是
[00:00:07.460 --> 00:00:14.720]  今天我要繼續的講到屬靈征戰
[00:00:14.720 --> 00:00:16.720]  而且要繼續講到
[00:00:16.720 --> 00:00:20.120]  要用公義的互心靜來互凶
[00:00:20.120 --> 00:00:23.120]  也就是要講到心思的征戰
[00:00:23.120 --> 00:00:28.160]  我昨天大概到了晚上的時候
[00:00:28.160 --> 00:00:30.880]  突然發現我的腿痛
[00:00:30.880 --> 00:00:34.800]  很奇怪 我想來想去
[00:00:34.800 --> 00:00:36.800]  我怎麼會腿痛呢
[00:00:36.800 --> 00:00:39.240]  因為昨天也並沒有站很久
[00:00:39.240 --> 00:00:41.240]  也沒有去跑步
[00:00:41.240 --> 00:00:44.480]  也甚至連走路都沒有走太多
[00:00:44.480 --> 00:00:47.160]  但是就是突然就痛起來了
[00:00:47.160 --> 00:00:49.160]  就回家睡覺的時候
[00:00:49.160 --> 00:00:51.160]  我昨天還比較早睡 十點半就睡了
[00:00:51.160 --> 00:00:55.160]  可是到三點半的時候就痛醒了
[00:00:56.160 --> 00:00:58.160]  痛醒了之後
[00:00:58.160 --> 00:01:00.160]  我硬是要躺下去
[00:01:00.160 --> 00:01:02.160]  躺了一個小時
[00:01:02.160 --> 00:01:05.160]  那一個小時都睡不著
[00:01:05.160 --> 00:01:08.160]  後來我想乾脆起來禱告吧
[00:01:08.160 --> 00:01:11.160]  所以四點半開始起來禱告
[00:01:11.160 --> 00:01:14.160]  繼續為這個心息禱告
[00:01:14.160 --> 00:01:20.160]  所以等一下該睡覺的是我 不是你
[00:01:20.160 --> 00:01:24.160]  但丟這邊我要講的就是
[00:01:24.160 --> 00:01:29.160]  為什麼突然這個腳痛了
[00:01:29.160 --> 00:01:33.160]  親愛的兄姊妹
[00:01:33.160 --> 00:01:35.160]  沒有原因
[00:01:35.160 --> 00:01:37.160]  但是我知道有一件事情
[00:01:37.160 --> 00:01:42.160]  就是仇敵不喜歡我要講這個信息
[00:01:42.160 --> 00:01:44.160]  所以今天的這個信息很重要
[00:01:44.160 --> 00:01:47.160]  跟你旁邊說今天的信息很重要
[00:01:51.160 --> 00:01:54.160]  根據統計 在人的思想裡面
[00:01:54.160 --> 00:01:57.160]  每一天大概會出現
[00:01:57.160 --> 00:02:02.160]  一萬兩千到六萬個戀童
[00:02:02.160 --> 00:02:12.160]  其中大概百分之八十都是消極的戀童
[00:02:15.160 --> 00:02:22.160]  而且這個當中根據2005年的時候
[00:02:22.160 --> 00:02:24.160]  National Science Foundation
[00:02:24.160 --> 00:02:26.160]  他們做的一個調查
[00:02:26.160 --> 00:02:29.160]  他們裡面有一個文章這樣講
[00:02:29.160 --> 00:02:34.160]  他說其中百分之八十的
[00:02:34.160 --> 00:02:37.160]  這些你就是你剛講的這些戀童
[00:02:37.160 --> 00:02:40.160]  百分之八十都是在重複的
[00:02:40.160 --> 00:02:43.160]  也就是說在你可能
[00:02:43.160 --> 00:02:48.160]  我們中國人講說日有所思夜有所想
[00:02:48.160 --> 00:02:52.160]  就是其實你昨天在想的那些事情
[00:02:52.160 --> 00:02:55.160]  然後你再重複的想
[00:02:55.160 --> 00:02:57.160]  所以你看見沒有
[00:02:57.160 --> 00:02:59.160]  如果我們的思想當中
[00:02:59.160 --> 00:03:02.160]  百分之八十都是負面的話
[00:03:02.160 --> 00:03:06.160]  而且你又百分之八十都是重複
[00:03:06.160 --> 00:03:09.160]  對不起 應該是百分之九十五都重複
[00:03:09.160 --> 00:03:11.160]  百分之九十五重複的
[00:03:11.160 --> 00:03:14.160]  都是那些大多數是什麼
[00:03:14.160 --> 00:03:16.160]  負面的思想
[00:03:16.160 --> 00:03:20.160]  所以講到屬靈真在的時候
[00:03:20.160 --> 00:03:23.160]  其實很重要的我們看見
[00:03:23.160 --> 00:03:26.160]  真正的戰場在哪裡
[00:03:26.160 --> 00:03:32.160]  真正的戰場在我們的心思意念
[00:03:32.160 --> 00:03:34.160]  剛才我們讀的經文裡面
[00:03:34.160 --> 00:03:37.160]  在格林多後書第十章三十五
[00:03:37.160 --> 00:03:39.160]  第三到第五節
[00:03:39.160 --> 00:03:41.160]  在這段聖經裡面
[00:03:41.160 --> 00:03:49.160]  有這個經文嗎
[00:03:49.160 --> 00:03:51.160]  可能在下面
[00:03:51.160 --> 00:03:53.160]  等一下我們一起來念
[00:03:53.160 --> 00:03:55.160]  我先念給大家聽
[00:03:55.160 --> 00:03:58.160]  他說我們真正的兵器
[00:03:58.160 --> 00:04:00.160]  本不是屬血器的
[00:04:00.160 --> 00:04:03.160]  乃是在神面前有能力
