
[00:00:00.000 --> 00:00:04.160]  各位聽眾我們今天會繼續看《約拿書悉經講道》系列的第三
[00:00:04.160 --> 00:00:06.920]  我們今天的經文是來自《約拿書》的第一章
[00:00:06.920 --> 00:00:09.640]  第17節到第二章的第10節
[00:00:09.640 --> 00:00:12.640]  《約拿如福宗的禱告》
[00:00:12.640 --> 00:00:15.520]  禱告真的不是基督教的專利
[00:00:15.520 --> 00:00:18.240]  不同的宗教都講禱告
[00:00:18.240 --> 00:00:21.360]  例如猶太教、印度教、回教、佛教、道教
[00:00:21.360 --> 00:00:23.120]  難道他們不講祈禱的嗎?
[00:00:23.120 --> 00:00:25.360]  他們祈禱的強調
[00:00:25.360 --> 00:00:28.520]  我想遠遠超越了基督教也不一定
[00:00:28.520 --> 00:00:33.040]  尼泊爾有一種用彩石做的轉經籠
[00:00:33.040 --> 00:00:34.680]  它有一個手把
[00:00:34.680 --> 00:00:37.800]  連著一個手把就是一個很重的圓筒
[00:00:37.800 --> 00:00:39.320]  當你轉動的時候
[00:00:39.320 --> 00:00:42.040]  圓筒也隨著離心力不停地轉
[00:00:42.040 --> 00:00:46.440]  其第二就是原來打開這些圓筒的蓋子
[00:00:46.440 --> 00:00:47.640]  你就會發現裡面
[00:00:47.640 --> 00:00:51.560]  滿了很多用蜘蛛那麼細長的尼泊爾文
[00:00:51.560 --> 00:00:54.680]  寫成的這些祈禱文
[00:00:54.680 --> 00:00:58.680]  尼泊爾經前的佛教僧侶
[00:00:58.680 --> 00:01:01.320]  相信每一次轉動這個輪子的時候
[00:01:01.320 --> 00:01:04.520]  就會有一個禱告飛上天庭
[00:01:04.520 --> 00:01:06.160]  在他們的廟宇之外
[00:01:06.160 --> 00:01:10.440]  有不少僧人在轉動著大型的轉經輪
[00:01:10.440 --> 00:01:12.040]  聽說現在電子化了
[00:01:12.040 --> 00:01:13.320]  高科技了
[00:01:13.320 --> 00:01:15.800]  所以全部是電腦化操作
[00:01:15.800 --> 00:01:19.480]  每一分鐘超過了5400轉的轉速
[00:01:19.480 --> 00:01:23.600]  祈禱果然真的不是基督教獨有的專利
[00:01:23.600 --> 00:01:26.960]  全世界幾乎每一個宗教都講祈禱
[00:01:26.960 --> 00:01:28.640]  都注重禱告
[00:01:28.640 --> 00:01:32.960]  很多年前有一個29歲的廚師
[00:01:32.960 --> 00:01:35.240]  一個尼日利亞的廚師叫做哈里森
[00:01:35.240 --> 00:01:39.480]  他遇到一次船的水災的災難
[00:01:39.480 --> 00:01:42.480]  裡面有12個人被困在船艙
[00:01:42.480 --> 00:01:44.280]  滿佈水
[00:01:44.280 --> 00:01:50.880]  而他只有一罐可樂來維持他的飲食
[00:01:50.880 --> 00:01:52.960]  而12個被囚的裡面
[00:01:52.960 --> 00:01:55.040]  只有一個就是他生還
[00:01:55.040 --> 00:01:58.880]  他曾經聽到很多魚在黑暗的環境裡
[00:01:58.880 --> 00:02:02.240]  牠們在吃牠們的同事
[00:02:02.240 --> 00:02:06.360]  在吃牠們的死去的屍體
[00:02:06.360 --> 00:02:08.000]  當他懼怕的時候
[00:02:08.000 --> 00:02:10.960]  哈里森不知道怎樣算是好時間
[00:02:10.960 --> 00:02:13.400]  他唯有不斷地向神禱告
[00:02:13.400 --> 00:02:15.280]  因為他是一個很虔誠的基督徒
[00:02:15.280 --> 00:02:19.800]  所以他不斷地重複貝斯篇第54篇
[00:02:19.800 --> 00:02:20.920]  哈里森的經歷
[00:02:20.920 --> 00:02:25.840]  讓我們真的想起約拿書裡面的主角約拿
[00:02:25.840 --> 00:02:27.920]  這位先知的經歷
[00:02:27.920 --> 00:02:30.520]  約拿是一位偉大的先知
[00:02:30.520 --> 00:02:34.400]  不過他很不喜歡上帝的呼召
[00:02:34.400 --> 00:02:36.720]  叫他去來來去去
[00:02:36.720 --> 00:02:39.520]  吩咐這個大城的人來去悔改
[00:02:39.520 --> 00:02:41.920]  他不想去執行上帝的吩咐
[00:02:41.920 --> 00:02:46.400]  於是乎他就坐船反方向地去踏船
[00:02:46.400 --> 00:02:47.680]  在大海裡面
[00:02:47.680 --> 00:02:50.320]  他遇到神釘出來的巨風
[00:02:50.320 --> 00:02:54.560]  而水手、船長或者船上其餘的人
[00:02:54.560 --> 00:02:56.440]  他們試過不同的方式
[00:02:56.440 --> 00:02:59.040]  甚至把那些貨物扔下去大海
[00:02:59.040 --> 00:03:00.920]  以為這樣可以平息到
[00:03:00.920 --> 00:03:04.240]  或者抵消到上帝扔出來的這個大風
[00:03:04.240 --> 00:03:05.200]  很可惜
[00:03:05.200 --> 00:03:06.840]  他們扔錯東西
[00:03:06.840 --> 00:03:10.200]  最後由水手把約拿扔下去大海
[00:03:10.200 --> 00:03:12.000]  這次他扔對了
[00:03:12.000 --> 00:03:17.200]  所以只能夠平息到這場這麼厲害的風暴
