
[00:00:00.000 --> 00:00:05.000]  讓我們今天帶着這個神所給我們的應許來過我們基督徒的生活
[00:00:05.000 --> 00:00:15.000]  我也盼望透過今天的信息的分享來鼓勵大家重新來看上帝的應許跟保障
[00:00:15.000 --> 00:00:21.000]  我們免不了在我們肉身的當中會有軟弱
[00:00:21.000 --> 00:00:25.000]  基督徒生命當中至少有三份的軟弱
[00:00:27.000 --> 00:00:34.000]  第一份軟弱是因爲我們不明白上帝的旨意而走了歪路
[00:00:34.000 --> 00:00:43.000]  第二個是因爲我們懷疑做神所給我們的
[00:00:43.000 --> 00:00:45.000]  我們不敢去接受
[00:00:45.000 --> 00:00:52.000]  第三個就是我們沒有辦法經歷到神親自的愛
[00:00:53.000 --> 00:00:57.000]  羅馬書第八章第28節到39節
[00:00:57.000 --> 00:01:01.000]  特別透過神堅固的保障
[00:01:01.000 --> 00:01:08.000]  透露了保羅一個非常興奮的提醒
[00:01:08.000 --> 00:01:11.000]  就是在基督徒乘勝的道路里面
[00:01:11.000 --> 00:01:18.000]  有許多的事情可以讓我們信心倒退的或者懷疑的
[00:01:19.000 --> 00:01:26.000]  也有一些事情讓我們在憂傷的時候不敢接受神更大的安慰
[00:01:26.000 --> 00:01:31.000]  然而在保羅自己一生的經歷裏面
[00:01:31.000 --> 00:01:39.000]  他走到最患難的時候竟然是他走到生命當中至高峯的時候
[00:01:39.000 --> 00:01:44.000]  因爲他開始明白神不能分割的愛
[00:01:45.000 --> 00:01:49.000]  讓我在這個時候把這個經文與弟兄姊妹來分享
[00:01:49.000 --> 00:01:54.000]  羅馬書的第八章28節到39節
[00:01:54.000 --> 00:02:02.000]  我們在上一次分享的時候有跟他稍微提到神這個永傳不變的指引
[00:02:02.000 --> 00:02:06.000]  我們透過這個地方再次的進入到神的話語
[00:02:06.000 --> 00:02:08.000]  羅馬書第八章28節
[00:02:09.000 --> 00:02:15.000]  不曉得患事都互相效力,叫愛上帝的人得左益處
[00:02:15.000 --> 00:02:18.000]  就是按照他旨意被召的人
[00:02:18.000 --> 00:02:25.000]  因爲他預先所知道的就預先定下效法他兒子的模樣
[00:02:25.000 --> 00:02:29.000]  使他兒子在許多弟兄中作長子
[00:02:29.000 --> 00:02:32.000]  預先所定下的要召他們來
[00:02:32.000 --> 00:02:35.000]  所召來的要稱他們爲義
[00:02:35.000 --> 00:02:38.000]  所稱爲義的要召他們得榮耀
[00:02:39.000 --> 00:02:41.000]  即使這樣還有什麼說的呢
[00:02:41.000 --> 00:02:45.000]  神若幫助我們誰能抵擋我們呢
[00:02:45.000 --> 00:02:48.000]  神既不愛惜自己的兒子
[00:02:48.000 --> 00:02:50.000]  爲我們衆人舍了
[00:02:50.000 --> 00:02:55.000]  豈不把萬物和他一同白白的喫給我們吧
[00:02:55.000 --> 00:02:59.000]  誰能控告神所諫訓的人呢
[00:02:59.000 --> 00:03:02.000]  有神稱他們爲義了
[00:03:02.000 --> 00:03:05.000]  誰能定他們的罪呢
[00:03:05.000 --> 00:03:07.000]  有嫉妒耶穌已經死了
[00:03:08.000 --> 00:03:09.000]  而且從死裏復活
[00:03:09.000 --> 00:03:13.000]  如今在神的右邊也替我們祈求
[00:03:13.000 --> 00:03:15.000]  第三十五節
[00:03:15.000 --> 00:03:20.000]  誰能使我們與嫉妒的愛隔絕呢
[00:03:20.000 --> 00:03:22.000]  難道是患難
[00:03:22.000 --> 00:03:24.000]  是困苦
[00:03:24.000 --> 00:03:25.000]  是逼迫
[00:03:25.000 --> 00:03:26.000]  是飢餓
[00:03:26.000 --> 00:03:27.000]  是喫身肉體
[00:03:27.000 --> 00:03:29.000]  是危險
[00:03:29.000 --> 00:03:30.000]  是刀劍嗎
[00:03:30.000 --> 00:03:32.000]  如經上所記
[00:03:32.000 --> 00:03:35.000]  我們爲你的緣故終日被殺
