
[00:00:00.000 --> 00:00:05.800]  今日同大家繼續去思想這個題目叫敬畏神
[00:00:05.800 --> 00:00:10.420]  剛才都讀了幾節讀經的經文
[00:00:10.420 --> 00:00:13.460]  這幾節讀經的經文裏面有個特點是甚麼
[00:00:13.460 --> 00:00:19.020]  因為耶和本為大 當受極大的讚美
[00:00:19.020 --> 00:00:23.520]  他在萬神之上當受敬畏
[00:00:23.520 --> 00:00:31.100]  即是講到我們的神是很大的 很強的
[00:00:31.100 --> 00:00:35.480]  這個才是真真正正的宇宙最強
[00:00:35.480 --> 00:00:44.460]  有時我發覺電影明星說他是宇宙最強
[00:00:44.460 --> 00:00:47.860]  大象都比你更厲害 宇宙最強
[00:00:47.860 --> 00:00:51.620]  不過都是這樣講 人與人之間
[00:00:51.620 --> 00:00:58.300]  但我們的神真是一個最大的神 是獨一的神
[00:00:58.300 --> 00:01:02.440]  我講過有個小朋友聽完我有一節經文
[00:01:02.440 --> 00:01:05.100]  在萬神之上他問我牧師
[00:01:05.100 --> 00:01:08.600]  又說獨一的真神為何有萬神
[00:01:08.600 --> 00:01:11.100]  很有思考
[00:01:11.100 --> 00:01:15.340]  他聽完之後不明白 他又會很勇敢
[00:01:15.340 --> 00:01:18.400]  崇拜完之後就來問我
[00:01:18.400 --> 00:01:19.680]  我解釋給他聽
[00:01:19.680 --> 00:01:24.720]  因為那些人整個牧出來又當是神來拜
[00:01:24.720 --> 00:01:28.040]  那些當然不是神 假神
[00:01:28.040 --> 00:01:31.620]  根本不是 他們自己當是神來拜
[00:01:31.620 --> 00:01:40.540]  我有機會最近和一班天主教的朋友一起
[00:01:40.540 --> 00:01:42.800]  他就知道我是牧師
[00:01:42.800 --> 00:01:48.140]  他就問我 其實天主教和基督教有甚麼分別
[00:01:48.140 --> 00:01:53.720]  我說其實 聖父 聖子 聖靈 基本上沒有分別
[00:01:53.720 --> 00:01:55.440]  不過名稱會有分別
[00:01:55.440 --> 00:01:59.000]  天主我們叫天父 其實都是一樣的
[00:01:59.000 --> 00:02:01.720]  耶穌我們都叫耶穌
[00:02:01.720 --> 00:02:04.760]  聖靈我們叫Holy Spirit
[00:02:04.760 --> 00:02:07.520]  他們叫Holy Ghost 鬼
[00:02:07.520 --> 00:02:09.140]  我心想搞錯了 鬼不是
[00:02:09.140 --> 00:02:13.120]  Ghost這個字是一個古老英文字 是Spirit的意思
[00:02:13.120 --> 00:02:16.440]  所以沒有分別 但是有一樣東西有很大很大分別
[00:02:16.440 --> 00:02:20.600]  就是他們有聖母像在聖堂裏面
