
[00:00:00.000 --> 00:00:02.920]  我們很歡迎大家參加我們網上的崇拜
[00:00:02.920 --> 00:00:04.560]  我們都不是很習慣的
[00:00:04.560 --> 00:00:06.160]  今天我講到
[00:00:06.160 --> 00:00:10.040]  就對著一個差不多空了的禮堂
[00:00:10.040 --> 00:00:14.280]  只有剛才那個領事姐姐在當中
[00:00:14.280 --> 00:00:18.080]  但我希望大家今天無論在哪裡都好
[00:00:18.080 --> 00:00:21.200]  無論你是在宣靈的地方
[00:00:21.200 --> 00:00:22.600]  或者甚至遙遠的地方
[00:00:22.600 --> 00:00:24.920]  我們都很歡迎你參加我們的崇拜
[00:00:24.920 --> 00:00:29.040]  因為聖經叫我們不要停止聚會
[00:00:29.040 --> 00:00:31.880]  向那些停止慣了的人
[00:00:31.880 --> 00:00:35.640]  我們就知道我們堅持我們有崇拜
[00:00:35.640 --> 00:00:37.880]  因為我們特別是疫情的時候
[00:00:37.880 --> 00:00:42.600]  我們就更加是需要我們的神與我們同在
[00:00:42.600 --> 00:00:45.880]  有神賜給我們有平安和喜樂
[00:00:45.880 --> 00:00:49.520]  我們不知道這個疫症會持續到何時
[00:00:49.520 --> 00:00:53.480]  我們不知道將來會是怎樣
[00:00:53.480 --> 00:00:56.000]  相信連我們的領導人
[00:00:56.000 --> 00:00:57.760]  我們的政府都是不知道的
[00:00:57.760 --> 00:00:59.800]  世界上也沒有一個元首
[00:00:59.800 --> 00:01:02.360]  沒有一個人知道神的計劃在哪裡
[00:01:02.360 --> 00:01:05.520]  但我們活著是有盼望的
[00:01:05.520 --> 00:01:08.040]  因為我們是主的兒女
[00:01:08.040 --> 00:01:09.480]  主必保守我們
[00:01:09.480 --> 00:01:10.640]  無論我們在世上
[00:01:10.640 --> 00:01:11.920]  或者將來在天國的
[00:01:11.920 --> 00:01:14.400]  我們都會有這個祝福
[00:01:14.400 --> 00:01:16.240]  有這個喜樂和平安
[00:01:16.240 --> 00:01:18.840]  今天大家看到我們有一個講題
[00:01:18.840 --> 00:01:22.400]  就是叫做星火燎原
[00:01:22.400 --> 00:01:24.840]  相信大家都熟悉一句話
[00:01:24.840 --> 00:01:26.640]  叫做星星之火
