
[00:00:00.000 --> 00:00:04.000]  我很少在講題中用兩個動詞
[00:00:04.000 --> 00:00:08.000]  初陀是動詞 非誓也是動詞
[00:00:08.000 --> 00:00:12.000]  初陀是什麼呢
[00:00:12.000 --> 00:00:14.000]  如果在漢語詞典的解釋就是
[00:00:14.000 --> 00:00:17.000]  失時 失去了一些時間
[00:00:17.000 --> 00:00:20.000]  失足 行差 踏錯
[00:00:20.000 --> 00:00:26.000]  失意 就是在生活中虛度了光陰
[00:00:26.000 --> 00:00:31.000]  在兩個動詞的裏面
[00:00:31.000 --> 00:00:33.000]  都是想大家思想去想
[00:00:33.000 --> 00:00:35.000]  神給我們的時間
[00:00:35.000 --> 00:00:38.000]  我們應該怎樣好好地使用
[00:00:38.000 --> 00:00:40.000]  我們祈禱
[00:00:40.000 --> 00:00:42.000]  親愛的恩主 你愛我們
[00:00:42.000 --> 00:00:45.000]  因為我知道生命都是從你而來
[00:00:45.000 --> 00:00:47.000]  主求你去幫助
[00:00:47.000 --> 00:00:51.000]  帶領我們能夠體會主你自己的恩典
[00:00:51.000 --> 00:00:53.000]  主求你幫助我們
[00:00:53.000 --> 00:00:56.000]  曉得去善用時間
[00:00:56.000 --> 00:01:00.000]  主懇求你保守和看顧
[00:01:00.000 --> 00:01:03.000]  多謝恩主聽我們祈禱
[00:01:03.000 --> 00:01:05.000]  奉主明求 阿門
[00:01:05.000 --> 00:01:07.000]  咪就不用雙重了
[00:01:07.000 --> 00:01:10.000]  我剛剛沒有開 所以現在關了
[00:01:10.000 --> 00:01:13.000]  我們用雙重的動詞去形容
[00:01:13.000 --> 00:01:15.000]  咪一個就夠了
[00:01:15.000 --> 00:01:20.000]  當我們信耶穌和不信耶穌有什麼分別呢
[00:01:20.000 --> 00:01:24.000]  聖經在以弗撒所書第五章
[00:01:24.000 --> 00:01:28.000]  其實第四章在第十七節已經開始說
[00:01:28.000 --> 00:01:31.000]  所以大家頂止會有聖經的時候
[00:01:31.000 --> 00:01:33.000]  就可以翻開第五章
[00:01:33.000 --> 00:01:35.000]  其實在第十七節
[00:01:35.000 --> 00:01:38.000]  保羅已經提醒我們
[00:01:38.000 --> 00:01:41.000]  一班我們信了耶穌的人
[00:01:41.000 --> 00:01:43.000]  所以我們可以這樣說
[00:01:43.000 --> 00:01:45.000]  在主裏面鄭重地說
[00:01:45.000 --> 00:01:47.000]  你們行事為人
[00:01:47.000 --> 00:01:50.000]  不要再像外邦人
[00:01:50.000 --> 00:01:53.000]  存虛妄的心而活
[00:01:53.000 --> 00:01:55.000]  一種虛妄
[00:01:55.000 --> 00:01:57.000]  不知如何去做
[00:01:57.000 --> 00:02:00.000]  好像未信耶穌的人去生活
[00:02:00.000 --> 00:02:04.000]  然後第四章去到第五章一節
[00:02:04.000 --> 00:02:09.000]  所以我們作為蒙慈愛的兒女
[00:02:09.000 --> 00:02:13.000]  你們要效法上帝 效法神
[00:02:13.000 --> 00:02:16.000]  然後說要用愛心去行事
[00:02:16.000 --> 00:02:19.000]  就好像基督愛我們
[00:02:19.000 --> 00:02:22.000]  然後去到第八節
[00:02:22.000 --> 00:02:24.000]  同樣是這樣說
[00:02:24.000 --> 00:02:27.000]  從前你們是暗會
[00:02:27.000 --> 00:02:30.000]  即是說你們未信耶穌之前
[00:02:30.000 --> 00:02:32.000]  你們很多事情都不知道
[00:02:32.000 --> 00:02:34.000]  被罪所迷惑
[00:02:34.000 --> 00:02:39.000]  在黑暗裏面去行
[00:02:39.000 --> 00:02:42.000]  但他說如今在主裏面
[00:02:42.000 --> 00:02:44.000]  我們是光明的
[00:02:44.000 --> 00:02:50.000]  行事為人就要像光明的子女
[00:02:50.000 --> 00:02:56.000]  光明的子女就會結出果子
[00:02:56.000 --> 00:02:59.000]  這個果子就是一切的良善
[00:02:59.000 --> 00:03:03.000]  良善的行動 公義 誠實
[00:03:03.000 --> 00:03:08.000]  RSV修訂的標準譯本
[00:03:08.000 --> 00:03:11.000]  英文的翻譯我覺得最簡單最清楚
[00:03:11.000 --> 00:03:15.000]  良善就是good 好 什麼是好
[00:03:15.000 --> 00:03:20.000]  公義 什麼是right 什麼是對 正確
[00:03:20.000 --> 00:03:25.000]  然後誠實 什麼是true 真確 真的東西
[00:03:25.000 --> 00:03:29.000]  所以很簡單 光明的果子就是
[00:03:29.000 --> 00:03:32.000]  什麼是好 什麼是對 什麼是真
[00:03:32.000 --> 00:03:38.000]  這個就是我們基督徒可以結出的果子
[00:03:38.000 --> 00:03:40.000]  在當時的處境
[00:03:40.000 --> 00:03:42.000]  以法所教會
[00:03:42.000 --> 00:03:43.000]  雖然一班信耶穌的人
[00:03:43.000 --> 00:03:47.000]  他們在小亞細亞地區的文化裏面
[00:03:47.000 --> 00:03:49.000]  仍然有異教的文化
[00:03:49.000 --> 00:03:52.000]  有很多玩樂的引誘
[00:03:52.000 --> 00:03:56.000]  甚至晚上他們會去狂歡
[00:03:56.000 --> 00:03:59.000]  保羅提醒一班基督徒
[00:03:59.000 --> 00:04:05.000]  我們信耶穌就要在光明裏面行走
[00:04:05.000 --> 00:04:08.000]  所以第十次他就說
[00:04:08.000 --> 00:04:11.000]  我們要測驗什麼是主所喜悅的
[00:04:11.000 --> 00:04:12.000]  就是說我們做一些事
[00:04:12.000 --> 00:04:15.000]  神喜悅我們去做的
[00:04:15.000 --> 00:04:17.000]  不對的事 不好的事
[00:04:17.000 --> 00:04:19.000]  我們不可以參與
[00:04:19.000 --> 00:04:22.000]  甚至有些黑暗裏面做的事
[00:04:22.000 --> 00:04:23.000]  看起來都可恥
[00:04:23.000 --> 00:04:29.000]  甚至我們可以將這些事揭發出來
[00:04:29.000 --> 00:04:31.000]  這個對我們基督徒是很大的挑戰
[00:04:31.000 --> 00:04:34.000]  因為當我們要做這件事的時候
[00:04:34.000 --> 00:04:36.000]  就要有很多的勇氣
[00:04:36.000 --> 00:04:41.000]  又要有很多神教導我們應該怎樣做的事情
[00:04:41.000 --> 00:04:44.000]  所以信耶穌和不信耶穌
[00:04:44.000 --> 00:04:50.000]  就好像光明和黑暗裏面的爭鬥
[00:04:50.000 --> 00:04:52.000]  然後第十三第十四節
[00:04:52.000 --> 00:04:57.000]  他說因被光所照明都顯露出來
[00:04:57.000 --> 00:05:01.000]  因為要顯露出來的就是光
[00:05:01.000 --> 00:05:07.000]  所以話說你這睡著的人要醒過來
[00:05:07.000 --> 00:05:10.000]  從死人裏面復活
[00:05:10.000 --> 00:05:13.000]  基督就要光照你
[00:05:13.000 --> 00:05:15.000]  括著這一句
[00:05:15.000 --> 00:05:17.000]  當時就是一些浸禮裏面
[00:05:17.000 --> 00:05:20.000]  所頌唱的一些詩歌
[00:05:20.000 --> 00:05:23.000]  當我們未信耶穌之前
[00:05:23.000 --> 00:05:25.000]  就好像睡著了一樣
[00:05:25.000 --> 00:05:28.000]  睡著了怎樣
[00:05:28.000 --> 00:05:29.000]  一覺一覺醒
[00:05:29.000 --> 00:05:31.000]  睡著了那一刻
[00:05:31.000 --> 00:05:34.000]  被人叫醒你還是迷迷糊糊的
[00:05:34.000 --> 00:05:36.000]  不知道在做什麼事
[00:05:36.000 --> 00:05:39.000]  但是當我們信了耶穌之後
[00:05:39.000 --> 00:05:42.000]  保羅的書寫對象
[00:05:42.000 --> 00:05:46.000]  就是告訴當時已不鎖教會的弟兄姊妹
[00:05:46.000 --> 00:05:49.000]  不要參與一些無益的行為
[00:05:49.000 --> 00:05:53.000]  因為這些行為對我們基督徒來說
[00:05:53.000 --> 00:05:56.000]  就被視為死了
[00:05:56.000 --> 00:05:59.000]  他就提醒我們基督徒
[00:05:59.000 --> 00:06:02.000]  我們極需要基督的光去光照我們
[00:06:02.000 --> 00:06:04.000]  不再糊塗混惡
[00:06:04.000 --> 00:06:08.000]  就好像死了的人一樣
[00:06:08.000 --> 00:06:11.000]  所以今天你和我的生命
[00:06:11.000 --> 00:06:13.000]  都是從神而來
[00:06:13.000 --> 00:06:14.000]  我們就想
[00:06:14.000 --> 00:06:17.000]  今天怎樣可以善用神
[00:06:17.000 --> 00:06:18.000]  給我們今天的生命
[00:06:18.000 --> 00:06:20.000]  給我們的時間
[00:06:20.000 --> 00:06:23.000]  我們要去做光明的子女
[00:06:23.000 --> 00:06:26.000]  得主耶穌所喜悅
[00:06:26.000 --> 00:06:27.000]  其實很難
[00:06:27.000 --> 00:06:29.000]  因為這個世界
[00:06:29.000 --> 00:06:33.000]  我們很容易同流合污
[00:06:33.000 --> 00:06:35.000]  如果我們做一些事情
[00:06:35.000 --> 00:06:37.000]  真的是一個俗世的清流
[00:06:37.000 --> 00:06:42.000]  要很花心機和時間
[00:06:42.000 --> 00:06:44.000]  但是我們一定要知道
[00:06:44.000 --> 00:06:46.000]  什麼是好的事我們要去做
[00:06:46.000 --> 00:06:49.000]  什麼是對的事我們要去做
[00:06:49.000 --> 00:06:53.000]  什麼是真的話我們要去說
[00:06:53.000 --> 00:06:54.000]  頂姐妹
[00:06:54.000 --> 00:06:57.000]  這就成為我們生活中
[00:06:57.000 --> 00:07:00.000]  一個很重要的天賤
[00:07:00.000 --> 00:07:01.000]  頂姐妹
[00:07:01.000 --> 00:07:05.000]  所以今天我們要問一個問題
[00:07:05.000 --> 00:07:08.000]  你信了耶穌
[00:07:08.000 --> 00:07:10.000]  你作為基督徒
[00:07:10.000 --> 00:07:13.000]  神要你在在世的日子
[00:07:13.000 --> 00:07:15.000]  做些什麼呢?
[00:07:15.000 --> 00:07:19.000]  我們要去想這個問題
[00:07:19.000 --> 00:07:20.000]  第一
[00:07:20.000 --> 00:07:22.000]  保羅提醒我們
[00:07:22.000 --> 00:07:24.000]  我們要謹慎行事
[00:07:24.000 --> 00:07:27.000]  不要像無知的人
[00:07:27.000 --> 00:07:29.000]  本來他說愚昧的人
[00:07:29.000 --> 00:07:32.000]  要像智慧的人
[00:07:32.000 --> 00:07:34.000]  說的是一個
[00:07:34.000 --> 00:07:35.000]  其實舊約的傳統
[00:07:35.000 --> 00:07:36.000]  我們常常提的
