
[00:00:00.000 --> 00:00:06.000]  大家好,今天在歡喜快樂的環節,跟大家分享整個華語
[00:00:06.000 --> 00:00:10.000]  不知道大家慣不慣,再次回到網上崇拜呢?
[00:00:10.000 --> 00:00:17.000]  由實體崇拜,去到網上崇拜,再回到實體崇拜,再回到網上崇拜
[00:00:17.000 --> 00:00:26.000]  在這個疫情當中,經常影響我們的生活,影響我們的心情,影響我們的情緒
[00:00:26.000 --> 00:00:30.000]  我在想,今天跟大家分享的是,作事多一個門徒
[00:00:30.000 --> 00:00:36.000]  在這個世界幻變當中的時候,我們如何能夠作主門徒呢?
[00:00:36.000 --> 00:00:40.000]  求主幫助我們,讓我們今天在崇拜當中,能夠好好學習和領受
[00:00:40.000 --> 00:00:42.000]  一起低頭禱告
[00:00:42.000 --> 00:00:44.000]  千萬多謝你,給我們今天的早上
[00:00:44.000 --> 00:00:49.000]  縱然我們不能夠在實體當中,但我們在網上能夠有機會崇拜
[00:00:49.000 --> 00:00:51.000]  是你的恩典,是你的祝福
[00:00:51.000 --> 00:00:57.000]  讓你的百姓有機會透過YouTube的頻道,能夠一起同心合意見拜你
[00:00:57.000 --> 00:01:01.000]  求你與我們眾人同在,縱然我們在不同的地方
[00:01:01.000 --> 00:01:05.000]  但我深信,順帶你在我們每個內心當中動功
[00:01:05.000 --> 00:01:10.000]  讓你有渴求你的心,讓我們能夠親近你,讓我們能夠明白你
[00:01:10.000 --> 00:01:15.000]  求主在我們崇拜的主角,一起同心合意見拜
[00:01:15.000 --> 00:01:18.000]  一起同心合意的聆聽你的華語
[00:01:18.000 --> 00:01:22.000]  願你的華語在當中滋潤我們的生命,讓我們有平安,讓我們有安穩
[00:01:22.000 --> 00:01:26.000]  教曉我們在一個時代當中,我們如何緊緊跟隨你
[00:01:26.000 --> 00:01:29.000]  而不是被世界所帶動我們
[00:01:29.000 --> 00:01:33.000]  讓我們專心仰賴耶和華,而不是依靠自己的聰明
[00:01:33.000 --> 00:01:35.000]  求你祝福,大靈,祝福下次所講的
[00:01:35.000 --> 00:01:37.000]  弟兄姊妹所聽的,同行一靈
[00:01:37.000 --> 00:01:40.000]  以上禱告,奉我們求主寶貴耶穌名字祈禱
[00:01:48.000 --> 00:01:51.000]  我們在這個時代當中,我們如何作主門徒呢?
[00:01:51.000 --> 00:01:54.000]  其實我們整個世界都好像不斷的變化
[00:01:54.000 --> 00:01:57.000]  我們好像都在講熱情的事
[00:01:57.000 --> 00:02:01.000]  但事實上這個世界,作基督徒都不可以離開節節
[00:02:01.000 --> 00:02:04.000]  離開我們的社會環境,離開你的世界的大事
[00:02:04.000 --> 00:02:09.000]  我們作為信徒,作為門徒,處身於這個環境當中
[00:02:09.000 --> 00:02:15.000]  我們要思想我們的位置,如何能夠好好跟隨主
[00:02:15.000 --> 00:02:21.000]  如何回應社會上的需要,如何回應這個時代的需要
[00:02:21.000 --> 00:02:22.000]  求主幫助我們
[00:02:22.000 --> 00:02:27.000]  今天我想和大家分享的是初一及二的一章一至二章十節
[00:02:27.000 --> 00:02:28.000]  都比較長的
[00:02:28.000 --> 00:02:32.000]  但希望藉著這個故事,都能夠令我們有更多的反思
[00:02:32.000 --> 00:02:38.000]  《魔鬼三五經》是有初一及二的創世記
[00:02:38.000 --> 00:02:42.000]  初一及二的文述記,理美記和生命記當中
[00:02:42.000 --> 00:02:47.000]  有人說創世記是《魔鬼三五經》的前言
[00:02:47.000 --> 00:02:52.000]  而最後的五卷書,都是講述整個以色列的故事
[00:02:52.000 --> 00:02:57.000]  為什麼會叫初一及記呢?
[00:02:57.000 --> 00:03:01.000]  因為在原文當中,頭兩個字叫初埃及
[00:03:01.000 --> 00:03:03.000]  所以就叫初一及記
[00:03:03.000 --> 00:03:05.000]  究竟是不是真的這樣呢?
[00:03:05.000 --> 00:03:10.000]  在初一及記第一節,頭幾個字就是以色列的眾子
[00:03:10.000 --> 00:03:13.000]  各大家眷和各亞國一同來到埃及
[00:03:13.000 --> 00:03:15.000]  他們的名字記載在下面
[00:03:15.000 --> 00:03:18.000]  在中文,頭幾個字叫以色列的眾子
[00:03:18.000 --> 00:03:21.000]  在英文,他們是以色列的眾子
[00:03:21.000 --> 00:03:28.000]  在希伯來文,其實都差不多和英文的版本一樣
[00:03:28.000 --> 00:03:36.000]  所以不可以說是用頭幾個字成為初一及記的名字
[00:03:36.000 --> 00:03:38.000]  但為什麼會用初一及記呢?
[00:03:38.000 --> 00:03:42.000]  是因為在主前三世紀和二世紀
[00:03:42.000 --> 00:03:47.000]  希臘在管理和統治猶大民族
[00:03:47.000 --> 00:03:51.000]  而他們將希伯來文轉譯成希臘文
[00:03:51.000 --> 00:03:54.000]  成為了一本叫做《七十事業本》
[00:03:54.000 --> 00:03:56.000]  《七十事業本》的翻譯
[00:03:56.000 --> 00:03:58.000]  從希伯來文轉成希臘文
[00:03:58.000 --> 00:04:01.000]  頭幾個字在初一及記是叫做初埃及
[00:04:01.000 --> 00:04:06.000]  所以他們在初一及記的頭幾個字
[00:04:06.000 --> 00:04:09.000]  《七十事業本》的確是用初埃及這幾個字
[00:04:09.000 --> 00:04:14.000]  所以用了這幾個字成為了這本書的名字
[00:04:14.000 --> 00:04:15.000]  叫做初埃及記
[00:04:15.000 --> 00:04:18.000]  無論在創世紀也好,文素紀也好
[00:04:18.000 --> 00:04:20.000]  利美紀也好,新聞紀也好
[00:04:20.000 --> 00:04:25.000]  都如此類推,都有這樣的背景
[00:04:25.000 --> 00:04:28.000]  去成為那本書的名字
[00:04:28.000 --> 00:04:31.000]  在翻譯當中,在中文也好,英文也好
[00:04:31.000 --> 00:04:33.000]  其實都是這樣翻譯
