
[00:00:00.000 --> 00:00:08.960]  今早我們繼續來看納石遺跡
[00:00:08.960 --> 00:00:12.040]  今日我們看的經文是約書亞記第七章八章
[00:00:12.040 --> 00:00:15.040]  最後我們會有二十四章
[00:00:15.040 --> 00:00:23.480]  看完約書亞記裏面這幾堆以石頭遺跡的記載
[00:00:23.480 --> 00:00:28.560]  我們知道在整本約書亞記裏面有幾堆很重要的石頭
[00:00:28.560 --> 00:00:34.520]  成為了以色列人幾個重要的經歷記號
[00:00:34.520 --> 00:00:40.720]  這些石頭代表著他們進入迦南地後幾個重要的里程碑
[00:00:40.720 --> 00:00:43.880]  當他們日後回顧的時候
[00:00:43.880 --> 00:00:47.280]  就提醒他們當時所發生過的事情
[00:00:47.280 --> 00:00:50.160]  以致他們能夠深深憐憫在目
[00:00:50.160 --> 00:00:55.200]  更加成為教導他們的子孫和後世的一種提醒
[00:00:55.200 --> 00:01:01.200]  以作紀念和繼續提醒他們自己整個民眾
[00:01:01.200 --> 00:01:05.040]  所有後代來進行神的吩咐
[00:01:05.040 --> 00:01:10.880]  上一次就和大家在感恩節的主日看過兩堆紀念的石頭
[00:01:10.880 --> 00:01:17.040]  紀念他們過了約旦河進入迦南地的時候
[00:01:17.040 --> 00:01:19.520]  深深經歷到神奇妙的作為
[00:01:19.520 --> 00:01:22.160]  讓他們能夠走過約旦河
[00:01:22.160 --> 00:01:25.440]  漲滿水兩岸的河走乾地
[00:01:25.440 --> 00:01:28.840]  是因為神為他們施恩
[00:01:28.840 --> 00:01:30.680]  最重要的就是提醒他們
[00:01:30.680 --> 00:01:33.560]  需要有一種敬畏上帝的心
[00:01:33.560 --> 00:01:35.760]  這就是這兩堆石頭
[00:01:35.760 --> 00:01:40.360]  一堆從河底拿上岸
[00:01:40.360 --> 00:01:42.240]  彼此交接
[00:01:42.240 --> 00:01:45.400]  彼此相連
[00:01:45.400 --> 00:01:48.800]  讓我們知道上帝所施行的神蹟
[00:01:48.800 --> 00:01:50.840]  讓我們經歷過平安
[00:01:50.840 --> 00:01:53.520]  然後我們去到神的應去之地
[00:01:53.520 --> 00:01:55.520]  深深體會到神的大能
[00:01:55.520 --> 00:01:59.080]  讓我們生出對祂敬畏的心
[00:01:59.080 --> 00:02:03.760]  今天我們看約書雅第七章
[00:02:03.760 --> 00:02:05.320]  由二十二到二十六節
[00:02:05.320 --> 00:02:07.320]  我們先讀讀這幾節經文
[00:02:07.320 --> 00:02:11.240]  請大家同聲讀出
[00:02:11.240 --> 00:02:15.880]  約書雅就打發人跑到阿干的帳篷裡
[00:02:15.880 --> 00:02:18.800]  那件衣服果然藏在他帳篷內
[00:02:18.800 --> 00:02:20.920]  銀紙在底下
[00:02:20.920 --> 00:02:24.280]  他們就從帳篷裡取出來
[00:02:24.280 --> 00:02:27.360]  拿到約書雅和以色列眾人那裡
[00:02:27.360 --> 00:02:30.400]  方在耶和華面前
[00:02:30.400 --> 00:02:33.440]  約書雅和以色列眾人
[00:02:33.440 --> 00:02:37.240]  把謝拉的曾孫阿干和那銀紙
[00:02:37.240 --> 00:02:38.400]  那件衣服
[00:02:38.400 --> 00:02:39.680]  那條金紙
[00:02:39.680 --> 00:02:43.720]  並阿干的兒女牛、驢、羊、帳篷
