
[00:00:00.000 --> 00:00:02.000]  我們一起去祈禱吧
[00:00:02.000 --> 00:00:07.240]  蔡天父,感謝祢招聚我們在祢面前
[00:00:07.240 --> 00:00:10.040]  感謝祢在我們生命不同的階段
[00:00:10.040 --> 00:00:13.160]  都親自引領我們成長
[00:00:13.160 --> 00:00:15.520]  求主藉著今天的訊息
[00:00:15.520 --> 00:00:17.520]  開啟我們的眼睛
[00:00:17.520 --> 00:00:19.520]  讓我們看見祢的榮耀
[00:00:19.520 --> 00:00:22.720]  看見祢在生命中掌權
[00:00:22.720 --> 00:00:28.040]  也看見我們自己裡面的本相
[00:00:28.040 --> 00:00:29.720]  更多的認識自己
[00:00:29.720 --> 00:00:31.720]  願被主更新
[00:00:31.720 --> 00:00:33.240]  潔淨我們
[00:00:33.240 --> 00:00:36.320]  願我們都可以經歷神的醫治
[00:00:36.320 --> 00:00:38.320]  經歷神的慈愛和信實
[00:00:38.320 --> 00:00:40.320]  願以為主而活
[00:00:40.320 --> 00:00:42.320]  求主你差遣我們
[00:00:42.320 --> 00:00:44.320]  也願我們去馴服祢
[00:00:44.320 --> 00:00:45.320]  多謝祢
[00:00:45.320 --> 00:00:46.720]  聽我們祈禱奉主耶穌基督
[00:00:46.720 --> 00:00:47.720]  得性的命祈求
[00:00:47.720 --> 00:00:48.720]  阿門
[00:00:48.720 --> 00:00:52.320]  好,問大家一個問題
[00:00:52.320 --> 00:00:54.320]  我最喜歡問問題
[00:00:54.320 --> 00:00:55.320]  在你們的生命中
[00:00:55.320 --> 00:00:56.920]  有沒有試過有一個時刻
[00:00:56.920 --> 00:00:58.920]  令你們的生命改變了呢?
[00:00:59.920 --> 00:01:01.920]  想想吧
[00:01:01.920 --> 00:01:04.920]  我想一定有的
[00:01:04.920 --> 00:01:06.920]  也可能是有一次
[00:01:06.920 --> 00:01:08.920]  很深刻的
[00:01:08.920 --> 00:01:10.920]  看見一些東西
[00:01:10.920 --> 00:01:11.920]  經歷一些東西
[00:01:11.920 --> 00:01:13.920]  或者是和一些人的交往
[00:01:13.920 --> 00:01:15.920]  即是他的生命影響了你
[00:01:15.920 --> 00:01:17.920]  或者是他的言行影響了你
[00:01:17.920 --> 00:01:19.920]  或者是
[00:01:19.920 --> 00:01:21.920]  一次很深深的
[00:01:21.920 --> 00:01:23.920]  你和神相遇的時候
[00:01:23.920 --> 00:01:25.920]  也令到你的生命改變
[00:01:25.920 --> 00:01:27.920]  或者是一個營會
[00:01:27.920 --> 00:01:29.920]  神親自對你說話
[00:01:29.920 --> 00:01:31.920]  也有的
[00:01:31.920 --> 00:01:33.920]  我回想自己
[00:01:33.920 --> 00:01:35.920]  有一次很大的轉變
[00:01:35.920 --> 00:01:37.920]  真是一個營會
