
[00:00:00.000 --> 00:00:06.000]  蔣麗芸議員
[00:00:30.000 --> 00:00:36.000]  梁美芬議員
[00:01:00.000 --> 00:01:06.000]  主持人:今日的題目是「世界正在等待」,一個問號,等待甚麼呢?
[00:01:06.000 --> 00:01:12.000]  今日你知不知道我們在等甚麼?
[00:01:12.000 --> 00:01:20.000]  其實人人都在等,甚麼時間都在等,我們喜不喜歡都好,
[00:01:20.000 --> 00:01:24.000]  我剛才一路從辦公室走過來的時候,我要去等電梯,
[00:01:24.000 --> 00:01:32.000]  等完電梯之後,剛剛紅綠燈,又要等過馬路,然後我們又回來了,
[00:01:32.000 --> 00:01:39.000]  回來預備崇拜,等待崇拜開始,很多人在等一份工,
[00:01:39.000 --> 00:01:46.000]  有很多人在等孩子長大,就算有些人懷孕了,他都在等,
[00:01:46.000 --> 00:01:51.000]  等多久?最低限度等幾個月,十個月,最理想就是等十個月,
[00:01:51.000 --> 00:01:57.000]  下足月才好生,盡力都不好就好生,但是都要等,有沒有即刻?
[00:01:57.000 --> 00:02:05.000]  沒有即刻,不能即刻吃麵,要等待,等待是一種很不知味的事,
[00:02:05.000 --> 00:02:09.000]  其實現在的人很怕等,我們已經習慣了,
[00:02:09.000 --> 00:02:15.000]  我們的消費主義令我們甚麼都要急速,最好就是即刻吃即食麵,
[00:02:15.000 --> 00:02:23.000]  所有東西都是要快的,因為我們已經培養到一種習慣,
[00:02:23.000 --> 00:02:30.000]  被訓練到沒甚麼耐性,我們好像覺得要等候是一種很遺憾的事,
[00:02:30.000 --> 00:02:37.000]  甚至覺得是一種很消極的意思,等候就已經是消極,真是淒涼,
[00:02:37.000 --> 00:02:44.000]  但是正正在我們的信仰裏面,聖經裏面很多時候都叫我們等,
[00:02:44.000 --> 00:02:49.000]  阿伯拉罕得到應許的時候,等了很久才生個兒子,
[00:02:49.000 --> 00:02:56.000]  上帝叫他要離開他的父家,去到上帝應許的地方,
[00:02:56.000 --> 00:03:03.000]  等了很久才有機會得到這個地方,但是你見到得到的東西都是美好的,
[00:03:03.000 --> 00:03:10.000]  所以要等待是我們必須在現在這一代的人裏面要去學習的。
[00:03:10.000 --> 00:03:16.000]  我今天想和大家來聊聊看幾樣東西,
[00:03:16.000 --> 00:03:20.000]  我相信我們大家一起在等待甚麼呢?
[00:03:20.000 --> 00:03:26.000]  當然是在等待最重要的,全世界都在說在等待疫苗,
[00:03:26.000 --> 00:03:31.000]  無論有輝瑞的,有甚麼不同的公司的,
[00:03:31.000 --> 00:03:36.000]  但是都在等待疫苗,但是當我們在等待疫苗的時候,
