
[00:00:00.000 --> 00:00:02.000]  各位鼎智媒
[00:00:02.000 --> 00:00:10.000]  不知道你剛才有沒有需要紙巾
[00:00:10.000 --> 00:00:12.000]  如果你需要的話
[00:00:12.000 --> 00:00:14.000]  你又沒有的話
[00:00:14.000 --> 00:00:18.000]  跟隔離位說一說就可以了
[00:00:18.000 --> 00:00:21.000]  其實孫牧師剛才應該可能
[00:00:21.000 --> 00:00:24.000]  稍為善意提醒一下我們
[00:00:24.000 --> 00:00:26.000]  我發覺原來我的袋子
[00:00:26.000 --> 00:00:29.000]  是因為穿了牧師袍
[00:00:29.000 --> 00:00:31.000]  就沒有了所有紙巾
[00:00:31.000 --> 00:00:33.000]  所以剛才也不好意思
[00:00:33.000 --> 00:00:37.000]  要找隔離的執事給我紙巾
[00:00:37.000 --> 00:00:39.000]  我很感恩的
[00:00:39.000 --> 00:00:41.000]  因為今天看到
[00:00:41.000 --> 00:00:43.000]  也見證到
[00:00:43.000 --> 00:00:46.000]  港福堂我們今年是踏入40週年
[00:00:46.000 --> 00:00:48.000]  很感謝Jimmy老師
[00:00:48.000 --> 00:00:51.000]  他選擇了這一套
[00:00:51.000 --> 00:00:53.000]  Easter的清唱劇
[00:00:53.000 --> 00:00:55.000]  是由David Kleinser
[00:00:55.000 --> 00:00:57.000]  他所著作的
[00:00:57.000 --> 00:01:00.000]  是1984年的一個曲目
[00:01:00.000 --> 00:01:02.000]  How Great Thou Art
[00:01:02.000 --> 00:01:05.000]  剛剛又是40週年
[00:01:05.000 --> 00:01:06.000]  今年
[00:01:06.000 --> 00:01:07.000]  所以用這個時間
[00:01:07.000 --> 00:01:09.000]  來在我們這個受苦節
[00:01:09.000 --> 00:01:11.000]  和我們復活節的崇拜
[00:01:11.000 --> 00:01:13.000]  來去重讚
[00:01:13.000 --> 00:01:15.000]  我們去感恩
[00:01:15.000 --> 00:01:18.000]  神是在我們當中
[00:01:18.000 --> 00:01:20.000]  他再一次
[00:01:20.000 --> 00:01:22.000]  來去藉著詩歌
[00:01:22.000 --> 00:01:25.000]  藉著聖經他的說話
[00:01:25.000 --> 00:01:27.000]  去提醒我們
