
[00:00:00.000 --> 00:00:02.360]  想像力的重要性 為何如此重要
[00:00:02.360 --> 00:00:05.720]  第一個重要的地方是我們的想像力
[00:00:05.720 --> 00:00:09.760]  其實是影響了我們一生
[00:00:09.760 --> 00:00:14.080]  我們是神所造的 照著神的形象所造
[00:00:14.080 --> 00:00:17.560]  神將我們放在這個地球上
[00:00:17.560 --> 00:00:24.280]  其實是為了要管理神所造的地球
[00:00:24.280 --> 00:00:28.280]  無論是天空的飛鳥 海裡的魚
[00:00:28.280 --> 00:00:30.960]  地上的走獸 海陸空
[00:00:30.960 --> 00:00:36.480]  我們是海陸空唯一合法的管理者
[00:00:36.480 --> 00:00:39.840]  但問題是我們成不作為一個管理者
[00:00:39.840 --> 00:00:41.280]  一個主宰
[00:00:41.280 --> 00:00:45.000]  其實我們靠的不是自身的能力
[00:00:45.000 --> 00:00:49.560]  因為自身的能力是比不上很多動物的
[00:00:49.560 --> 00:00:54.320]  例如我們應該比不上老虎 獅子
[00:00:54.320 --> 00:00:56.200]  其實熊也比不上
[00:00:56.200 --> 00:00:59.880]  有時看到熊會覺得它很胖 跑得不快
[00:00:59.880 --> 00:01:01.520]  其實熊跑得很快
[00:01:01.520 --> 00:01:04.800]  熊可以跑30公里小時
[00:01:04.800 --> 00:01:07.200]  所以有時你在黃石上看到一隻熊
[00:01:07.200 --> 00:01:09.280]  你會說不用怕 它跑得比你快
[00:01:09.280 --> 00:01:11.480]  它跑得快 你跑不過它
[00:01:11.480 --> 00:01:14.480]  你也打不過它
[00:01:14.480 --> 00:01:16.760]  拳王泰森
[00:01:16.760 --> 00:01:19.240]  泰森一拳可以600磅
[00:01:19.240 --> 00:01:21.680]  熊一拳大概1000磅
[00:01:21.680 --> 00:01:22.600]  所以你打不贏
[00:01:22.600 --> 00:01:25.880]  你又跑不過它 又打不贏
[00:01:25.880 --> 00:01:30.880]  老虎的眼睛在夜間有夜視的功能
[00:01:30.880 --> 00:01:34.600]  現在最厲害的軍事夜視鏡
[00:01:34.600 --> 00:01:39.760]  都未可以在夜間看得清晰老虎的眼睛
[00:01:39.760 --> 00:01:42.560]  你聞瘦角就更加不需要說
[00:01:42.560 --> 00:01:43.880]  我們比不上狗
[00:01:43.880 --> 00:01:47.520]  熊的瘦角是狗的30倍
[00:01:47.520 --> 00:01:51.120]  所以5公里我已經聞到你在燒烤
[00:01:51.120 --> 00:01:54.280]  以時速30公里跑過來吃你
[00:01:54.280 --> 00:01:55.480]  要很小心
[00:01:55.480 --> 00:01:58.920]  所以人基本上打不過野獸
[00:01:58.920 --> 00:02:03.960]  但這個世界上唯一兩個打得贏野獸
[00:02:03.960 --> 00:02:10.400]  大概是水虎傳裡面的武松
[00:02:10.400 --> 00:02:14.120]  和聖經裡面的大衛
[00:02:14.120 --> 00:02:15.560]  嚴格來說可能只有武松
[00:02:15.560 --> 00:02:17.600]  因為大衛算是用了暗器
[00:02:17.600 --> 00:02:22.880]  雖然在《撒姆爾記》前17章
[00:02:22.880 --> 00:02:26.880]  他為了蘇羅王可以放心讓他打哥利亞
[00:02:26.880 --> 00:02:29.000]  他其實有吹水的成份
[00:02:29.000 --> 00:02:32.240]  他跟蘇羅王說不用怕我很厲害
[00:02:32.240 --> 00:02:35.640]  我看羊的時候如果有獅子來吃我的羊
[00:02:35.640 --> 00:02:39.240]  他就上去捉住獅子的鬍鬚
[00:02:39.240 --> 00:02:42.360]  一拳一拳地用詠春
[00:02:42.360 --> 00:02:44.160]  有沒有人練詠春
[00:02:44.160 --> 00:02:45.200]  那些很快的
[00:02:45.200 --> 00:02:47.200]  快到看不到拳頭
[00:02:47.200 --> 00:02:50.360]  我就直接一拳一拳打死獅子
[00:02:50.360 --> 00:02:52.320]  應該吹水的 誇張成份
[00:02:52.320 --> 00:02:55.760]  他應該用投石器打死獅子
[00:02:55.760 --> 00:03:00.600]  所以投石器號稱古代近東十大暗器之首
