
[00:00:00.000 --> 00:00:05.000]  我相信麻煙是每一位現代人都非常熟悉的
[00:00:05.000 --> 00:00:10.000]  特別是職場的頂子妹就更加熟悉了
[00:00:10.000 --> 00:00:13.000]  無論我們在公司的茶水間
[00:00:13.000 --> 00:00:16.000]  或者是社交媒體的組群
[00:00:16.000 --> 00:00:20.000]  都經常都見到或者聽到
[00:00:20.000 --> 00:00:24.000]  對於公司對於老闆對於同事的不滿
[00:00:24.000 --> 00:00:26.000]  有一個這樣的調查
[00:00:26.000 --> 00:00:31.000]  他說63%的打工仔曾經在Facebook或者IG
[00:00:31.000 --> 00:00:34.000]  去埋怨工作不如意
[00:00:34.000 --> 00:00:39.000]  74%的人就一定不會將他的上司
[00:00:39.000 --> 00:00:42.000]  放入Facebook和IG的好友名單的
[00:00:42.000 --> 00:00:43.000]  為什麼呢?
[00:00:43.000 --> 00:00:47.000]  因為這樣你就沒有辦法亂說話了
[00:00:47.000 --> 00:00:53.000]  66%的人表示平均每一天他會埋怨一至五次
[00:00:53.000 --> 00:00:57.000]  特別在香港這幾年疫情打擊
[00:00:57.000 --> 00:00:59.000]  經濟下滑
[00:00:59.000 --> 00:01:04.000]  我相信大家都在很多地方都聽見很多埋怨的聲音
[00:01:04.000 --> 00:01:06.000]  星期五是黑色星期五
[00:01:06.000 --> 00:01:08.000]  全球股市大跌
[00:01:08.000 --> 00:01:13.000]  我相信大家會在更多的地方聽見一些埋怨的聲音
[00:01:13.000 --> 00:01:15.000]  有人這樣說
[00:01:15.000 --> 00:01:21.000]  適當劑量和適當場合的埋怨未必不好
[00:01:21.000 --> 00:01:25.000]  因為這樣可以幫助去抒發情緒
[00:01:25.000 --> 00:01:27.000]  消除心理壓力
[00:01:27.000 --> 00:01:34.000]  也有一些埋怨幫助提醒自己或者其他人
[00:01:34.000 --> 00:01:37.000]  可能有些事情需要改變
[00:01:37.000 --> 00:01:39.000]  例如那個人經常說
[00:01:39.000 --> 00:01:40.000]  我經常睡不夠
[00:01:40.000 --> 00:01:42.000]  經常精神不振
[00:01:42.000 --> 00:01:45.000]  可能提醒他不要補那麼多劇
[00:01:45.000 --> 00:01:47.000]  不要打那麼多劑
[00:01:47.000 --> 00:01:48.000]  這是好的事情
[00:01:48.000 --> 00:01:50.000]  但有專家說
[00:01:50.000 --> 00:01:52.000]  埋怨不是病
[00:01:52.000 --> 00:01:56.000]  不過如果成為習慣就會要你的命
[00:01:56.000 --> 00:01:57.000]  為甚麼呢
[00:01:57.000 --> 00:02:00.000]  因為人的腦學習得很快
[00:02:00.000 --> 00:02:02.000]  如果你不斷重返一種行動
[00:02:02.000 --> 00:02:04.000]  例如經常埋怨
[00:02:04.000 --> 00:02:06.000]  腦袋一路很快就學到
[00:02:06.000 --> 00:02:08.000]  到了一個階段
[00:02:08.000 --> 00:02:12.000]  你甚至沒有意識到自己在埋怨
[00:02:12.000 --> 00:02:14.000]  但有甚麼不好呢
[00:02:14.000 --> 00:02:18.000]  美國史丹福大學做過一個這樣的研究
[00:02:18.000 --> 00:02:24.000]  他說結論是埋怨會帶出四個不好的地方
[00:02:24.000 --> 00:02:25.000]  是甚麼不好的地方呢
[00:02:25.000 --> 00:02:27.000]  第一個不好的地方
[00:02:27.000 --> 00:02:30.000]  就是當你埋怨的時候
[00:02:30.000 --> 00:02:33.000]  你的腦海綿體會縮小
[00:02:33.000 --> 00:02:34.000]  影響甚麼呢
