
[00:00:00.000 --> 00:00:04.000]  我們問小朋友,你覺得神是怎樣的?
[00:00:04.000 --> 00:00:10.000]  有一個小朋友馬上舉手說,神好像老師一樣,監察我們、監察我們
[00:00:10.000 --> 00:00:15.000]  有一個又說,神好像警察一樣,專門抓壞人
[00:00:15.000 --> 00:00:21.000]  有一個說,神就好像法師一樣,監察我們、監察我們
[00:00:21.000 --> 00:00:26.000]  有一個又說,神就好像警察一樣,專門抓壞人
[00:00:26.000 --> 00:00:32.000]  有一個說,神就好像法官一樣,監察我們、監察我們
[00:00:32.000 --> 00:00:34.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:00:34.000 --> 00:00:35.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:00:35.000 --> 00:00:36.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:00:36.000 --> 00:00:37.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:00:37.000 --> 00:00:38.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:00:38.000 --> 00:00:39.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:00:39.000 --> 00:00:40.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:00:40.000 --> 00:00:41.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:00:41.000 --> 00:00:56.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:00:56.000 --> 00:00:57.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:00:57.000 --> 00:00:58.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:00:58.000 --> 00:00:59.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:00:59.000 --> 00:01:00.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:00.000 --> 00:01:01.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:01.000 --> 00:01:02.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:02.000 --> 00:01:03.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:03.000 --> 00:01:04.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:04.000 --> 00:01:11.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:11.000 --> 00:01:12.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:12.000 --> 00:01:13.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:13.000 --> 00:01:14.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:14.000 --> 00:01:15.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:15.000 --> 00:01:16.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:16.000 --> 00:01:17.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:17.000 --> 00:01:18.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:18.000 --> 00:01:19.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:19.000 --> 00:01:34.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:34.000 --> 00:01:35.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:35.000 --> 00:01:36.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:36.000 --> 00:01:37.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:37.000 --> 00:01:38.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:38.000 --> 00:01:39.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:39.000 --> 00:01:40.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:40.000 --> 00:01:41.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:41.000 --> 00:01:42.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:42.000 --> 00:01:49.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:49.000 --> 00:01:50.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:50.000 --> 00:01:51.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:51.000 --> 00:01:52.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:52.000 --> 00:01:53.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:53.000 --> 00:01:54.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:54.000 --> 00:01:55.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:55.000 --> 00:01:56.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:56.000 --> 00:01:57.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:01:57.000 --> 00:02:16.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:16.000 --> 00:02:17.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:17.000 --> 00:02:18.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:18.000 --> 00:02:19.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:19.000 --> 00:02:20.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:20.000 --> 00:02:21.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:21.000 --> 00:02:22.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:22.000 --> 00:02:23.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:23.000 --> 00:02:24.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:24.000 --> 00:02:31.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:31.000 --> 00:02:32.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:32.000 --> 00:02:33.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:33.000 --> 00:02:34.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:34.000 --> 00:02:35.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:35.000 --> 00:02:36.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:36.000 --> 00:02:37.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:37.000 --> 00:02:38.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:38.000 --> 00:02:39.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:39.000 --> 00:02:54.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:54.000 --> 00:02:55.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:55.000 --> 00:02:56.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:56.000 --> 00:02:57.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:57.000 --> 00:02:58.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:58.000 --> 00:02:59.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:02:59.000 --> 00:03:00.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:03:00.000 --> 00:03:01.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:03:01.000 --> 00:03:02.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:03:02.000 --> 00:03:09.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:03:09.000 --> 00:03:10.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:03:10.000 --> 00:03:11.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:03:11.000 --> 00:03:12.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:03:12.000 --> 00:03:13.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:03:13.000 --> 00:03:14.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:03:14.000 --> 00:03:15.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:03:15.000 --> 00:03:16.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:03:16.000 --> 00:03:17.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:03:17.000 --> 00:03:32.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:03:32.000 --> 00:03:37.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:03:37.000 --> 00:03:38.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:03:38.000 --> 00:03:39.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:03:39.000 --> 00:03:40.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:03:40.000 --> 00:03:41.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:03:41.000 --> 00:03:42.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:03:42.000 --> 00:03:43.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:03:43.000 --> 00:03:44.000]  有一個又說,神就好像法官一樣,監察我們、監察我們
[00:03:44.000 --> 00:03:47.080]  建立一個個人的關係
[00:03:47.080 --> 00:03:51.340]  所以很多人說基督教不是一個宗教
[00:03:51.340 --> 00:03:54.000]  而是一個關係
[00:03:54.000 --> 00:04:01.220]  就是你跟主耶穌有沒有建立一個很密切、很個人的關係
[00:04:01.220 --> 00:04:05.480]  我認識主耶穌 主耶穌認識我
[00:04:05.480 --> 00:04:09.820]  我以主耶穌為我個人的救主
[00:04:09.820 --> 00:04:12.820]  是我劉少康的主
