
[00:00:00.000 --> 00:00:05.500]  我們讀一段聖經在路加福音第十章第一到第五節
[00:00:05.500 --> 00:00:07.500]  由我來念
[00:00:07.500 --> 00:00:09.500]  這裡說這世以後
[00:00:09.500 --> 00:00:14.000]  主祐設立七十個人猜遣他們兩個兩個的在他前面
[00:00:14.000 --> 00:00:17.000]  往自己所要到的各城各地方去
[00:00:17.000 --> 00:00:21.000]  就對他們說要收的莊稼多,做工的人少
[00:00:21.000 --> 00:00:26.000]  所以你們當求莊稼的主打發工人出去收他的莊稼
[00:00:26.000 --> 00:00:28.000]  你們去吧
[00:00:28.000 --> 00:00:31.000]  我猜你們出去如同羊羔進入狼群
[00:00:31.000 --> 00:00:34.000]  不要帶錢囊,不要帶口袋,不要帶鞋
[00:00:34.000 --> 00:00:36.000]  在路上也不要問人的安
[00:00:36.000 --> 00:00:40.000]  無論進哪一家先要說願這一家平安
[00:00:40.000 --> 00:00:42.000]  我們就讀到這裡
[00:00:42.000 --> 00:00:44.000]  今天是社區轉化的主日
[00:00:44.000 --> 00:00:47.000]  今天下午,其實是這個週末
[00:00:47.000 --> 00:00:51.000]  我們教會會一同來舉動一個禱告行徑
[00:00:51.000 --> 00:00:54.000]  在整個灣區這樣一個活動
[00:00:54.000 --> 00:00:57.000]  那為什麼我們要做禱告行徑
[00:00:57.000 --> 00:00:59.000]  我們要出去做禱告呢
[00:00:59.000 --> 00:01:03.000]  很多人常常問說難道我們在家裡禱告不可以嗎
[00:01:03.000 --> 00:01:07.000]  在教會裡為社區祝福不可以嗎
[00:01:07.000 --> 00:01:11.000]  是的,我們是可以在家裡面來祝福社區
[00:01:11.000 --> 00:01:15.000]  在教會裡面我們來為城市求平安
[00:01:15.000 --> 00:01:21.000]  但是如果我們想要為神得地為業
[00:01:21.000 --> 00:01:26.000]  如果我們想要我們所居住的城市能夠歸向神
[00:01:26.000 --> 00:01:29.000]  那我們必須要做禱告行徑
[00:01:29.000 --> 00:01:31.000]  所以在這個週末
[00:01:31.000 --> 00:01:33.000]  我想有些小組昨天已經出去了
[00:01:33.000 --> 00:01:36.000]  但今天在主日崇拜之後
[00:01:36.000 --> 00:01:38.000]  如果說你已經參加小組的
[00:01:38.000 --> 00:01:42.000]  就跟著你的小組一起出發去做禱告行徑
[00:01:42.000 --> 00:01:44.000]  如果你沒有小組的話
[00:01:44.000 --> 00:01:47.000]  你可以在崇拜之後在拉比集合
[00:01:47.000 --> 00:01:50.000]  我們有臨時的團隊有同工帶領你
[00:01:50.000 --> 00:01:52.000]  一起去禱告行徑
