
[00:00:00.000 --> 00:00:02.000]  各位姐妹大家早安
[00:00:02.000 --> 00:00:08.000]  今天跟大家分享的題目是願公益的王掌權
[00:00:08.000 --> 00:00:10.000]  你們願意公益的總統當
[00:00:10.000 --> 00:00:11.000]  你們的總統嗎
[00:00:11.000 --> 00:00:12.000]  願意
[00:00:12.000 --> 00:00:13.000]  當然是願意的
[00:00:13.000 --> 00:00:15.000]  如果是不公益的王掌權的話
[00:00:15.000 --> 00:00:17.000]  會有什麼樣的結果呢
[00:00:17.000 --> 00:00:22.000]  我們會非常地痛苦
[00:00:22.000 --> 00:00:24.000]  會活在一種很痛苦當中
[00:00:24.000 --> 00:00:27.000]  甚至我們最後就會學習不公益
[00:00:28.000 --> 00:00:32.000]  我想今天會定這個題目呢
[00:00:32.000 --> 00:00:34.000]  我想了很久
[00:00:34.000 --> 00:00:39.000]  為什麼要說是願公益的王掌權呢
[00:00:39.000 --> 00:00:44.000]  當我們看見我們的神他是又慈愛又聖潔
[00:00:44.000 --> 00:00:48.000]  但是其中公益這個屬性
[00:00:48.000 --> 00:00:52.000]  我覺得是我們一定要認識的
[00:00:52.000 --> 00:00:55.000]  常常我們會把公益這個字
[00:00:55.000 --> 00:00:59.000]  跟世俗上的公益會連結在一起
[00:00:59.000 --> 00:01:01.000]  以至於我們其實讀聖經的時候
[00:01:01.000 --> 00:01:05.000]  我們讀不出來到底這個公益是什麼
[00:01:05.000 --> 00:01:09.000]  詩篇72篇是一個彌賽亞詩篇
[00:01:09.000 --> 00:01:15.000]  他是大衛王為索羅門王他自己的兒子的禱告
[00:01:15.000 --> 00:01:18.000]  剛剛我們只讀到第17節
[00:01:18.000 --> 00:01:20.000]  當我們繼續讀下去的時候
[00:01:20.000 --> 00:01:24.000]  你會發現詩篇72篇原來是大衛王的禱告
[00:01:24.000 --> 00:01:28.000]  雖然他這邊說到這是索羅門的詩
[00:01:28.000 --> 00:01:30.000]  但是我們知道是大衛
[00:01:30.000 --> 00:01:34.000]  他為著索羅門王所禱告的內容
[00:01:34.000 --> 00:01:39.000]  真實的作者並不是索羅門 是大衛
[00:01:39.000 --> 00:01:41.000]  大衛為著他的兒子的禱告
[00:01:41.000 --> 00:01:42.000]  他裡面有兩個願望
[00:01:42.000 --> 00:01:44.000]  一個是願王掌權
[00:01:44.000 --> 00:01:46.000]  願他的兒子能夠施行公益
[00:01:46.000 --> 00:01:51.000]  另外一個他是願王降臨 大有平安
[00:01:52.000 --> 00:01:55.000]  你們看到左邊那個圖
[00:01:55.000 --> 00:01:58.000]  你們看到的是一個人還是兩個人的畫面
[00:01:58.000 --> 00:02:00.000]  兩個人對不對
[00:02:00.000 --> 00:02:02.000]  其實我們在讀聖經的時候
[00:02:02.000 --> 00:02:04.000]  特別是在彌賽亞的詩篇
[00:02:04.000 --> 00:02:08.000]  有關於救主耶穌基督的詩篇的內容
[00:02:08.000 --> 00:02:11.000]  我們常常讀著 讀著 讀著
[00:02:11.000 --> 00:02:14.000]  從一個僕人變成讀到一個君王
[00:02:14.000 --> 00:02:16.000]  讀到一個好像當時的人
[00:02:16.000 --> 00:02:19.000]  但是卻描述的是耶穌基督
[00:02:19.000 --> 00:02:22.000]  在詩篇 七十二篇也是有這樣的情況
[00:02:22.000 --> 00:02:26.000]  所以我們剛剛在讀詩篇的時候
[00:02:26.000 --> 00:02:27.000]  大家有沒有想到
[00:02:27.000 --> 00:02:29.000]  這個他到底是指的誰呢
[00:02:29.000 --> 00:02:32.000]  這個君王到底是指的誰呢
[00:02:32.000 --> 00:02:36.000]  願你將判斷的權柄賜給王
[00:02:36.000 --> 00:02:38.000]  這個王到底是誰
[00:02:38.000 --> 00:02:40.000]  但是當我們讀到最後的時候
[00:02:40.000 --> 00:02:43.000]  第十七節講到 人要因他蒙福
[00:02:43.000 --> 00:02:45.000]  萬國要稱他為有福
[00:02:45.000 --> 00:02:48.000]  他的名要存到永遠
[00:02:48.000 --> 00:02:50.000]  所以在讀詩篇的時候
[00:02:50.000 --> 00:02:53.000]  我們很難 我記得張牧師有一次也分享了
[00:02:53.000 --> 00:02:54.000]  我們很難去界定
[00:02:54.000 --> 00:02:58.000]  這一個詩篇的內容到底是在指的誰
[00:02:58.000 --> 00:02:59.000]  是在講誰
[00:02:59.000 --> 00:03:01.000]  但是我們很清楚知道
[00:03:01.000 --> 00:03:04.000]  當詩人在看他的禱告中
[00:03:04.000 --> 00:03:07.000]  出現的這個image的時候
[00:03:07.000 --> 00:03:10.000]  他可能是自己也分不清楚
[00:03:10.000 --> 00:03:13.000]  所以亞伯拉罕他可能也以為
[00:03:13.000 --> 00:03:16.000]  他的後裔是以撒
[00:03:16.000 --> 00:03:21.000]  大衛也以為他這個王是鎖門
[00:03:21.000 --> 00:03:22.000]  其實都不是
[00:03:22.000 --> 00:03:24.000]  萬國因他有福
[00:03:24.000 --> 00:03:28.000]  這個他是耶穌基督
[00:03:28.000 --> 00:03:31.000]  今天我定的題目是公義和平安
[00:03:31.000 --> 00:03:34.000]  你們看到哪一個字比較大呢
[00:03:34.000 --> 00:03:38.000]  公義 我說神的公義
[00:03:38.000 --> 00:03:41.000]  大的公義就有大的平安
