
[00:00:00.000 --> 00:00:04.040]  今天和大家一起繼續看馬克福音信息第七章
[00:00:04.040 --> 00:00:07.760]  我給他的題目是「從心出發」
[00:00:07.760 --> 00:00:10.640]  這段經文其實都頗熟悉的
[00:00:10.640 --> 00:00:14.240]  在福音書裡面時不時都會有類似的記載
[00:00:14.240 --> 00:00:17.000]  就是記載到有些法利塞人或者是文士
[00:00:17.000 --> 00:00:19.480]  他們來到耶穌的面前
[00:00:19.480 --> 00:00:21.480]  和耶穌一些對話
[00:00:21.480 --> 00:00:24.800]  這段經文我想和大家交代有少許的背景
[00:00:24.800 --> 00:00:28.040]  其實這些法利塞人來到耶穌的面前
[00:00:28.040 --> 00:00:33.160]  有時可能真是他們很有一個請教耶穌的心
[00:00:33.160 --> 00:00:36.040]  想去和耶穌學習
[00:00:36.040 --> 00:00:40.560]  但有時又真是他們帶著一個挑戰耶穌的心
[00:00:40.560 --> 00:00:43.600]  這段經文有少許背景是在第一章到第六章
[00:00:43.600 --> 00:00:44.880]  我不知道大家還有沒有印象
[00:00:44.880 --> 00:00:48.720]  其實那時已經是記載了耶穌出來傳道
[00:00:48.720 --> 00:00:52.200]  而且去行了神蹟、醫病、趕鬼
[00:00:52.200 --> 00:00:54.600]  在當中記載其實發生的事情
[00:00:54.600 --> 00:01:00.280]  有些是在猶太人一些的條例當中
[00:01:00.280 --> 00:01:02.960]  是他們覺得不應該做
[00:01:02.960 --> 00:01:09.120]  或者做了之後又沒有按照他們要用一些的方法去潔淨
[00:01:09.120 --> 00:01:10.360]  在第一章裡面提到
[00:01:10.360 --> 00:01:12.480]  耶穌醫治了一個大麻瘋的病人
[00:01:12.480 --> 00:01:14.760]  大家記不記得耶穌怎樣醫治的?
[00:01:14.760 --> 00:01:16.560]  耶穌伸手摸他
[00:01:16.560 --> 00:01:18.600]  然後在我們近一點的第五章
[00:01:18.600 --> 00:01:22.200]  提到耶穌去艾魯的家的時候
[00:01:22.200 --> 00:01:25.760]  路上有一個血流的婦人她做了些什麼?
[00:01:25.760 --> 00:01:27.640]  她就摸耶穌的衣服
[00:01:27.640 --> 00:01:29.800]  然後耶穌去到艾魯的家
[00:01:29.800 --> 00:01:33.920]  他的女兒已經離開世界
[00:01:33.920 --> 00:01:38.120]  耶穌怎樣來救回這個小女孩?
[00:01:38.120 --> 00:01:39.720]  拉著她的手
[00:01:39.720 --> 00:01:41.680]  其實這些在摩西的律法也好
[00:01:41.680 --> 00:01:43.880]  在猶太人當時的一些條例裡面
[00:01:43.880 --> 00:01:48.080]  都看為是做了一些不潔淨的行為
[00:01:48.080 --> 00:01:51.280]  所以他們覺得耶穌做了這些事情之後
[00:01:51.280 --> 00:01:55.240]  又沒有按照他的律法要求
[00:01:55.240 --> 00:02:02.160]  做一些補償或者潔淨的動作
[00:02:02.160 --> 00:02:05.320]  所以他們看耶穌不是那麼潔淨
[00:02:05.320 --> 00:02:06.560]  甚至可能他們會覺得
[00:02:06.560 --> 00:02:10.600]  這個耶穌也不是一個很虔誠的猶太人
[00:02:10.600 --> 00:02:12.920]  不會守他們的律法上
