
[00:00:00.000 --> 00:00:01.320]  鄧小平不安
[00:00:01.320 --> 00:00:03.600]  如果我說耶穌很快就會回來
[00:00:03.600 --> 00:00:04.700]  大家信不信呢?
[00:00:04.700 --> 00:00:06.360]  如果耶穌很快就回來了
[00:00:06.360 --> 00:00:07.400]  我們預備好了沒有?
[00:00:07.400 --> 00:00:08.900]  (笑)
[00:00:08.900 --> 00:00:14.160]  我星期五早上習慣起來洗頭
[00:00:14.160 --> 00:00:16.400]  我在洗手間洗頭的時候
[00:00:16.400 --> 00:00:18.360]  想起一些事情要問我太太
[00:00:18.360 --> 00:00:19.500]  我就叫我太太
[00:00:19.500 --> 00:00:22.200]  我叫她 Connie
[00:00:22.200 --> 00:00:23.900]  為什麼沒有人回應我呢?
[00:00:23.900 --> 00:00:25.000]  可能她聽不到
[00:00:25.000 --> 00:00:26.300]  我洗完頭吹完
[00:00:26.300 --> 00:00:27.400]  我就出來找她
[00:00:27.400 --> 00:00:29.600]  為什麼房子這麼安靜呢?
[00:00:30.700 --> 00:00:32.700]  我找了一陣子都看不到我太太
[00:00:32.700 --> 00:00:34.800]  連我兩隻貓都看不到
[00:00:34.800 --> 00:00:37.400]  然後再看一下我太太的電話
[00:00:37.400 --> 00:00:38.500]  正在充電
[00:00:38.500 --> 00:00:41.000]  我以為我太太因為住村屋
[00:00:41.000 --> 00:00:43.300]  她走到外面去看一看又沒有
[00:00:43.300 --> 00:00:46.300]  接著我突然有一個感覺
[00:00:46.300 --> 00:00:49.600]  難道我太太和兩隻貓被踢?
[00:00:49.600 --> 00:00:50.400]  (笑)
[00:00:50.400 --> 00:00:51.600]  留我在這裡
[00:00:51.600 --> 00:00:54.200]  突然間真的害怕
[00:00:54.200 --> 00:00:55.400]  我想想
[00:00:55.400 --> 00:00:57.600]  我當年是真的相信耶穌的
[00:00:58.000 --> 00:01:00.100]  真的祈禱、認罪、悔改
[00:01:00.100 --> 00:01:01.400]  接受耶穌的
[00:01:01.400 --> 00:01:02.700]  想住這麼多年
[00:01:02.700 --> 00:01:03.900]  是有時候做錯事
[00:01:03.900 --> 00:01:05.000]  但是也沒有犯大罪
[00:01:05.000 --> 00:01:06.300]  沒有理由留我在這裡
[00:01:06.300 --> 00:01:10.000]  直到我收到一個電話
[00:01:10.000 --> 00:01:11.800]  我太太就說我忘記帶電話了
[00:01:11.800 --> 00:01:14.000]  我就說感謝主
[00:01:14.000 --> 00:01:15.200]  不是被踢
[00:01:15.200 --> 00:01:17.200]  還在這裡
[00:01:17.200 --> 00:01:20.600]  但是其實過去這二十年
[00:01:20.600 --> 00:01:22.000]  在教會的圈子裡面
[00:01:22.000 --> 00:01:24.200]  都不少的人對主在來
[00:01:24.200 --> 00:01:25.800]  是有一些興趣
[00:01:26.600 --> 00:01:28.600]  但是也因為這樣的緣故
[00:01:28.600 --> 00:01:30.800]  發生了幾件事件
[00:01:30.800 --> 00:01:33.000]  是值得我們去反思的
[00:01:33.000 --> 00:01:36.600]  曾經有教會的領袖跟他的信眾說過
[00:01:36.600 --> 00:01:38.300]  耶穌會在某一天回來
[00:01:38.300 --> 00:01:40.200]  所以他們就約好了
[00:01:40.200 --> 00:01:42.000]  但是不知道為什麼
[00:01:42.000 --> 00:01:43.800]  他們就約好賣掉自己的財產
[00:01:43.800 --> 00:01:44.800]  賣掉所有的東西
[00:01:44.800 --> 00:01:48.600]  然後那天就穿著一件白色的衣服
[00:01:48.600 --> 00:01:50.400]  然後上到山頂
[00:01:50.400 --> 00:01:52.800]  因為白色的衣服代表聖潔
[00:01:52.800 --> 00:01:53.800]  在事路裡面
[00:01:53.800 --> 00:01:55.000]  上到山頂
[00:01:55.000 --> 00:01:56.600]  他們覺得快點見到耶穌
[00:01:56.600 --> 00:01:57.800]  可能比別人快一點
[00:01:57.800 --> 00:01:58.600]  高一點的山
[00:01:58.600 --> 00:02:00.400]  我們上到山上
