
[00:00:00.000 --> 00:00:03.180]  各位基發小學畢業的同學
[00:00:03.180 --> 00:00:07.040]  各位家長、老師、高校監、鄭校長
[00:00:07.040 --> 00:00:10.440]  以及在網上及在座的弟兄姊妹
[00:00:10.440 --> 00:00:11.720]  主內平安
[00:00:11.720 --> 00:00:16.640]  很開心我們能夠一起在此聽上帝的話語
[00:00:16.640 --> 00:00:18.640]  讓我們一起祈禱吧
[00:00:18.640 --> 00:00:20.980]  大主我們感謝、讚美祢
[00:00:20.980 --> 00:00:22.580]  多謝祢招聚我們
[00:00:22.580 --> 00:00:26.400]  讓我們今天的早晨可以在此聽祢的話語
[00:00:26.400 --> 00:00:28.660]  主聖靈願祢開啟我們的心
[00:00:28.660 --> 00:00:31.200]  一時間無論是聽的、說的
[00:00:31.200 --> 00:00:34.280]  願上帝祢的話語都成為我們生命的力量
[00:00:34.280 --> 00:00:37.540]  讓我們真正經歷人生真正的歡樂
[00:00:37.540 --> 00:00:38.480]  我們感謝主
[00:00:38.480 --> 00:00:39.880]  禱告奉靠主耶穌基督
[00:00:39.880 --> 00:00:41.260]  得勝明智祈求
[00:00:41.260 --> 00:00:42.180]  阿們
[00:00:42.180 --> 00:00:45.840]  今天是基發小學的畢業主日
[00:00:45.840 --> 00:00:48.340]  畢業是一件很開心的事
[00:00:48.340 --> 00:00:51.760]  代表著你已經完成了一個學習階段
[00:00:51.760 --> 00:00:56.280]  之後你將要進入中學繼續學習和成長
[00:00:56.280 --> 00:00:59.680]  雖然你們可能會戰戰兢兢
[00:00:59.680 --> 00:01:01.680]  要去新的環境
[00:01:01.680 --> 00:01:06.180]  但是新的學習和遇上新的老師、新的同學
[00:01:06.180 --> 00:01:08.180]  都是值得期待的事
[00:01:08.180 --> 00:01:11.420]  所以盼望今天我們藉著上帝的話語
[00:01:11.420 --> 00:01:14.940]  對你們生命帶來一些提醒和力量
[00:01:14.940 --> 00:01:17.280]  說到畢業禮
[00:01:17.280 --> 00:01:20.840]  我曾經出席過一個幼稚園的畢業禮
[00:01:20.840 --> 00:01:23.580]  很厲害的,知道幼稚園的畢業禮
[00:01:23.580 --> 00:01:25.760]  當音樂響起的時候
[00:01:25.760 --> 00:01:28.640]  幼稚園的畢業生就進場了
[00:01:28.640 --> 00:01:31.080]  家長見到小朋友就很開心
[00:01:31.080 --> 00:01:34.240]  立即舉起相機拍照
[00:01:34.240 --> 00:01:37.340]  所以場面都很歡樂、很開心
[00:01:37.340 --> 00:01:40.340]  接著就開始一連串的表演
[00:01:40.340 --> 00:01:44.840]  老師和同學對於那些表演預備了很久
[00:01:44.840 --> 00:01:49.840]  當然是發揮他們自己很好地去表演
[00:01:49.840 --> 00:01:51.940]  但是去到中途
[00:01:51.940 --> 00:01:53.480]  突然間
[00:01:53.480 --> 00:01:55.480]  音響沒有了
[00:01:55.480 --> 00:01:58.420]  嘩!那一刻小朋友馬上停下來
[00:01:58.420 --> 00:01:59.480]  不知如何是好
[00:01:59.480 --> 00:02:02.680]  老師和工作人員馬上很緊張
[00:02:02.680 --> 00:02:03.900]  五分鐘之後
[00:02:03.900 --> 00:02:06.940]  OK!那些音響就回來了
[00:02:06.940 --> 00:02:08.240]  但是沒多久
[00:02:08.240 --> 00:02:10.580]  那個音響又突然間沒有了
[00:02:10.580 --> 00:02:13.540]  原來那個音響在不知道什麼原因的時候
[00:02:13.540 --> 00:02:15.140]  過熱得太多
[00:02:15.140 --> 00:02:17.000]  所以弄了很久都不行
[00:02:17.000 --> 00:02:21.460]  被迫要用無線的抗音器去播放音樂
[00:02:21.460 --> 00:02:24.100]  讓小朋友繼續去表演
