
[00:00:00.000 --> 00:00:03.680]  我們中國人有一句話叫天人合一
[00:00:03.680 --> 00:00:06.480]  它是一種的哲學思想
[00:00:06.480 --> 00:00:11.880]  天就代表道、代表真理、代表法則
[00:00:11.880 --> 00:00:14.740]  天人合一就是說一個人
[00:00:14.740 --> 00:00:19.200]  他與先天本性相合、回歸大道
[00:00:19.200 --> 00:00:22.440]  天人合一不僅僅是一種思想
[00:00:22.440 --> 00:00:25.540]  而且它是一種的狀態
[00:00:25.540 --> 00:00:28.680]  天人合一可以說這個哲學
[00:00:28.680 --> 00:00:33.300]  已經構建了中華傳統文化的主體
[00:00:33.300 --> 00:00:36.800]  在儒家的序話傳裡面
[00:00:36.800 --> 00:00:38.380]  它有這樣一句話
[00:00:38.380 --> 00:00:41.880]  它說有天地然後有萬物
[00:00:41.880 --> 00:00:44.600]  有萬物然後有男女
[00:00:44.600 --> 00:00:48.100]  也就是說天之道是始萬物
[00:00:48.100 --> 00:00:50.540]  地之道是生萬物
[00:00:50.540 --> 00:00:53.680]  人之道是成萬物
[00:00:53.680 --> 00:00:55.840]  這三者是不可分割的
[00:00:55.840 --> 00:00:58.380]  它這樣說
[00:00:58.380 --> 00:01:01.300]  而儒家這個學說
[00:01:01.300 --> 00:01:07.000]  他又認為天是道德觀念和原則的本源
[00:01:07.000 --> 00:01:10.280]  人天生就具有道德的原則
[00:01:10.280 --> 00:01:12.240]  不知道大家認不認同
[00:01:12.240 --> 00:01:15.940]  這種天人合一就是一種自然的
[00:01:15.940 --> 00:01:19.700]  但是不自覺的一個合一
[00:01:19.700 --> 00:01:21.540]  可是由於人類
[00:01:21.540 --> 00:01:26.280]  我們後天受到各種的名利、慾望的蒙蔽
[00:01:26.280 --> 00:01:30.280]  不能發現自己心中的道德原則
[00:01:30.280 --> 00:01:31.940]  人類修行的目的
[00:01:31.940 --> 00:01:36.480]  就是為了去除外界的這些慾望的蒙蔽
[00:01:36.480 --> 00:01:38.040]  求其放心
[00:01:38.040 --> 00:01:42.940]  達到一種自覺的履行道德原則的境界
[00:01:42.940 --> 00:01:45.440]  這就是孔子所說的
[00:01:45.440 --> 00:01:49.240]  七時從心所欲而不欲鬼
[00:01:49.240 --> 00:01:52.880]  那儒家對這個天人合一的觀念
[00:01:52.880 --> 00:01:59.340]  我覺得它跟聖經裡面的教導不謀而合
[00:01:59.340 --> 00:02:00.840]  那為什麼這樣說呢?
[00:02:00.840 --> 00:02:03.640]  因為它的序括狀裡面說的
[00:02:03.640 --> 00:02:06.440]  有天地然後有萬物等等
[00:02:06.440 --> 00:02:08.180]  其實跟聖經所說
[00:02:08.180 --> 00:02:12.080]  起初神創造的時候很吻合
[00:02:12.080 --> 00:02:16.400]  聖經說起初神創造的一切都是美好的
[00:02:16.400 --> 00:02:20.440]  人與神與大自然和諧合一
[00:02:20.440 --> 00:02:22.880]  但是因為人後來犯罪了
[00:02:22.880 --> 00:02:27.280]  與神、與人、與大自然的關係也就受了破壞
[00:02:27.280 --> 00:02:30.940]  所以我們需要耶穌基督的拯救
[00:02:30.940 --> 00:02:37.240]  來回到上帝創造之初的天人合一的境界
[00:02:37.240 --> 00:02:40.680]  今天的經文主角尼西米
[00:02:40.680 --> 00:02:43.880]  我覺得他的生命也是充分的體現出
[00:02:43.880 --> 00:02:46.700]  天人合一的一種情操
[00:02:46.700 --> 00:02:47.480]  怎麼說呢?
[00:02:47.480 --> 00:02:49.600]  我們現在先看一下
[00:02:49.600 --> 00:02:52.900]  尼西米記的一些背景資料
[00:02:52.900 --> 00:02:56.140]  這個是以色列的一個簡史
[00:02:56.140 --> 00:02:59.540]  大約在主前的606年
[00:02:59.540 --> 00:03:05.040]  猶太人被巴比倫王彌布賈尼撒所擄
[00:03:05.040 --> 00:03:09.280]  從此他們就經歷了70年的被擄的生涯
[00:03:09.280 --> 00:03:14.500]  但是神按著他藉著耶利米所應許的
[00:03:14.500 --> 00:03:17.940]  在以色列人被擄70年之後
[00:03:17.940 --> 00:03:21.700]  上帝激動波斯王塞魯士的心
[00:03:21.700 --> 00:03:25.700]  讓猶太人可以重返祖國
[00:03:25.700 --> 00:03:28.640]  到了主前538年
[00:03:28.640 --> 00:03:33.100]  猶太人就第一次在索羅巴伯的帶領之下
[00:03:33.100 --> 00:03:35.940]  第一次返回了耶路撒冷
[00:03:35.940 --> 00:03:38.540]  然後在過了80年之後
[00:03:38.540 --> 00:03:46.440]  又由祭司兼文士以茲拉帶領人民第二次歸回
[00:03:46.440 --> 00:03:53.140]  13年之後就到了尼西米
[00:03:53.140 --> 00:03:58.140]  尼西米就率領了被擄之民第三次回歸故國
[00:03:58.140 --> 00:04:01.840]  大約就是在主前的445年
[00:04:01.840 --> 00:04:05.540]  今天這段經文所說的時代背景
[00:04:05.540 --> 00:04:09.440]  是尼西米在被擄之地波斯國
[00:04:09.440 --> 00:04:13.740]  他來當一個官 這個官叫九正
[00:04:13.740 --> 00:04:18.740]  當時是亞達薛西王遺世20年的祭司留月
[00:04:18.740 --> 00:04:24.740]  大概就是主前的446年的11到12月左右
[00:04:24.740 --> 00:04:29.340]  那個時候他還沒帶領第三次的回歸
[00:04:29.340 --> 00:04:34.440]  可是當時他的心一直是心繫故國
[00:04:34.440 --> 00:04:39.440]  現在我們就進去看一下尼西米的生命內涵
[00:04:39.440 --> 00:04:43.140]  為什麼說他的生命有種天人合一的情操呢?
[00:04:43.140 --> 00:04:45.940]  我們現在一起來看一下
[00:04:45.940 --> 00:04:51.340]  首先我們在經文裡面看到尼西米的家國情懷
[00:04:51.340 --> 00:04:57.040]  他有一種關懷故國感同身受的情操
[00:04:57.040 --> 00:04:59.440]  剛才那個經文說到
[00:04:59.440 --> 00:05:03.940]  當尼西米他知道一個弟兄哈拿尼和幾個人
[00:05:03.940 --> 00:05:08.040]  從故鄉猶大來到波斯的時候
[00:05:08.040 --> 00:05:15.440]  他就主動的去問他們那些被擄歸回剩下逃脫的猶大人
[00:05:15.440 --> 00:05:17.240]  和耶路撒冷的光景
[00:05:17.240 --> 00:05:21.240]  就是他老家的那些人民百姓的情況
[00:05:21.240 --> 00:05:26.640]  可見他是一直深深的關懷著國家人民
[00:05:26.640 --> 00:05:30.240]  當他知道同胞遭受大難
[00:05:30.240 --> 00:05:33.640]  故鄉的城牆也被拆
[00:05:33.640 --> 00:05:36.240]  城門被焚燒之後
[00:05:36.240 --> 00:05:38.440]  他有種切膚之痛
[00:05:38.440 --> 00:05:41.340]  他難過的坐下哭泣
[00:05:41.340 --> 00:05:42.840]  悲哀了幾天
[00:05:42.840 --> 00:05:48.340]  而且他為同胞來進食禱告
[00:05:48.340 --> 00:05:52.240]  他為同胞的事面帶愁容
[00:05:52.240 --> 00:05:57.840]  以至當時的波斯王亞達薛西王
[00:05:57.840 --> 00:06:00.540]  都能看出他心事重重
[00:06:00.540 --> 00:06:02.140]  所以當這個王弟問他
[00:06:02.140 --> 00:06:04.940]  你怎麼會面露愁容呢?
[00:06:04.940 --> 00:06:07.440]  他就為了同胞的苦況
[00:06:07.440 --> 00:06:10.240]  他甚至冒著極大的生命危險
[00:06:10.240 --> 00:06:12.440]  去向王求恩典
[00:06:12.440 --> 00:06:18.240]  讓他們可以回到猶大重建耶路撒冷的城牆
