
[00:00:00.000 --> 00:00:03.400]  大家知不知道今天和大家分享的課題
[00:00:03.400 --> 00:00:05.840]  按照經文一直到今天
[00:00:05.840 --> 00:00:08.160]  對我來說都挺不容易的
[00:00:08.160 --> 00:00:11.320]  今天要和大家講的這個題目
[00:00:11.320 --> 00:00:14.520]  就是去到這段經文
[00:00:14.520 --> 00:00:17.000]  不過我覺得又很有需要的
[00:00:17.000 --> 00:00:19.680]  一方面我們不應該skip任何的聖經
[00:00:19.680 --> 00:00:23.760]  另外一方面這個都是我們要一起學習的地方
[00:00:23.760 --> 00:00:28.480]  好,我想問一下大家一個尖銳一點的問題
[00:00:28.480 --> 00:00:31.880]  大家都知道什麼叫佔領中環的
[00:00:31.880 --> 00:00:35.160]  如果你有留意時事和消息的話
[00:00:35.160 --> 00:00:37.640]  好像大家沒有什麼反應
[00:00:37.640 --> 00:00:39.480]  你知道的,你知道會發生什麼事
[00:00:39.480 --> 00:00:40.560]  好,我想問一下你
[00:00:40.560 --> 00:00:43.160]  我想大家想一下自己
[00:00:43.160 --> 00:00:47.440]  個人的,你傾向贊成的
[00:00:47.440 --> 00:00:50.520]  第一,你傾向反對的
[00:00:50.520 --> 00:00:54.320]  第二,其實你沒有想得很清楚的
[00:00:54.320 --> 00:00:57.640]  第三,不知道有沒有第四個選擇
[00:00:57.640 --> 00:01:02.080]  你想一想,我想看看大家有沒有什麼趨向
[00:01:02.080 --> 00:01:05.560]  好,對這個這麼熱的課題
[00:01:05.560 --> 00:01:07.480]  在社會上的議題
[00:01:07.480 --> 00:01:09.240]  佔領中環的這個課題
[00:01:09.240 --> 00:01:11.400]  好,你傾向贊成的
[00:01:11.400 --> 00:01:12.480]  你不得理別人了
[00:01:12.480 --> 00:01:14.080]  你覺得你是這樣,你就舉手
[00:01:14.080 --> 00:01:15.680]  你傾向贊成的
[00:01:15.680 --> 00:01:17.160]  好,有...
[00:01:17.160 --> 00:01:19.600]  不需要比較的,OK,大概看得到
[00:01:19.600 --> 00:01:23.400]  好,傾向反對的
[00:01:23.400 --> 00:01:26.040]  OK,多一點按腳
[00:01:26.040 --> 00:01:30.120]  好,其實你覺得自己沒有想清楚的
[00:01:30.120 --> 00:01:32.320]  最多這個
[00:01:32.320 --> 00:01:35.000]  啊,真是的
[00:01:35.000 --> 00:01:39.120]  好,因為要教書嘛
[00:01:39.120 --> 00:01:41.440]  所以我就...
[00:01:41.440 --> 00:01:43.440]  還有第四個是什麼?
[00:01:43.440 --> 00:01:52.680]  這個才是贊成來的
[00:01:52.680 --> 00:01:53.920]  在我心目中的定義就是
[00:01:53.920 --> 00:01:58.560]  傾向贊成,不過你就不一定要行動或者很多的
[00:01:58.560 --> 00:02:02.000]  我就歸它是贊成那邊多一點的
[00:02:02.000 --> 00:02:04.720]  不過當然都有一個程度上的差異
[00:02:04.720 --> 00:02:08.960]  我試過因為要教書,又看很多書
[00:02:08.960 --> 00:02:11.520]  又去上一些課程
[00:02:11.520 --> 00:02:15.840]  其中有一幕是我覺得很深刻的
[00:02:15.840 --> 00:02:20.920]  有一幕,就是應該是建築學院搞的
[00:02:20.920 --> 00:02:22.880]  給教務同工的,所以是教務同工去的
[00:02:22.880 --> 00:02:24.280]  星期一上午
[00:02:24.280 --> 00:02:27.640]  他邀請了兩個人來講話
[00:02:27.640 --> 00:02:30.880]  第一個,就是佔中三次之一,戴耀廷
[00:02:30.880 --> 00:02:34.080]  很多人認識他,他現在已經很出名了
[00:02:34.080 --> 00:02:36.120]  第二個,也很出名的
[00:02:36.120 --> 00:02:39.320]  就是吳忠文牧師
[00:02:39.320 --> 00:02:42.480]  如果你認識的話,你知道一個就是發起人
[00:02:42.480 --> 00:02:44.680]  一個就是很反對的
[00:02:44.680 --> 00:02:48.880]  兩個人在同台上,大家一起講自己的理解、見解
[00:02:48.880 --> 00:02:52.080]  然後大家互相對話
[00:02:52.080 --> 00:02:54.680]  台下有人可以發文,這樣的氣氛來的
[00:02:54.680 --> 00:02:56.640]  一個上午就這樣過去了,兩個人講話
[00:02:56.640 --> 00:02:59.040]  你猜會怎樣呢?
[00:02:59.040 --> 00:03:01.560]  那就去吧,很多教務同工坐在那裡
[00:03:01.560 --> 00:03:04.240]  幾百人,在北學宣道會
[00:03:04.240 --> 00:03:09.880]  當然大家一邊聽一邊給意見
[00:03:09.880 --> 00:03:13.080]  大家都看了不同的看法
[00:03:13.080 --> 00:03:16.440]  不過我覺得另外比較感動的地方是甚麼呢?
[00:03:16.440 --> 00:03:21.080]  去到最後,其實大家都沒有因為對方的發言
[00:03:21.080 --> 00:03:22.960]  而改變自己的看法
[00:03:22.960 --> 00:03:25.480]  不過有幾個對話挺特別的
[00:03:25.480 --> 00:03:29.760]  大家就說,其實因為吳牧師
[00:03:29.760 --> 00:03:33.680]  是屬於播道會廣福堂的主任牧師
[00:03:33.680 --> 00:03:36.480]  但是很多人就不太知道戴耀廷
[00:03:36.480 --> 00:03:38.640]  知道他是基督徒,但不知道他在哪間教會
[00:03:38.640 --> 00:03:41.040]  又不知道他甚麼,這方面的背景
[00:03:41.040 --> 00:03:44.400]  所以有人問他,其實戴教授,你是哪間教會的?
[00:03:44.400 --> 00:03:46.400]  你是怎樣的?問他吧
[00:03:46.400 --> 00:03:50.080]  他說他很開心,很榮幸
[00:03:50.080 --> 00:03:54.160]  他可以跟一位播道會的主任牧師一起同台講話
[00:03:54.160 --> 00:03:56.120]  他說他自己也是播道會的
[00:03:56.120 --> 00:04:00.320]  他是恩福堂的其中一個會友
[00:04:00.320 --> 00:04:03.120]  他說很開心,以一個信徒的身份
[00:04:03.120 --> 00:04:05.680]  跟一位主任牧師在這裡對話
[00:04:05.680 --> 00:04:08.640]  就著信仰,就著香港的政治議題
[00:04:08.640 --> 00:04:10.160]  在這裡分享和對話
[00:04:10.160 --> 00:04:12.000]  雖然大家的看法很不同
[00:04:12.000 --> 00:04:15.120]  不過可以這樣分享是很難得的
[00:04:15.120 --> 00:04:19.880]  好了,完了之後,到大家總結的時候
[00:04:19.880 --> 00:04:23.640]  我覺得吳牧師給我一個很好的印象
[00:04:23.640 --> 00:04:27.240]  他站起來說,其實我看你的書看了很多
[00:04:27.240 --> 00:04:28.800]  看你寫的文章也看了很多
[00:04:28.800 --> 00:04:30.840]  但我是第一次見你的面
[00:04:30.840 --> 00:04:35.360]  見你親人面,跟你聊天,公開對話
[00:04:35.360 --> 00:04:37.880]  他說,既然跟你見面之後,我會做一件事
[00:04:37.880 --> 00:04:40.160]  他說,雖然我們的看法很不同
[00:04:40.160 --> 00:04:43.560]  我們的意見有很大差異
[00:04:43.560 --> 00:04:44.960]  不過我想說一件事
[00:04:44.960 --> 00:04:51.240]  他說,如果有人出來詆毀你的人格
[00:04:51.240 --> 00:04:55.400]  誣衊你的話,我會第一個站起來捍衛你的
[00:04:55.400 --> 00:04:59.240]  捍衛你的人格,捍衛你的聲譽
[00:04:59.240 --> 00:05:00.920]  雖然我們的意見很不同
[00:05:00.920 --> 00:05:03.400]  我聽這個,我覺得很安慰
[00:05:03.400 --> 00:05:05.280]  台下這樣聽,我覺得
[00:05:05.280 --> 00:05:07.360]  我不是一個很容易做決定的人
[00:05:07.360 --> 00:05:09.320]  我覺得,真是很好
[00:05:09.320 --> 00:05:12.760]  大家在主角裡面,雖然看法可以很不同
