
[00:00:00.000 --> 00:00:04.500]  先解釋一下這個講題
[00:00:04.500 --> 00:00:12.240]  雖然馬太福音比較多用天國這個字
[00:00:12.240 --> 00:00:16.000]  但同樣或同一段經文在其他福音書
[00:00:16.000 --> 00:00:22.040]  馬可或路加會用神的國
[00:00:22.040 --> 00:00:25.080]  我認為天國就是神的國
[00:00:25.080 --> 00:00:27.680]  可以交替使用
[00:00:27.680 --> 00:00:31.520]  因為馬太福音是寫給猶太人看的
[00:00:31.520 --> 00:00:34.280]  有時他會用神的國
[00:00:34.280 --> 00:00:37.320]  但很多時候都是用天國
[00:00:37.320 --> 00:00:40.040]  是為了尊敬
[00:00:40.040 --> 00:00:43.800]  把神這個字用天代替
[00:00:43.800 --> 00:00:47.920]  有點像中文的避諱
[00:00:47.920 --> 00:00:51.280]  如果皇帝的名字有這個字
[00:00:51.280 --> 00:00:54.200]  如果你想改名就不要用這個字
[00:00:54.200 --> 00:00:57.720]  有時用同音但用不同的字
[00:00:57.720 --> 00:01:02.920]  或者有些長輩用這個字
[00:01:02.920 --> 00:01:04.800]  我們就避一避
[00:01:04.800 --> 00:01:06.440]  有少少這個意思
[00:01:06.440 --> 00:01:09.680]  所以馬太福音很多時候是用天國
[00:01:09.680 --> 00:01:14.440]  其實天國就是神的國
[00:01:14.440 --> 00:01:17.120]  還有大概十天就是過農曆年
[00:01:17.120 --> 00:01:19.040]  馬年
[00:01:19.040 --> 00:01:23.200]  新年期間由小到大父母要教導
[00:01:23.200 --> 00:01:26.160]  要講吉利的話
[00:01:26.160 --> 00:01:30.160]  有些吉利話跟我們信仰沒有衝突
[00:01:30.160 --> 00:01:33.480]  我覺得無所謂可以用
[00:01:33.480 --> 00:01:36.320]  譬如龍馬精神
[00:01:36.320 --> 00:01:38.520]  笑口常開
[00:01:38.520 --> 00:01:41.680]  跟信仰沒有衝突無所謂可以講
[00:01:41.680 --> 00:01:44.000]  不過有些就要避免
[00:01:44.000 --> 00:01:48.320]  例如橫財就守
[00:01:48.320 --> 00:01:52.960]  橫財不是很正當
[00:01:52.960 --> 00:01:54.120]  那些就不要講了
[00:01:54.120 --> 00:01:57.160]  或者是鴻運當頭
[00:01:57.160 --> 00:01:59.280]  因為我們不相信運氣
[00:01:59.280 --> 00:02:00.760]  一切都在神的手中
[00:02:00.760 --> 00:02:03.120]  沒有偶然發生的運氣
[00:02:03.120 --> 00:02:06.600]  所以那些我們可以少些或者避免講
[00:02:06.600 --> 00:02:11.560]  跟信仰就沒有問題
[00:02:11.560 --> 00:02:14.680]  新年期間有些顧忌
[00:02:14.680 --> 00:02:18.280]  譬如新年的時候不要講「死」字
[00:02:18.280 --> 00:02:20.520]  不要講「輸」
[00:02:20.520 --> 00:02:23.360]  有些人賭錢輸就不要了
[00:02:23.360 --> 00:02:26.240]  甚至不要講「空」
[00:02:26.240 --> 00:02:28.880]  或者是你要租一間屋
[00:02:28.880 --> 00:02:30.480]  不叫「空屋出租」
[00:02:30.480 --> 00:02:32.040]  叫「吉屋出租」
[00:02:32.040 --> 00:02:33.840]  香港才有這些東西
[00:02:33.840 --> 00:02:36.040]  或者「吉樓交吉」
[00:02:36.040 --> 00:02:38.160]  不是交「空」
[00:02:38.160 --> 00:02:41.320]  其實怕什麼?
[00:02:41.320 --> 00:02:43.080]  我們說避開這些不要講
[00:02:43.080 --> 00:02:44.760]  新年期間不要講這些
[00:02:44.760 --> 00:02:48.040]  是怕什麼呢?
[00:02:48.040 --> 00:02:50.920]  很多人其實心裏是怕得罪別人
[00:02:50.920 --> 00:02:53.840]  這個我個人是會的
[00:02:53.840 --> 00:02:57.080]  或者是連累別人
[00:02:57.080 --> 00:03:01.560]  或者是別人真的遇到一些不順利的事
[00:03:01.560 --> 00:03:03.440]  就怪你
[00:03:03.440 --> 00:03:05.400]  就怕這些
[00:03:05.400 --> 00:03:10.280]  而有可能其實是怕鬼
[00:03:10.280 --> 00:03:12.360]  怕一些靈界的事情
[00:03:12.360 --> 00:03:14.880]  因為一些民間的習俗等等
[00:03:14.880 --> 00:03:17.280]  我希望今天講完之後
[00:03:17.280 --> 00:03:18.720]  心裏面比較安心一點
[00:03:18.720 --> 00:03:20.160]  不要怕
[00:03:20.160 --> 00:03:24.600]  過年期間不要害怕
[00:03:24.600 --> 00:03:26.640]  當然講話我們小心一點
[00:03:26.640 --> 00:03:28.240]  不要得罪別人
[00:03:28.240 --> 00:03:30.440]  或者不要令別人心不安樂
[00:03:30.440 --> 00:03:32.600]  但我們自己起碼心裏面
[00:03:32.600 --> 00:03:37.040]  是沒有一些這樣的顧忌
[00:03:37.040 --> 00:03:41.000]  從經文裏面我們看到有幾方面
[00:03:41.000 --> 00:03:46.120]  第一就是耶穌醫治這個被鬼附的人
[00:03:46.120 --> 00:03:48.960]  看見他受攻擊
[00:03:48.960 --> 00:03:52.480]  就引起很多毛病
[00:03:52.480 --> 00:03:55.160]  耶穌當年除了傳講神的道
[00:03:55.160 --> 00:03:57.720]  勸人認罪悔改
[00:03:57.720 --> 00:03:58.960]  歸向真神
[00:03:58.960 --> 00:04:02.760]  也同時醫病趕鬼
[00:04:02.760 --> 00:04:03.960]  剛才我們所讀的經文
