
[00:00:00.000 --> 00:00:02.540]  希伯來書的作者對舊約很熟悉
[00:00:02.540 --> 00:00:05.000]  因為他要寫這封信給一班猶太人
[00:00:05.000 --> 00:00:09.380]  他必須對舊約很融會貫通地了解
[00:00:09.380 --> 00:00:10.160]  所以他發覺
[00:00:10.160 --> 00:00:13.000]  如果希伯來書真的要很深入地研究
[00:00:13.000 --> 00:00:14.620]  我們必須對舊約
[00:00:14.620 --> 00:00:16.340]  差不多整卷舊約
[00:00:16.340 --> 00:00:19.080]  都有一些很基本的了解
[00:00:19.080 --> 00:00:20.380]  無論是《摩西五經》也好
[00:00:20.380 --> 00:00:21.300]  《詩篇》也好
[00:00:21.300 --> 00:00:23.460]  甚至是《先知書》也好
[00:00:23.460 --> 00:00:25.300]  因為他真的對整部舊約
[00:00:25.300 --> 00:00:28.000]  可以說是放在他的心靈當中
[00:00:28.000 --> 00:00:29.540]  同樣他作為一個新約的人
[00:00:29.540 --> 00:00:33.120]  他對耶穌基督的認識也是非常清晰
[00:00:33.120 --> 00:00:35.460]  所以當他了解認識耶穌基督
[00:00:35.460 --> 00:00:37.660]  亦都了解認識這個舊約的時候
[00:00:37.660 --> 00:00:40.000]  他就作了一個很重要的比較
[00:00:40.000 --> 00:00:44.540]  他就說耶穌基督絕對是比一切舊約的東西
[00:00:44.540 --> 00:00:45.880]  都是超越的
[00:00:45.880 --> 00:00:48.460]  所以他說耶穌基督所得到的啟示
[00:00:48.460 --> 00:00:51.420]  是超越眾先知的啟示
[00:00:51.420 --> 00:00:53.420]  耶穌基督超越天使
[00:00:53.420 --> 00:00:56.000]  耶穌基督超越很多人眼中
[00:00:56.000 --> 00:00:58.260]  以色列百姓的人的眼中
[00:00:58.260 --> 00:01:02.040]  甚至是我們眼中很被尊重的人物
[00:01:02.040 --> 00:01:06.120]  但作者說耶穌基督絕對是超越阿伯一項
[00:01:06.120 --> 00:01:08.040]  超越摩西 超越約書亞
[00:01:08.040 --> 00:01:10.420]  甚至過去幾個星期我們說到那裡
[00:01:10.420 --> 00:01:15.340]  我們看到耶穌基督同樣超越大祭司
[00:01:15.340 --> 00:01:18.080]  因為耶穌基督作為大祭司
[00:01:18.080 --> 00:01:21.840]  他不是在一個亞倫的等詞裡面
[00:01:21.840 --> 00:01:24.620]  耶穌作為一個猶大支柏的人
[00:01:24.620 --> 00:01:26.920]  他反而不是一個利未支柏的人
[00:01:26.920 --> 00:01:29.800]  他卻成為一個大祭司
[00:01:29.800 --> 00:01:33.620]  是因為神讓他藉著默基釋德的等詞
[00:01:33.620 --> 00:01:35.540]  成為了一個大祭司
[00:01:35.540 --> 00:01:39.460]  甚至他比默基釋德更加的超越
[00:01:39.460 --> 00:01:40.880]  超越這個字的原文
[00:01:40.880 --> 00:01:44.040]  和在希伯來書裡邊後面所說的更美
[00:01:44.040 --> 00:01:45.660]  其實是同一個字
[00:01:45.660 --> 00:01:47.040]  所以換言之
[00:01:47.040 --> 00:01:50.800]  耶穌基督是比舊約的先知更美
[00:01:50.800 --> 00:01:52.260]  比天使更美
[00:01:52.260 --> 00:01:54.380]  比很多的人更加美麗
[00:01:54.380 --> 00:01:57.580]  到了今天我們看到新約的敬拜
[00:01:57.580 --> 00:02:01.220]  是比舊約的敬拜更加的美麗
[00:02:01.220 --> 00:02:03.500]  這個作者到了第九章第一節
[00:02:03.500 --> 00:02:04.880]  他忽然間說了一句話
[00:02:04.880 --> 00:02:09.720]  他說:原來前約有禮拜的條例
[00:02:09.720 --> 00:02:12.460]  和屬世界的聖莫
[00:02:12.460 --> 00:02:14.380]  這句聖經在PowerPoint上有的
[00:02:14.380 --> 00:02:16.960]  就是原來前約有禮拜的條例
[00:02:16.960 --> 00:02:18.840]  和屬世界的聖莫
[00:02:18.840 --> 00:02:20.620]  而英文是這麼說的
[00:02:20.620 --> 00:02:26.540]  他說:現在前約有禮拜的條例
[00:02:26.540 --> 00:02:31.080]  就是說英文NIV這個國際新頁本
[00:02:31.080 --> 00:02:32.120]  這個國際新頁本
[00:02:32.120 --> 00:02:33.660]  或者新國際頁本
[00:02:33.660 --> 00:02:35.700]  他翻譯這個「worship」這個字
[00:02:35.700 --> 00:02:37.960]  在我們中文聖經的和合本
[00:02:37.960 --> 00:02:40.260]  是翻譯成「禮拜」
[00:02:40.260 --> 00:02:41.620]  當然我們會覺得
[00:02:41.620 --> 00:02:43.460]  為什麼會翻譯成「禮拜」呢?
