
[00:00:00.000 --> 00:00:03.620]  菩提神保佑我們在聆聽主的說話以外
[00:00:03.620 --> 00:00:05.420]  一起同心低頭祈禱
[00:00:05.420 --> 00:00:14.980]  父神多謝祢讓我們能夠在這個復活節的日子
[00:00:14.980 --> 00:00:17.180]  一同去思想
[00:00:17.180 --> 00:00:21.840]  並且歌頌讚美我們在這個德性的位份上
[00:00:21.840 --> 00:00:23.640]  能夠站穩著腳
[00:00:25.060 --> 00:00:31.100]  因著祢的愛子耶穌基督所奠定的基礎
[00:00:31.100 --> 00:00:35.380]  讓我們在今天活在這個地上
[00:00:35.380 --> 00:00:43.460]  從來不擔憂我們會死在罪惡禍犯的當中
[00:00:43.460 --> 00:00:53.500]  但卻是讓我們向罪惡獻上我們的力量去掙扎下去
[00:00:53.500 --> 00:00:57.100]  讓我們不會陷在罪惡的當中
[00:00:57.100 --> 00:01:01.160]  藉此見證我們屬神祢的子民
[00:01:01.160 --> 00:01:03.360]  求祢的幫助帶領
[00:01:03.360 --> 00:01:07.120]  無論是先上還是先下的每一個
[00:01:07.120 --> 00:01:11.040]  我們都祈求主祢的靈與我們同在
[00:01:11.040 --> 00:01:15.000]  誘導我們去明白祢的啟示
[00:01:15.000 --> 00:01:20.540]  和上主祢拯救的那份意願
[00:01:20.540 --> 00:01:25.400]  觸動我們每一個來更毀身在祢當中
[00:01:25.400 --> 00:01:29.100]  禱告奉靠主耶穌基督德性的名字
[00:01:29.100 --> 00:01:30.460]  阿們
[00:01:30.460 --> 00:01:38.580]  天主教的教徒在復活節或者受難節這段時間過節
[00:01:38.580 --> 00:01:47.260]  很多基督教教徒又在這個受難節和復活節的時候又過節
[00:01:47.260 --> 00:01:53.520]  甚至連猶太人都在這個時間
[00:01:53.520 --> 00:01:58.940]  同時過一個他們稱之為愉悅節的節期
[00:01:58.940 --> 00:02:02.860]  個個都在慶祝
[00:02:02.860 --> 00:02:05.900]  個個都有一些宗教活動
[00:02:05.900 --> 00:02:12.160]  但是似乎他們每一個的主子卻有點不同
[00:02:12.160 --> 00:02:20.740]  譬如天主教會在這段時間很多時候都放在耶穌基督受苦的現象
[00:02:20.740 --> 00:02:27.020]  所以你會見到不少的國家以天主教為背景所建立
[00:02:27.020 --> 00:02:32.960]  他們都會在這段時間做出一些譬如抬十字架在街
[00:02:32.960 --> 00:02:38.600]  或者找一些信徒扮耶穌然後被人真的去鞭傷
[00:02:38.600 --> 00:02:43.720]  天主教很主動去做這些事
[00:02:43.720 --> 00:02:46.120]  為何他要做這些事呢?
[00:02:46.120 --> 00:02:49.800]  因為畫面夠震撼性
[00:02:49.800 --> 00:02:57.040]  越震撼你就覺得你的宗教感就會同時被挑旺起來
[00:02:57.040 --> 00:03:06.040]  所以宗教在這些層面上其實是在操弄人的感情和感性
[00:03:06.040 --> 00:03:13.080]  當你以為你的感情被挑動、靈性好像已經更加貼近上帝的時候
[00:03:13.080 --> 00:03:23.800]  其實你反而是更遠離開上帝原本在這個節期本身復活節所做的目的
[00:03:23.800 --> 00:03:26.360]  猶太人又如何呢?
[00:03:26.360 --> 00:03:35.080]  猶太人就將整個的焦點放在從迫害以至於解放這個焦點的上面
[00:03:35.080 --> 00:03:39.120]  所以猶太人很多時候在這個如月節的日子
[00:03:39.120 --> 00:03:47.400]  同時都去介紹他們如何脫離捆綁而得到上帝的應許
[00:03:47.400 --> 00:03:52.840]  這種只是尋求應許解脫的思維
[00:03:52.840 --> 00:03:57.000]  也很多時候流傳在基督教會之間
[00:03:57.000 --> 00:04:01.480]  我講到這裡不妨我們也講一下基督教會
[00:04:01.480 --> 00:04:05.800]  基督教會就更加變本加厲
[00:04:05.800 --> 00:04:10.760]  進入一種叫武枉管、胡作非為的狀態
[00:04:10.760 --> 00:04:14.200]  環顧在過去這幾十年的裡面
[00:04:14.200 --> 00:04:21.160]  我看見教會絕多數在復活節或者壽苦節、節期這段時間
[00:04:21.160 --> 00:04:26.280]  就成為他們大搞福音演唱會的機會了
[00:04:26.280 --> 00:04:35.800]  很多詩歌分享、默想會、或者有些演唱會做出來的話劇
[00:04:35.800 --> 00:04:43.480]  名義上好像說是一種默想或者甚至叫做報道的機會
[00:04:43.480 --> 00:04:52.040]  但是其實只是包裝著教會根本也拿捏不了復活節本身的核心
[00:04:52.040 --> 00:04:59.240]  講到這裡究竟聖經裡面在這個每年三月與四月之間的時段
[00:04:59.240 --> 00:05:08.120]  究竟應該要向一個什麼焦點而去進發或者去再重新提醒呢?
[00:05:08.120 --> 00:05:11.880]  這個就是今天我想和大家一起去看這段
[00:05:11.880 --> 00:05:17.080]  在聖經當中極難解釋的其中一段經文
[00:05:17.080 --> 00:05:23.880]  也是今天我們這個復活節的主日崇拜裡面的講道
[00:05:23.880 --> 00:05:31.240]  就是哥林多前書第十五章第五十至五十八節
[00:05:31.240 --> 00:05:36.760]  我給了一個題目它叫做「驕人傳言改變的復活主」
[00:05:36.760 --> 00:05:41.080]  我們的焦點其實要學習認識這位的復活主
[00:05:41.080 --> 00:05:45.320]  怎樣改變我們然後下一步我們怎樣去做
[00:05:45.320 --> 00:05:48.520]  讓我們再次回到這段聖經的內文
[00:05:48.520 --> 00:05:52.280]  更加清楚經文想講些什麼
[00:05:52.280 --> 00:05:55.880]  然後重拾復活節的主旨是些什麼
[00:05:55.880 --> 00:06:01.880]  請大家一起打開哥林多前書第十五章
[00:06:01.880 --> 00:06:05.800]  從第五十至到第五十八節
[00:06:05.800 --> 00:06:08.760]  請大家打開之後我們一起讀
[00:06:08.760 --> 00:06:11.560]  好,我們一起讀
[00:06:11.560 --> 00:06:15.400]  弟兄們我告訴你們說
[00:06:15.400 --> 00:06:19.240]  血肉之體不能承受神的國
[00:06:19.240 --> 00:06:23.400]  必扭壞的不能承受不扭壞的
[00:06:23.400 --> 00:06:28.200]  我如今把一件奧秘的事告訴你們
[00:06:28.200 --> 00:06:31.560]  我們不是都要睡覺
[00:06:31.560 --> 00:06:34.360]  乃是都要改變
[00:06:34.360 --> 00:06:36.600]  就在一剎時
[00:06:36.600 --> 00:06:41.800]  斬眼之間號筒末次吹響的時候
[00:06:41.800 --> 00:06:44.040]  因號筒要響
[00:06:44.040 --> 00:06:47.560]  死人要復活成為不扭壞的
[00:06:47.560 --> 00:06:49.960]  我們也要改變
[00:06:49.960 --> 00:06:53.640]  這必扭壞的總要變成不扭壞的
[00:06:53.640 --> 00:06:57.240]  這必死的總要變成不死的
[00:06:57.240 --> 00:07:01.080]  這必扭壞的既變成不扭壞的
[00:07:01.080 --> 00:07:04.200]  這必死的既變成不死的
[00:07:04.200 --> 00:07:06.760]  那時經上所記
[00:07:06.760 --> 00:07:11.240]  死被德性吞滅的話就應驗了
[00:07:11.240 --> 00:07:15.240]  死呀,你德性的權勢在哪裡
[00:07:15.240 --> 00:07:18.520]  死呀,你的毒鉤在哪裡
[00:07:18.520 --> 00:07:21.000]  死的毒鉤就是罪
[00:07:21.000 --> 00:07:23.640]  罪的權勢就是律法
[00:07:23.640 --> 00:07:29.560]  感謝神使我們借助我們的主耶穌基督德性
[00:07:29.560 --> 00:07:32.680]  所以我親愛的弟兄們
[00:07:32.680 --> 00:07:35.400]  你們務要堅固
[00:07:35.400 --> 00:07:37.400]  不可搖動
[00:07:37.400 --> 00:07:40.360]  常常竭力多做主公
[00:07:40.360 --> 00:07:46.760]  因為知道你們的奴婦在主裡面不是徒然的
