
[00:00:00.000 --> 00:00:03.820]  今天很開心能夠跟大家一起敬拜神
[00:00:03.820 --> 00:00:07.160]  無論你在實體或者網上
[00:00:07.160 --> 00:00:09.400]  我都覺得很寶貴
[00:00:09.400 --> 00:00:14.920]  我自己做牧師就發現
[00:00:14.920 --> 00:00:19.040]  牧師不能夠只是識聖經
[00:00:19.040 --> 00:00:21.640]  都要認識這個世界
[00:00:21.640 --> 00:00:24.360]  因爲我牧養的信徒
[00:00:24.360 --> 00:00:27.520]  每一天在這個世界生活
[00:00:27.520 --> 00:00:32.080]  都面對很多不同的情況
[00:00:32.080 --> 00:00:35.920]  譬如地緣政治
[00:00:35.920 --> 00:00:40.160]  譬如人工智能
[00:00:40.160 --> 00:00:43.720]  譬如投資理財
[00:00:43.720 --> 00:00:46.800]  或者是文化藝術
[00:00:46.800 --> 00:00:49.160]  如果我不懂這些
[00:00:49.160 --> 00:00:52.680]  我就不能夠好好地牧養他們
[00:00:52.680 --> 00:00:55.240]  很多年來都有信徒跟我說
[00:00:55.240 --> 00:00:57.800]  牧師我應該如何投資
[00:00:57.800 --> 00:01:01.800]  以致我可以保障自己的退休生活
[00:01:01.800 --> 00:01:04.040]  最近也有信徒跟我說
[00:01:04.040 --> 00:01:05.880]  牧師這個AI
[00:01:05.880 --> 00:01:08.800]  Artificial Intelligence
[00:01:08.800 --> 00:01:10.000]  人工智能
[00:01:10.000 --> 00:01:12.280]  究竟基督徒應該怎麼看
[00:01:12.280 --> 00:01:14.600]  應該怎麼用
[00:01:14.600 --> 00:01:17.800]  今天我要跟大家講一個
[00:01:17.800 --> 00:01:20.000]  同樣實際的問題
[00:01:20.000 --> 00:01:24.480]  就是如何投資得利
[00:01:24.480 --> 00:01:26.880]  即是說錢
[00:01:26.880 --> 00:01:31.640]  你說牧師說錢就失感情
[00:01:31.640 --> 00:01:34.000]  而且是不屬靈
[00:01:34.000 --> 00:01:35.520]  但是你知不知道
[00:01:35.520 --> 00:01:38.400]  耶穌是上上說錢的
[00:01:38.400 --> 00:01:42.600]  耶穌說地獄就多於說天堂
[00:01:42.600 --> 00:01:47.280]  耶穌說錢就多於說地獄和天堂加起來
[00:01:47.280 --> 00:01:49.600]  如果你數聖經
[00:01:49.600 --> 00:01:52.520]  究竟聖經說祈禱說了多少次呢
[00:01:52.520 --> 00:01:54.400]  說五百次
[00:01:54.400 --> 00:01:56.080]  聖經說錢呢
[00:01:56.080 --> 00:01:58.200]  你知不知道多少次
[00:01:58.200 --> 00:02:01.320]  二千五百次
[00:02:01.320 --> 00:02:04.400]  爲什麼上帝這麼說錢
[00:02:04.400 --> 00:02:07.840]  因爲上帝知道你的錢在哪裏
[00:02:07.840 --> 00:02:10.000]  你的心就在哪裏
[00:02:10.000 --> 00:02:11.920]  上帝不是貪你的錢
[00:02:11.920 --> 00:02:14.760]  上帝是想念你的心
[00:02:14.760 --> 00:02:15.880]  聖經有一句話
[00:02:15.880 --> 00:02:19.840]  我兒子將心歸我
[00:02:19.840 --> 00:02:24.120]  上帝要你將心歸給他
[00:02:24.120 --> 00:02:26.440]  的確錢是很重要的
[00:02:26.440 --> 00:02:31.200]  有人說錢是最有效的護照
[00:02:31.200 --> 00:02:33.760]  可以帶你去任何地方
[00:02:33.760 --> 00:02:36.320]  除了天堂
[00:02:36.320 --> 00:02:39.520]  錢可以爲你買來任何東西
[00:02:39.520 --> 00:02:41.080]  除了快樂
[00:02:41.080 --> 00:02:42.520]  但是今天我說的題目
[00:02:42.520 --> 00:02:44.760]  耶穌教你如何投資
[00:02:44.760 --> 00:02:47.360]  是可以帶你上到天堂
[00:02:47.360 --> 00:02:49.960]  又叫你得到快樂
[00:02:49.960 --> 00:02:54.080]  而且今生來世都有福氣
[00:02:54.080 --> 00:02:57.600]  有時候牧師說到叫你奉獻
[00:02:57.600 --> 00:03:02.160]  有時候堂會的牧師就不容易
[00:03:02.160 --> 00:03:06.000]  有時候或者不是那麼自然地說
[00:03:06.000 --> 00:03:07.360]  今天就不是
