
[00:00:00.000 --> 00:00:04.320]  我們有信心與上帝同行
[00:00:04.320 --> 00:00:07.680]  又能夠將我們的信心表達出來
[00:00:07.680 --> 00:00:11.320]  在人的面前我們有機會
[00:00:11.320 --> 00:00:15.880]  揭曉這個美好的福音的時候
[00:00:15.880 --> 00:00:21.080]  那這個也是上帝很喜悅的事情
[00:00:21.080 --> 00:00:25.320]  所以今天我們大的題目就是說
[00:00:25.320 --> 00:00:28.100]  怎麼樣我們成為一個上帝喜悅的人
[00:00:30.000 --> 00:00:32.940]  上個星期就說你一定要有那個心性
[00:00:32.940 --> 00:00:35.720]  第二呢 今天我們就講
[00:00:35.720 --> 00:00:38.840]  我們 如果我們成為一個
[00:00:38.840 --> 00:00:41.920]  帶領人家認識上帝的人
[00:00:41.920 --> 00:00:45.640]  上帝就會很喜悅很開心
[00:00:45.640 --> 00:00:48.540]  不知道你有沒有這個經驗
[00:00:48.540 --> 00:00:52.480]  小時候也好 現在也好
[00:00:52.480 --> 00:00:56.940]  如果呢 你能夠得到你爸爸媽媽的喜悅
[00:00:56.940 --> 00:00:59.660]  得到你老師的喜悅的話
[00:00:59.660 --> 00:01:02.660]  那你會很開心 對不對
[00:01:02.660 --> 00:01:04.860]  譬如說你上學的時候
[00:01:04.860 --> 00:01:07.900]  那個老師那個教授什麼的
[00:01:07.900 --> 00:01:10.940]  他就過來叫你 你的功課做得好
[00:01:10.940 --> 00:01:13.980]  你的paper寫得正好 你的論文寫得正好
[00:01:13.980 --> 00:01:17.000]  譬如說你在做事的話
[00:01:17.000 --> 00:01:20.000]  你的老闆他過來
[00:01:20.000 --> 00:01:22.800]  你的project做得真的好
[00:01:22.800 --> 00:01:25.540]  你會特別的開心 對不對
[00:01:25.540 --> 00:01:28.540]  我還記得我在tennessee念書的時候
[00:01:28.540 --> 00:01:31.300]  因為呢 我是
[00:01:31.300 --> 00:01:34.260]  在那個學校裡面我是打工的
[00:01:34.260 --> 00:01:37.260]  怎麼打工呢 我就在外面
[00:01:37.260 --> 00:01:40.040]  你知道在那個美國的東部
[00:01:40.040 --> 00:01:42.900]  東南部 tennessee
[00:01:42.900 --> 00:01:45.720]  south carolina 那些地方
