
[00:00:00.000 --> 00:00:04.680]  各位朋友 各位弟兄姐妹 主內平安
[00:00:04.680 --> 00:00:08.340]  我們經常都說不要戴有色眼鏡看人
[00:00:08.340 --> 00:00:12.500]  但是有些眼鏡的鏡片是有顏色的
[00:00:12.500 --> 00:00:15.300]  你戴一副黑超外出的時候
[00:00:15.300 --> 00:00:17.800]  陽光曬的時候沒有關係
[00:00:17.800 --> 00:00:21.840]  但是你陰天戴一副黑超看的東西是很暗的
[00:00:21.840 --> 00:00:24.040]  有些鏡片是有顏色的
[00:00:24.040 --> 00:00:28.300]  譬如我先生買了一副鏡片是用來開車的
[00:00:28.300 --> 00:00:31.080]  它有偏黃色的鏡片
[00:00:31.080 --> 00:00:32.640]  當很曬的時候
[00:00:32.640 --> 00:00:36.040]  它就會過濾了那些很殘眼的光線
[00:00:36.040 --> 00:00:38.440]  開車的時候就會舒服一點
[00:00:38.440 --> 00:00:39.680]  我也試過
[00:00:39.680 --> 00:00:43.100]  尤其是現在夏天天氣很曬的時候
[00:00:43.100 --> 00:00:44.700]  當你黃昏
[00:00:44.700 --> 00:00:47.740]  現在的黃昏可能是七點八點
[00:00:47.740 --> 00:00:52.180]  你開車的時候陽光會打橫過來曬過來
[00:00:52.180 --> 00:00:54.980]  如果你戴了的時候就會舒服一點
[00:00:54.980 --> 00:00:57.500]  不過因為它是黃色的鏡片
[00:00:57.500 --> 00:01:00.500]  所以你看東西也會偏黃色的
[00:01:00.500 --> 00:01:01.800]  很有趣的
[00:01:01.800 --> 00:01:05.580]  原來有些動物
[00:01:05.580 --> 00:01:06.940]  即是昆蟲
[00:01:06.940 --> 00:01:08.700]  其實它看的東西
[00:01:08.700 --> 00:01:11.240]  和我們看的東西的角度是不同的
[00:01:11.240 --> 00:01:13.440]  昆蟲是覆眼
[00:01:13.440 --> 00:01:15.640]  覆的意思是覆數的覆
[00:01:15.640 --> 00:01:18.140]  就是單數覆數的那個覆眼
[00:01:18.140 --> 00:01:21.540]  它不是我們這樣的眼睛的構造
[00:01:21.540 --> 00:01:25.840]  所以它看的影像就好像這幅圖一樣
[00:01:25.840 --> 00:01:28.780]  我左手邊是蝴蝶看的東西
[00:01:28.780 --> 00:01:32.100]  我右手邊是人類看的東西
[00:01:32.100 --> 00:01:35.840]  你們會發覺是朦朧一點的起格仔
[00:01:35.840 --> 00:01:39.380]  還有它們看的顏色也是不一樣的
[00:01:39.380 --> 00:01:42.180]  人可以看到三原色的
[00:01:42.180 --> 00:01:43.780]  知不知道什麼叫三原色
[00:01:43.780 --> 00:01:46.580]  就是紅 綠 藍
[00:01:46.580 --> 00:01:47.480]  三原色
[00:01:47.480 --> 00:01:49.380]  即是大台的顏色
[00:01:49.380 --> 00:01:52.940]  那麼昆蟲原來看不到紅色的
[00:01:52.940 --> 00:01:54.280]  所以你看到其實它
[00:01:54.280 --> 00:01:56.180]  當然這隻蝴蝶本身也偏黃
[00:01:56.180 --> 00:02:00.640]  它就看到藍 藍 黃 黃 紫 紫的顏色
[00:02:00.640 --> 00:02:02.500]  譬如蜜蜂
[00:02:02.500 --> 00:02:04.180]  它紅色也感應不到
[00:02:04.180 --> 00:02:05.600]  綠色也感應不到
[00:02:05.600 --> 00:02:07.540]  就看到黃色 藍色
[00:02:07.540 --> 00:02:11.700]  不過它就可以看到紫外光的
[00:02:11.700 --> 00:02:14.780]  所以我們人類看不到紫外光
[00:02:14.780 --> 00:02:15.600]  它是看到的
[00:02:15.600 --> 00:02:18.980]  紫外光我們是要用機器來看的
[00:02:18.980 --> 00:02:21.740]  所以原來同一件物件
[00:02:21.740 --> 00:02:23.640]  當你戴不同鏡片的時候
[00:02:23.640 --> 00:02:25.540]  你看的東西是不同顏色的
[00:02:25.540 --> 00:02:27.240]  或者同一件物件
[00:02:27.240 --> 00:02:29.780]  人類看的物件和昆蟲看的物件
[00:02:29.780 --> 00:02:32.780]  原來是兩個不同的世界
[00:02:32.780 --> 00:02:35.540]  今天的經文我也很想和大家一起看看
[00:02:35.540 --> 00:02:36.980]  《漢見》
[00:02:36.980 --> 00:02:40.380]  看我們從什麼角度去看
[00:02:40.380 --> 00:02:41.640]  上回
[00:02:41.640 --> 00:02:42.600]  就是上個月
[00:02:42.600 --> 00:02:46.400]  我們看到《文數記》第十一章
[00:02:46.400 --> 00:02:49.580]  今天我們會看第十三章
[00:02:49.580 --> 00:02:53.100]  上帝在這裡吩咐摩西
[00:02:53.100 --> 00:02:58.000]  要派一些人去窺探迦南地
[00:02:58.000 --> 00:02:59.900]  其實窺探
[00:02:59.900 --> 00:03:01.400]  英文是spy
[00:03:01.400 --> 00:03:04.540]  好像探子一樣去窺探的地方
[00:03:04.540 --> 00:03:06.440]  但是其實我們發覺
[00:03:06.440 --> 00:03:09.940]  應該是視察的地方更加正確
[00:03:09.940 --> 00:03:12.740]  因為在第十三章第二節
[00:03:12.740 --> 00:03:14.880]  耀武華吩咐摩西
[00:03:14.880 --> 00:03:16.380]  是要派人去窺探
[00:03:16.380 --> 00:03:19.100]  祂所賜給以色列人的地
[00:03:19.100 --> 00:03:23.140]  這個地是上帝賜給以色列人的
[00:03:23.140 --> 00:03:25.700]  所以既然每樣東西是屬於你的時候
[00:03:25.700 --> 00:03:29.040]  你只不過是去視察環境而已
[00:03:29.040 --> 00:03:31.740]  在這裡上帝是去叫摩西
[00:03:31.740 --> 00:03:33.540]  你選擇每個支派一個人
[00:03:33.540 --> 00:03:35.740]  派一些領袖
[00:03:35.740 --> 00:03:37.740]  所以這十二個人是領袖
[00:03:37.740 --> 00:03:39.740]  派他們去視察
[00:03:39.740 --> 00:03:42.700]  視察什麼呢
[00:03:42.700 --> 00:03:45.100]  我們先試試打開聖經
[00:03:45.100 --> 00:03:48.280]  雖然大部分的經文會放在powerpoint
[00:03:48.280 --> 00:03:50.580]  但是如果你前面有聖經的話
[00:03:50.580 --> 00:03:53.580]  我們就看看大概而已
[00:03:53.580 --> 00:03:55.100]  不會直接讀完的
[00:03:55.100 --> 00:04:01.600]  《文數記》第十三章是舊約的一百九十七頁
[00:04:01.600 --> 00:04:03.440]  聖經分為舊約和新約
[00:04:03.440 --> 00:04:04.740]  如果有微信的朋友
[00:04:04.740 --> 00:04:07.180]  前面那部分是舊約
[00:04:07.180 --> 00:04:09.640]  就是一百九十七頁
[00:04:09.640 --> 00:04:13.480]  十三章我們不會看完全章的
[00:04:13.480 --> 00:04:15.740]  但是如果你有聖經的時候
[00:04:15.740 --> 00:04:18.980]  你大概知道脈絡會是怎麼樣
[00:04:18.980 --> 00:04:20.840]  由第四節開始
[00:04:20.840 --> 00:04:24.080]  就說到這十二支派選一個人
[00:04:24.080 --> 00:04:27.080]  這個名字就全部記錄在那裡
[00:04:27.080 --> 00:04:29.240]  而其中比較有熟悉的
[00:04:29.240 --> 00:04:34.540]  就是有第六節說到迦勒
[00:04:34.540 --> 00:04:39.440]  還有第八節說到河西亞
[00:04:39.440 --> 00:04:42.240]  但是其實另外一個翻譯就是約書亞
[00:04:42.240 --> 00:04:45.140]  迦勒和約書亞可能我們都是比較熟悉
[00:04:45.140 --> 00:04:47.240]  其中兩個的名字
[00:04:47.240 --> 00:04:50.980]  好了 接著摩西要我們看些什麼呢
[00:04:50.980 --> 00:04:53.040]  其實主要是看兩樣東西
[00:04:53.040 --> 00:04:54.980]  第一樣東西就是看地
[00:04:54.980 --> 00:04:56.880]  第二樣東西就是看人
[00:04:56.880 --> 00:04:59.480]  在這裡我也有打出來的
[00:04:59.480 --> 00:05:01.580]  十七到二十節這裡
[00:05:01.580 --> 00:05:05.280]  他首先看人是怎樣的呢
[00:05:05.280 --> 00:05:09.180]  十八節他說人的百姓是強還是弱的呢
[00:05:09.180 --> 00:05:10.680]  是多還是少呢
[00:05:10.680 --> 00:05:11.680]  接著是地
[00:05:11.680 --> 00:05:13.780]  十九節這裡就說到地
[00:05:13.780 --> 00:05:16.580]  那一塊地是好的還是壞的呢
[00:05:16.580 --> 00:05:21.280]  接著他住的城鎮是營地還是堡壘呢
[00:05:21.280 --> 00:05:24.780]  就是有沒有城牆保護的呢
[00:05:24.780 --> 00:05:27.880]  土地是肥沃還是貧脊諸如此類
[00:05:27.880 --> 00:05:31.380]  接著就叫他們要帶些樣本回來
