
[00:00:00.000 --> 00:00:04.000]  我好鍾意呢幅相,嗰兩隻馬好靚
[00:00:04.000 --> 00:00:08.000]  我嘅題目係「與馬同跑」
[00:00:08.000 --> 00:00:10.000]  想講一個關於馬嘅故事
[00:00:10.000 --> 00:00:12.000]  一個真人真事
[00:00:12.000 --> 00:00:14.000]  喺2003年嘅時候
[00:00:14.000 --> 00:00:16.000]  喺美國拍成為電影
[00:00:16.000 --> 00:00:20.000]  2004年喺香港上映
[00:00:20.000 --> 00:00:24.000]  中文名係「壯志奔騰」
[00:00:24.000 --> 00:00:26.000]  有冇人睇過呢套戲呀?
[00:00:26.000 --> 00:00:28.000]  有呀?真係好呀
[00:00:28.000 --> 00:00:32.000]  一套好嘅電影,未睇過嘅,值得去睇
[00:00:32.000 --> 00:00:35.000]  呢件事發生喺1936年
[00:00:35.000 --> 00:00:39.000]  當時正值美國經濟大蕭條嘅時候
[00:00:39.000 --> 00:00:42.000]  有一位練馬師
[00:00:42.000 --> 00:00:46.000]  買入咗一隻三歲大嘅純種馬
[00:00:46.000 --> 00:00:49.000]  呢隻馬身材矮小
[00:00:49.000 --> 00:00:51.000]  佢隻膝頭高仲凸出嚟
[00:00:51.000 --> 00:00:55.000]  所以佢係天生有缺陷嘅一隻馬
[00:00:55.000 --> 00:00:57.000]  仲有佢嘅戰績係非常之差
[00:00:57.000 --> 00:00:59.000]  所以冇人睇得起呢隻馬
[00:00:59.000 --> 00:01:02.000]  唯獨係呢一位練馬師史密斯
[00:01:02.000 --> 00:01:04.000]  佢獨具慧眼
[00:01:04.000 --> 00:01:08.000]  睇到呢隻馬鬥心係非常之強嘅
[00:01:08.000 --> 00:01:10.000]  係有王者嘅風範
[00:01:10.000 --> 00:01:12.000]  於是將佢買入
[00:01:12.000 --> 00:01:17.000]  一年後呢隻馬就開始重新投入賽事
[00:01:17.000 --> 00:01:24.000]  果然比佢一年連續贏咗好幾場嘅賽事
[00:01:24.000 --> 00:01:29.000]  呢隻馬名字英文係Sea Biscuit
[00:01:29.000 --> 00:01:31.000]  即係海餅乾
[00:01:31.000 --> 00:01:35.000]  海餅乾喺1938年11月
[00:01:35.000 --> 00:01:42.000]  同當時一隻喺美國贏咗三大賽事嘅一隻馬王
[00:01:42.000 --> 00:01:45.000]  進行一場單打獨鬥嘅比拼
[00:01:45.000 --> 00:01:49.000]  結果海餅乾大勝
[00:01:49.000 --> 00:01:53.000]  遠距離咁樣去贏咗嗰隻馬王
[00:01:53.000 --> 00:01:57.000]  成為一代馬王
[00:01:57.000 --> 00:01:59.000]  海餅乾佢成為馬王
[00:01:59.000 --> 00:02:01.000]  去到高峰之後
[00:02:01.000 --> 00:02:04.000]  佢係一場普通嘅賽事嗰度受咗傷
[00:02:04.000 --> 00:02:09.000]  仲幾乎要被人道毀滅
[00:02:09.000 --> 00:02:14.000]  但係喺佢堅毅嘅鬥志底下
[00:02:14.000 --> 00:02:17.000]  佢終於都康復過嚟
[00:02:17.000 --> 00:02:23.000]  佢嘅主人就決定畀佢參加一場賽事
[00:02:23.000 --> 00:02:27.000]  而呢一場亦都係海餅乾嘅最後一場賽事
[00:02:27.000 --> 00:02:35.000]  結果海餅乾佢以超世界紀錄嘅速度贏咗呢一場賽事
[00:02:35.000 --> 00:02:39.000]  從此佢就光榮退役
[00:02:39.000 --> 00:02:45.000]  海餅乾佢係由一隻天生有缺陷嘅小馬
[00:02:45.000 --> 00:02:47.000]  成為一代馬王
[00:02:47.000 --> 00:02:52.000]  佢嘅經歷整個過程可以話係非常之傳奇
[00:02:52.000 --> 00:02:54.000]  更加特別嘅就係呢
[00:02:54.000 --> 00:03:00.000]  呢隻馬係生喺美國經濟大蕭條嘅期間
[00:03:00.000 --> 00:03:06.000]  佢扮演住一個充滿正能量嘅傳奇角色
[00:03:06.000 --> 00:03:11.000]  因為當時美國人唔係好多娛樂
[00:03:11.000 --> 00:03:16.000]  所以好多人都會留意賽馬
[00:03:16.000 --> 00:03:20.000]  美國人同呢隻馬同喜同悲
[00:03:20.000 --> 00:03:26.000]  而呢隻馬嘅傳奇經歷亦都話畀美國人聽
[00:03:26.000 --> 00:03:29.000]  即使環境係幾咁惡劣
[00:03:29.000 --> 00:03:32.000]  只要有信心去克服困難
[00:03:32.000 --> 00:03:34.000]  必能得勝
[00:03:34.000 --> 00:03:42.000]  海餅乾嘅生命激勵咗當時好多處喺逆境嘅美國人
