
[00:00:00.000 --> 00:00:02.360]  今天跟大家分享的其中一位
[00:00:02.360 --> 00:00:05.880]  這位宣教士主要不是來香港的
[00:00:05.880 --> 00:00:08.640]  他叫做Laurie
[00:00:08.640 --> 00:00:10.580]  劉理華
[00:00:10.580 --> 00:00:16.260]  他是在Princeton的神學院畢業
[00:00:16.260 --> 00:00:21.760]  最初他打算去西非宣教
[00:00:21.760 --> 00:00:25.800]  但是因爲那時候
[00:00:25.800 --> 00:00:28.800]  中國的宣教工廠打算開
[00:00:29.000 --> 00:00:31.140]  因爲中國要人
[00:00:31.140 --> 00:00:34.580]  警察就問他可不可以轉去中國
[00:00:34.580 --> 00:00:37.760]  他最初是一般般的,很掙扎
[00:00:37.760 --> 00:00:40.280]  但是他就去祈禱
[00:00:40.280 --> 00:00:46.200]  祈禱之後,他就去中國
[00:00:46.200 --> 00:00:49.360]  他經過澳門,經過香港
[00:00:49.360 --> 00:00:52.000]  所以他曾經在香港留過一段日子
[00:00:52.000 --> 00:00:58.480]  寫了一封信描述香港剛剛開埠的狀況
[00:00:58.680 --> 00:01:02.780]  然後他就去了寧波去宣教
[00:01:02.780 --> 00:01:06.100]  因爲那是其中一個開放的港口
[00:01:06.100 --> 00:01:09.820]  其實他的過程很艱辛
[00:01:09.820 --> 00:01:12.400]  因爲他要學中文
[00:01:12.400 --> 00:01:15.180]  我語言不太多
[00:01:15.180 --> 00:01:20.560]  似乎中文是全世界其中一個比較難學的語言
[00:01:20.560 --> 00:01:23.980]  他花了很多時間去學這個語言
[00:01:23.980 --> 00:01:29.360]  他曾經寫一封信回去給自己家人的仇
[00:01:29.360 --> 00:01:32.040]  他覺得很灰心,很失望
[00:01:32.040 --> 00:01:34.980]  他覺得周圍一千萬人
[00:01:34.980 --> 00:01:38.280]  都在講一些話,而且是他不太知道的
[00:01:38.280 --> 00:01:42.020]  他沒有發現他們講了一句話,別人聽得懂
[00:01:42.020 --> 00:01:45.800]  然後他就想,我會不會回去,我會不會後悔呢?
[00:01:45.800 --> 00:01:48.520]  這段有出來的,你可以出來
[00:01:48.520 --> 00:01:51.780]  我會不會後悔來到這裏呢?
[00:01:51.780 --> 00:01:54.160]  但是他說不會
[00:01:54.160 --> 00:01:57.080]  雖然我覺得很孤單,很仇虎
[00:01:57.080 --> 00:02:00.120]  但是心裏則難,有段經文在後面
[00:02:00.120 --> 00:02:03.400]  "不至失望,打倒不至死亡"
[00:02:03.400 --> 00:02:05.280]  走完世界的旅程
[00:02:05.280 --> 00:02:11.120]  我們的勞苦終會被紀念
[00:02:11.120 --> 00:02:15.360]  在1847年,他乘船
[00:02:15.360 --> 00:02:19.500]  就是開完會,乘船從上海回到寧波
[00:02:19.500 --> 00:02:23.040]  誰知道在途中遇到海盜
[00:02:23.040 --> 00:02:26.540]  海盜去劫持他
[00:02:26.540 --> 00:02:30.880]  沒有搶那些東西,就把他扔下海
[00:02:30.880 --> 00:02:36.060]  扔下海之後,他爭執,想爬回船上
[00:02:36.060 --> 00:02:41.460]  但是海盜不斷用竹篙灣的鋼
[00:02:41.460 --> 00:02:44.760]  那些棍不斷扣着他,讓他不能爬回船上
[00:02:44.760 --> 00:02:49.700]  結果他在水裏活活地淹死了
[00:02:49.700 --> 00:02:51.800]  絲都找不到
[00:02:51.800 --> 00:02:57.880]  來到中國不過是五年多的時間
[00:02:57.880 --> 00:03:02.040]  他年紀只不過是28歲
[00:03:02.040 --> 00:03:07.060]  看了很多這些宣教士的故事,我發覺
[00:03:07.060 --> 00:03:12.240]  不要以爲是那些很遙遠、很離地、很神聖、很偉大
[00:03:12.240 --> 00:03:15.140]  其實你和我都一樣,他們也是這樣
[00:03:15.140 --> 00:03:18.240]  人生都是要想很多很多的抉擇
[00:03:18.240 --> 00:03:21.100]  很多的判斷,很多的選擇都要做的
[00:03:21.100 --> 00:03:24.680]  對他來說,他要選擇,他要從西非
[00:03:24.680 --> 00:03:28.160]  究竟去西非,還是堅持去西非,還是來中國呢?
