
[00:00:00.000 --> 00:00:02.000]  怎樣才能夠活出
[00:00:02.000 --> 00:00:04.000]  一個榮耀神的生命
[00:00:04.000 --> 00:00:06.000]  讓我們一起走吧
[00:00:06.000 --> 00:00:11.000]  天父在這混亂的時期裡面
[00:00:11.000 --> 00:00:13.000]  我們要怎樣的
[00:00:13.000 --> 00:00:16.000]  活出榮耀的生命
[00:00:16.000 --> 00:00:18.000]  主啊真是幫助我們
[00:00:18.000 --> 00:00:22.000]  能夠長長的問自己
[00:00:22.000 --> 00:00:24.000]  我今天做什麼
[00:00:24.000 --> 00:00:26.000]  我今天做了什麼
[00:00:26.000 --> 00:00:28.000]  我今天做的事情
[00:00:28.000 --> 00:00:30.000]  有沒有走在你的路上
[00:00:30.000 --> 00:00:33.000]  有沒有談你的事業
[00:00:33.000 --> 00:00:35.000]  主啊幫助我們
[00:00:35.000 --> 00:00:37.000]  來看這個時代的時候
[00:00:37.000 --> 00:00:39.000]  讓我們能夠
[00:00:39.000 --> 00:00:43.000]  不但是自己對自己負責
[00:00:43.000 --> 00:00:45.000]  我們也要對我們的時代
[00:00:45.000 --> 00:00:46.000]  為我們的社會
[00:00:46.000 --> 00:00:48.000]  對我們的國家負責
[00:00:48.000 --> 00:00:51.000]  主啊我們就再一次的
[00:00:51.000 --> 00:00:53.000]  為我們的國家來祈禱
[00:00:53.000 --> 00:00:55.000]  主我們為下禮拜
[00:00:55.000 --> 00:00:58.000]  要大法官的審核
[00:00:58.000 --> 00:01:02.000]  我們為我們的大法官候選人
[00:01:02.000 --> 00:01:09.000]  Amy Holland Barrett
[00:01:09.000 --> 00:01:13.000]  主啊求你賜給她一顆勇敢心
[00:01:13.000 --> 00:01:15.000]  當她面對所有的苛責
[00:01:15.000 --> 00:01:18.000]  抹黑何難的時候
[00:01:18.000 --> 00:01:23.000]  她能夠畏懼你戰役的危險
[00:01:23.000 --> 00:01:25.000]  主我們也特別的為
[00:01:25.000 --> 00:01:28.000]  我們的總統和夫人禱告
[00:01:28.000 --> 00:01:31.000]  主求祢保守他們身體健康
[00:01:31.000 --> 00:01:33.000]  快日恢復
[00:01:33.000 --> 00:01:36.000]  我們也為美國的選舉禱告
[00:01:36.000 --> 00:01:39.000]  從現在到選舉到選完
