
[00:00:00.000 --> 00:00:03.080]  近來沒有提醒大家背金句
[00:00:03.080 --> 00:00:07.200]  看看有沒有多少人還記得上個星期的金句
[00:00:07.200 --> 00:00:10.400]  針研三章六節看看有沒有人會背
[00:00:10.400 --> 00:00:19.440]  「無論做什麼,都要以上主的旨意為依歸,祂就會指示你走正路。」
[00:00:19.440 --> 00:00:27.120]  事實上我希望每一章的針研都找一節的金句出來幫助我們,引導我們
[00:00:27.120 --> 00:00:30.400]  在第一章我選了一章第七節
[00:00:30.400 --> 00:00:33.360]  「敬畏上主是智慧的開端」
[00:00:33.360 --> 00:00:35.840]  在第二章我選了第二十節
[00:00:35.840 --> 00:00:41.440]  「所以你要以好人為榜樣,過正直的生活。」
[00:00:41.440 --> 00:00:44.320]  今天我們看針研第四章
[00:00:44.320 --> 00:00:52.800]  剛才如果我們有留意讀經的姐妹讀第四章針研的時候
[00:00:52.800 --> 00:01:02.800]  前幾次的講道就會發現第四章有很多東西重複了前面三章的教導
[00:01:02.800 --> 00:01:08.160]  不過我相信大家可能已經忘記了前三章講了什麼
[00:01:08.160 --> 00:01:11.040]  這可能是人之常情
[00:01:11.040 --> 00:01:16.160]  「禮敬拜上帝」聽完講道之後很多人很快就忘記了
[00:01:16.160 --> 00:01:21.680]  忘記了穆斯講什麼不是很重要,因為我只是講解聖經
[00:01:21.680 --> 00:01:27.840]  所以大家只要回家讀聖經就可以了
[00:01:27.840 --> 00:01:31.840]  不過忘記可能不只是華人的情況
[00:01:31.840 --> 00:01:35.600]  幾千年前的猶太人都一樣是這樣的
[00:01:35.600 --> 00:01:42.160]  所以做老師的、智慧人的、教導學生的、他們的兒子或徒弟
[00:01:42.160 --> 00:01:46.000]  他就要用重複的方法
[00:01:46.000 --> 00:01:54.240]  第四章一至二十二節雖然是重複了第一至第三章的教導
[00:01:54.240 --> 00:01:57.040]  但是也用了不同的說話
[00:01:57.040 --> 00:01:59.840]  或者讓我們很快速地來看一看
[00:01:59.840 --> 00:02:03.920]  順便回顧一下前面那三章的教導
[00:02:03.920 --> 00:02:06.800]  在四章第一至第四節
[00:02:06.800 --> 00:02:10.000]  如果你有聖經就打開聖經
[00:02:10.000 --> 00:02:15.440]  在第四章一至四節就提到年輕人要聽父母的話
[00:02:15.440 --> 00:02:20.160]  其實這個在第一章七至八節就有教了
[00:02:20.160 --> 00:02:26.000]  聽父母的話不單可以學習人生的智慧
[00:02:26.000 --> 00:02:30.240]  並且其實可以培養父子的感情
[00:02:30.240 --> 00:02:33.840]  我有位朋友他快七十歲了
[00:02:33.840 --> 00:02:39.120]  有時候他就告訴我他感覺到很欣慰的一件事
[00:02:39.120 --> 00:02:42.960]  就是他的兒子時時找他喝茶
[00:02:42.960 --> 00:02:50.640]  喝茶的時候還有一些工作上的事情就跟爸爸取經請教爸爸
[00:02:50.640 --> 00:02:54.720]  其實他的兒子都接近四十歲了
[00:02:54.720 --> 00:02:58.560]  在香港匯豐銀行是做高級的職員
[00:02:58.560 --> 00:03:04.320]  問父親問爸爸拿意見就不一定會實行的
[00:03:04.320 --> 00:03:11.120]  但是他的兒子的做法就能夠促進他們父子倆的感情
[00:03:11.120 --> 00:03:18.560]  在四章五至十二節就是鼓勵人要追求智慧和見識
[00:03:18.560 --> 00:03:21.600]  並且提到智慧的果效
[00:03:21.600 --> 00:03:28.240]  其實在第一章二十節到第二章第八節都是講同樣的東西
[00:03:28.240 --> 00:03:33.840]  真言講的智慧主要是指認識上帝的智慧
[00:03:33.840 --> 00:03:39.280]  為什麼人要認識上帝?為什麼認識上帝這麼重要呢?
[00:03:39.280 --> 00:03:41.280]  從科學來說
[00:03:41.280 --> 00:03:44.560]  假如一個科學家否認上帝的存在
[00:03:44.560 --> 00:03:48.240]  其實他們無法解釋宇宙的來源
[00:03:48.240 --> 00:03:53.840]  為什麼從虛無當中會產生出宇宙呢?
[00:03:53.840 --> 00:03:57.840]  有些不信上帝的人只能夠說
[00:03:57.840 --> 00:04:00.640]  不要問那麼多了,宇宙本身就存在
[00:04:00.640 --> 00:04:02.640]  當宇宙本身是存在的
[00:04:02.640 --> 00:04:04.640]  所以就不用解釋
[00:04:04.640 --> 00:04:09.120]  但是這個說法其實是不符合現代科學的發現的
[00:04:09.120 --> 00:04:15.200]  天文學家發現了一個現象叫做宏偉儀的現象
[00:04:15.200 --> 00:04:17.840]  就是說離地球的星球
