
[00:00:00.000 --> 00:00:05.300]  剛才我們只是在短片見到這兩位
[00:00:05.300 --> 00:00:08.760]  但其實他們是在我們現場
[00:00:08.760 --> 00:00:11.520]  非常多謝這兩位
[00:00:11.520 --> 00:00:15.160]  因為一個人要將自己的難處
[00:00:15.160 --> 00:00:18.220]  無論因為患上癌症
[00:00:18.220 --> 00:00:21.860]  或者在家中成為破碎的家庭
[00:00:21.860 --> 00:00:24.780]  很多人都不敢告訴別人
[00:00:24.780 --> 00:00:27.980]  很多人都不願意告訴別人
[00:00:27.980 --> 00:00:31.440]  因為我們中國人一方面很講面子
[00:00:31.440 --> 00:00:36.800]  一方面我們都很想別人說我是很美滿的
[00:00:36.800 --> 00:00:39.000]  說我身體健康的
[00:00:39.000 --> 00:00:42.100]  說我很靚仔、很靚女的
[00:00:42.100 --> 00:00:44.860]  我家庭是很美滿的
[00:00:44.860 --> 00:00:46.000]  我們總是嚮往
[00:00:46.000 --> 00:00:48.260]  你說我好就最好了
[00:00:48.260 --> 00:00:49.820]  我美善最好了
[00:00:49.820 --> 00:00:53.420]  我理想就最好了
[00:00:53.420 --> 00:00:55.900]  很多人都不想告訴別人
[00:00:55.900 --> 00:00:57.740]  其實我在困難之中
[00:00:57.740 --> 00:01:00.120]  我患上了癌症
[00:01:00.120 --> 00:01:02.920]  我父母離婚了
[00:01:02.920 --> 00:01:05.520]  甚至有時有人肯跟我說
[00:01:05.520 --> 00:01:08.480]  我們都好像不太想聽
[00:01:08.480 --> 00:01:09.940]  好像不太想知道
[00:01:09.940 --> 00:01:11.840]  因為告訴我,我不懂得反應
[00:01:11.840 --> 00:01:14.080]  我都不知如何跟他說話
[00:01:14.080 --> 00:01:16.780]  我都不知如何幫你
[00:01:16.780 --> 00:01:20.680]  人生當中,其實今天我們有很多事有很多矛盾
[00:01:20.680 --> 00:01:25.680]  我們每一個人都想善、想美、想好
[00:01:25.680 --> 00:01:28.280]  但現實生活裏面
[00:01:28.280 --> 00:01:34.520]  很多傷痕、失望、苦痛
[00:01:34.520 --> 00:01:36.180]  在這種矛盾裏面
[00:01:36.180 --> 00:01:38.600]  甚至我們覺得自己很善良
[00:01:38.600 --> 00:01:40.020]  但有時我們發現
[00:01:40.020 --> 00:01:43.140]  為何我們想的事是這麼骯髒的呢?
[00:01:43.140 --> 00:01:45.140]  為何對那些人
[00:01:45.140 --> 00:01:48.080]  原來我們心裏可以很惡毒的呢?
[00:01:48.080 --> 00:01:51.840]  甚至不經意就說那些很惡毒的話出來
[00:01:51.840 --> 00:01:55.500]  人就是會在這種矛盾裏面
[00:01:55.500 --> 00:01:57.620]  我們好像又善良
[00:01:57.620 --> 00:01:59.200]  但又會惡毒
[00:01:59.200 --> 00:02:01.400]  我們期望美麗
[00:02:01.400 --> 00:02:03.700]  但發現在現實當中
[00:02:03.700 --> 00:02:06.740]  有很多醜陋
[00:02:06.740 --> 00:02:09.620]  究竟我們做人
[00:02:09.620 --> 00:02:12.780]  這個人生的道路
[00:02:12.780 --> 00:02:14.820]  去哪裏呢?
[00:02:14.820 --> 00:02:16.520]  在這個路途當中
[00:02:16.520 --> 00:02:19.260]  我們會做些甚麼事呢?
[00:02:19.260 --> 00:02:21.300]  其實今天我們在這裏
[00:02:21.300 --> 00:02:23.060]  在梁法堂
[00:02:23.060 --> 00:02:25.660]  我們今晚正要跟各位
[00:02:25.660 --> 00:02:28.960]  去面對的是我們每一個人的生命
[00:02:28.960 --> 00:02:31.700]  每一個人的人生
[00:02:31.700 --> 00:02:35.340]  你過往的路走了多遠
[00:02:35.340 --> 00:02:37.800]  有些可能只有十多年
[00:02:37.800 --> 00:02:38.860]  有些可能
