
[00:00:00.000 --> 00:00:02.440]  好,讓我們一齊祈禱
[00:00:02.440 --> 00:00:04.940]  求主帶領我們以下的時間
[00:00:04.940 --> 00:00:09.440]  七位聖靈,求祢指教我們
[00:00:09.440 --> 00:00:11.940]  因為祢是最好的老師
[00:00:11.940 --> 00:00:14.440]  祢會引導我們進入真理
[00:00:14.440 --> 00:00:16.940]  讓我們開我們的眼睛
[00:00:16.940 --> 00:00:19.440]  讓我們看得明,聽得明
[00:00:19.440 --> 00:00:21.940]  臣祢自己的聖言
[00:00:21.940 --> 00:00:23.940]  主呀,祢的話語是生命
[00:00:23.940 --> 00:00:25.940]  主呀,求祢幫助我們
[00:00:25.940 --> 00:00:28.940]  今天,我們來到2019年
[00:00:28.940 --> 00:00:30.940]  新的一年開始
[00:00:30.940 --> 00:00:32.940]  求主藉著祢的話語
[00:00:32.940 --> 00:00:34.940]  繼續去更新我們的生命
[00:00:34.940 --> 00:00:36.940]  幫助我們更加的親近祢
[00:00:36.940 --> 00:00:38.940]  更加的愛祢
[00:00:38.940 --> 00:00:40.940]  更加的成長
[00:00:40.940 --> 00:00:43.940]  天父求祢帶領以下的時間
[00:00:43.940 --> 00:00:45.940]  可能人的說話都會鬆散
[00:00:45.940 --> 00:00:47.940]  但是唯有祢的話語
[00:00:47.940 --> 00:00:49.940]  才能夠有能力去改變生命
[00:00:49.940 --> 00:00:51.940]  求祢幫助我們
[00:00:51.940 --> 00:00:53.940]  帶著謙卑受教的心
[00:00:53.940 --> 00:00:55.940]  來領受祢自己的道
[00:00:55.940 --> 00:00:57.940]  多謝祢看我們的祈禱
[00:00:57.940 --> 00:00:59.940]  順耶穌的名,阿們
[00:01:27.940 --> 00:01:29.940]  順耶穌的名,阿們
[00:01:29.940 --> 00:01:31.940]  順耶穌的名,阿們
[00:01:31.940 --> 00:01:33.940]  順耶穌的名,阿們
[00:01:33.940 --> 00:01:35.940]  順耶穌的名,阿們
[00:01:35.940 --> 00:01:37.940]  順耶穌的名,阿們
[00:01:37.940 --> 00:01:39.940]  順耶穌的名,阿們
[00:01:39.940 --> 00:01:41.940]  順耶穌的名,阿們
[00:01:41.940 --> 00:01:43.940]  順耶穌的名,阿們
[00:01:43.940 --> 00:01:45.940]  順耶穌的名,阿們
[00:01:45.940 --> 00:01:47.940]  順耶穌的名,阿們
[00:01:47.940 --> 00:01:49.940]  順耶穌的名,阿們
[00:01:49.940 --> 00:01:51.940]  順耶穌的名,阿們
[00:01:51.940 --> 00:01:53.940]  順耶穌的名,阿們
[00:01:53.940 --> 00:01:55.940]  順耶穌的名,阿們
[00:01:55.940 --> 00:01:57.940]  順耶穌的名,阿們
