
[00:00:00.000 --> 00:00:01.840]  好 請姐妹平安
[00:00:01.840 --> 00:00:03.840]  我很高興再一次來到當中
[00:00:03.840 --> 00:00:05.840]  跟大家分享上帝的說話
[00:00:05.840 --> 00:00:10.040]  今天你見到第一個版面就是這樣的
[00:00:10.040 --> 00:00:11.680]  有沒有印象見過
[00:00:11.680 --> 00:00:13.240]  如果你在我們的群組裡面
[00:00:13.240 --> 00:00:15.640]  經常收到每一個星期的講道的時候
[00:00:15.640 --> 00:00:18.540]  你都會有一個很漂亮的海報
[00:00:18.540 --> 00:00:21.940]  事實上上一次就演出第一章
[00:00:21.940 --> 00:00:23.880]  然後Alice就說
[00:00:23.880 --> 00:00:25.180]  哇 很漂亮 很棒
[00:00:25.180 --> 00:00:27.100]  真的像一個賭神一樣
[00:00:27.100 --> 00:00:29.180]  因為賭神是看不到正面的
[00:00:29.180 --> 00:00:31.980]  電影裡面的賭神是沒有看過正面的樣子
[00:00:31.980 --> 00:00:34.200]  這個就是背面的耶穌
[00:00:34.200 --> 00:00:37.680]  這次也是一樣背面的耶穌
[00:00:37.680 --> 00:00:39.900]  事實上很感謝Michelle
[00:00:39.900 --> 00:00:42.640]  我們每一次都預備很精彩的海報
[00:00:42.640 --> 00:00:46.980]  讓我們感受一下那種期待
[00:00:46.980 --> 00:00:48.840]  或者去聽神的說話
[00:00:48.840 --> 00:00:54.000]  事實上今天也希望藉著一個經文
[00:00:54.000 --> 00:01:00.380]  特別這個經文是上個星期的《你們說我是誰》
[00:01:00.380 --> 00:01:01.940]  今天也是一個承接
[00:01:01.940 --> 00:01:03.300]  就是《耶穌是誰》
[00:01:03.300 --> 00:01:05.200]  希望我們透過馬太福音
[00:01:05.200 --> 00:01:06.600]  以及上次馬太福音
[00:01:06.600 --> 00:01:10.200]  今次馬赫福音都去對比一下這個片段
[00:01:10.200 --> 00:01:12.440]  特別我們現在正在學馬赫福音
[00:01:12.440 --> 00:01:15.400]  我們希望更加從馬赫福音的角度
[00:01:15.400 --> 00:01:19.240]  去思考一下這段聖經對我們帶來的意義
