
[00:00:00.000 --> 00:00:02.000]  有一次
[00:00:02.000 --> 00:00:03.500]  一個教會裏面的牧師
[00:00:03.500 --> 00:00:06.000]  發現了他教會裏面有一個弟兄
[00:00:06.000 --> 00:00:08.000]  有婚外情
[00:00:08.000 --> 00:00:10.000]  這個牧師祈禱之後
[00:00:10.000 --> 00:00:14.000]  就邀請這個弟兄出來聊天
[00:00:14.000 --> 00:00:16.000]  坐下來之後
[00:00:16.000 --> 00:00:19.000]  這個牧師還沒有機會出聲
[00:00:19.000 --> 00:00:20.000]  之前
[00:00:20.000 --> 00:00:23.000]  這個弟兄就跟牧師說
[00:00:23.000 --> 00:00:25.000]  牧師牧師
[00:00:25.000 --> 00:00:26.000]  我很尊重你
[00:00:26.000 --> 00:00:29.000]  因為你是神的復仁
[00:00:29.000 --> 00:00:32.000]  你知道我們以前聊天
[00:00:32.000 --> 00:00:33.000]  天南地北
[00:00:33.000 --> 00:00:34.000]  甚麼都說
[00:00:34.000 --> 00:00:36.000]  聊得很開心
[00:00:36.000 --> 00:00:38.000]  不過
[00:00:38.000 --> 00:00:39.000]  如果今天
[00:00:39.000 --> 00:00:40.000]  牧師你打算跟我說
[00:00:40.000 --> 00:00:44.000]  關於我婚姻的問題的時候
[00:00:44.000 --> 00:00:46.000]  你就要明白
[00:00:46.000 --> 00:00:49.000]  這件事是我私人的事情
[00:00:49.000 --> 00:00:52.000]  請你不要介入
[00:00:52.000 --> 00:00:56.000]  也不需要給我任何意見
[00:00:56.000 --> 00:00:58.000]  大家覺得這個弟兄所說的話
[00:00:58.000 --> 00:01:01.000]  有沒有道理
[00:01:01.000 --> 00:01:04.000]  在今天我們後現代社會裏面
[00:01:04.000 --> 00:01:07.000]  我們很多時候都會不自覺
[00:01:07.000 --> 00:01:11.000]  被這個世界的文化所影響
[00:01:11.000 --> 00:01:12.000]  我們都會認為
[00:01:12.000 --> 00:01:14.000]  每一個人都應該有
[00:01:14.000 --> 00:01:16.000]  我們自己的個人空間
[00:01:16.000 --> 00:01:17.000]  我們有個人的權利
[00:01:17.000 --> 00:01:19.000]  我們有個人的自由
[00:01:19.000 --> 00:01:24.000]  也相信我們今天所說的普世價值
[00:01:24.000 --> 00:01:28.000]  如果你入侵了我個人的範圍和空間
[00:01:28.000 --> 00:01:30.000]  你就有問題
[00:01:30.000 --> 00:01:32.000]  就是你的錯
[00:01:32.000 --> 00:01:35.000]  在今天我們所讀的經文當中
[00:01:35.000 --> 00:01:36.000]  保羅給我們
[00:01:36.000 --> 00:01:39.000]  是另外一個相當不同的圖畫
[00:01:39.000 --> 00:01:41.000]  保羅告訴我們
[00:01:41.000 --> 00:01:45.000]  當我們成為基督徒之後
[00:01:45.000 --> 00:01:49.000]  我們就是神家裏面的一份子
[00:01:49.000 --> 00:01:54.000]  故此我們的信仰就不再是
[00:01:54.000 --> 00:01:56.000]  我們自己一個人的事
[00:01:56.000 --> 00:01:59.000]  而是整個國家的事情
[00:01:59.000 --> 00:02:01.000]  我們不再是自己一個人
[00:02:01.000 --> 00:02:03.000]  走在我們的人生路上
[00:02:03.000 --> 00:02:07.000]  而是在我們所謂的往天國的天路上
[00:02:07.000 --> 00:02:11.000]  我們周圍是有很多的同行者
[00:02:11.000 --> 00:02:14.000]  讓我們通過今天我們所讀的經文
[00:02:14.000 --> 00:02:15.000]  一同學習
[00:02:15.000 --> 00:02:19.000]  究竟在這個信仰群體裏面
[00:02:19.000 --> 00:02:23.000]  神對我們有三個期望
[00:02:23.000 --> 00:02:25.000]  第一個期望
[00:02:25.000 --> 00:02:28.000]  同路人互擔當
[00:02:28.000 --> 00:02:31.000]  在第一節保羅告訴我們
[00:02:31.000 --> 00:02:34.000]  若有人偶然被過犯所成
[00:02:34.000 --> 00:02:37.000]  你們屬靈的人就當用溫柔的心
[00:02:37.000 --> 00:02:39.000]  把他挽回過來
