
[00:00:00.000 --> 00:00:04.080]  接着和大家分享今天的題目其實很類似
[00:00:04.080 --> 00:00:05.680]  講的是復和
[00:00:05.680 --> 00:00:09.140]  不過今天想看這一段《經文之仙》要講一些背景
[00:00:09.140 --> 00:00:10.440]  背景是比較長的
[00:00:10.440 --> 00:00:13.320]  所以如果你手上有聖經就比較方便了
[00:00:13.320 --> 00:00:16.700]  如果沒有的話你可以去賦堂拿一本聖經
[00:00:16.700 --> 00:00:20.640]  因爲這次講的聖經裏面有一對人物
[00:00:20.640 --> 00:00:22.380]  上一次如果大家有記得的話
[00:00:22.380 --> 00:00:25.320]  前兩三個星期我在這裏跟大家講過
[00:00:25.320 --> 00:00:27.320]  第一對的兄弟
[00:00:27.320 --> 00:00:29.980]  也是第一個聖經裏面談到謀殺的事件
[00:00:29.980 --> 00:00:32.480]  就是戈隱和阿爸這對兄弟
[00:00:32.480 --> 00:00:36.840]  在聖經裏面舊約特別創世紀的位置裏面還有另一對兄弟
[00:00:36.840 --> 00:00:37.980]  今天就講這對兄弟
[00:00:37.980 --> 00:00:39.640]  這對是孖山兄弟
[00:00:39.640 --> 00:00:43.720]  一講起孖山兄弟在舊約特別創世紀的位置
[00:00:43.720 --> 00:00:46.200]  相信很多電影節目都會想到是哪一對
[00:00:46.200 --> 00:00:48.200]  哪一對兄弟
[00:00:48.200 --> 00:00:49.280]  哪一對
[00:00:49.280 --> 00:00:54.760]  就是哥哥、二嫂、弟弟、雅各
[00:00:54.760 --> 00:00:57.420]  大家應該很熟悉他們的故事
[00:00:57.420 --> 00:00:59.580]  這裏有沒有雅各團的團友
[00:00:59.580 --> 00:01:01.380]  有沒有雅各團的團友
[00:01:01.380 --> 00:01:02.680]  哦,全都不見了
[00:01:02.680 --> 00:01:04.640]  只剩下導師了,不要緊
[00:01:04.640 --> 00:01:07.460]  遲些會多些出現的了
[00:01:07.460 --> 00:01:09.460]  有一次我問一個雅各團友
[00:01:09.460 --> 00:01:13.160]  我問雅各團哪個雅各
[00:01:13.160 --> 00:01:14.760]  雅各就是雅各
[00:01:14.760 --> 00:01:17.340]  我說不是,聖經裏面有很多個雅各
[00:01:17.340 --> 00:01:18.480]  是嗎?
[00:01:18.480 --> 00:01:19.880]  可能他們不太熟悉
[00:01:19.880 --> 00:01:23.600]  他說就是紅豆湯那個,就記得那個紅豆
[00:01:23.600 --> 00:01:26.680]  在舊約創世紀裏面出現了這一對兄弟
[00:01:26.680 --> 00:01:29.020]  麻煩電影節目幫我們拿到聖經
[00:01:29.020 --> 00:01:31.800]  希望你們手上都可以翻開聖經
[00:01:31.800 --> 00:01:34.960]  雅各和二嫂的故事是從何時開始的呢?
[00:01:34.960 --> 00:01:38.220]  由創世紀第25章
[00:01:38.220 --> 00:01:41.740]  創世紀第25章,今天我們會看創世紀幾章聖經
[00:01:41.740 --> 00:01:43.740]  所以大家麻煩拿一本聖經
[00:01:43.740 --> 00:01:46.620]  創世紀第25章
[00:01:46.620 --> 00:01:50.900]  如果教會這本商行的聖經是在舊約33年
[00:01:50.900 --> 00:01:55.600]  當然你可以用其他手機或者其他版本,但都是一樣的
[00:01:55.600 --> 00:01:56.980]  好,麻煩大家
[00:01:56.980 --> 00:02:01.700]  創世紀第25章
[00:02:01.700 --> 00:02:04.200]  第25章
[00:02:04.200 --> 00:02:09.020]  說二嫂和雅各出世是在19節開始的
[00:02:09.020 --> 00:02:11.120]  19節,穩穩地說
[00:02:11.120 --> 00:02:15.860]  創世紀第25章,19節
[00:02:15.860 --> 00:02:17.820]  19節
[00:02:17.820 --> 00:02:22.040]  好,我們先開始一起慢慢讀,19節我們讀到25節,19節預備起
[00:02:48.820 --> 00:02:51.840]  他的妻子李伯嘉就懷了孕
[00:02:51.840 --> 00:02:55.300]  胎兒們在他福中彼此相憎
[00:02:55.300 --> 00:02:56.400]  他就說
